constraint_id,epsilon,d_pattern,n_violated_contexts,violated_contexts,powerless_expected,powerless_actual,powerless_abs_error,moderate_expected,moderate_actual,moderate_abs_error,institutional_expected,institutional_actual,institutional_abs_error,analytical_expected,analytical_actual,analytical_abs_error
ai_compute_capital_moat,0.620000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.673869,0.322400,0.351469,0.686025,0.686025,0.000000,-0.026196,-0.026196,0.000000,0.849357,0.849357,0.000000
ai_performance_watermark,0.550000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.597787,0.286000,0.311787,0.608571,0.608571,0.000000,-0.023239,-0.023239,0.000000,0.753462,0.753462,0.000000
canada_germany_ai_pact,0.480000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.521705,0.249600,0.272105,0.531116,0.531116,0.000000,-0.020281,-0.020281,0.000000,0.657567,0.657567,0.000000
cuba_mandatrophic_collapse,0.950000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,1.032541,0.494000,0.538541,1.051167,1.051168,0.000001,-0.040139,-0.040139,0.000000,1.301434,1.301434,0.000000
digital_credentialing_verification,0.650000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.706475,0.338000,0.368475,0.719220,0.719220,0.000000,-0.027464,-0.027464,0.000000,0.890455,0.890455,0.000000
dionysiac_frenzy,0.800000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.869508,0.416000,0.453508,0.885194,0.885194,0.000000,-0.033802,-0.033802,0.000000,1.095945,1.095945,0.000000
dk_us_alliance_espionage,0.550000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.597787,0.286000,0.311787,0.608571,0.608571,0.000000,-0.023239,-0.023239,0.000000,0.753462,0.753462,0.000000
eu_mercosur_trade_agreement,0.480000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.521705,0.249600,0.272105,0.531116,0.531116,0.000000,-0.020281,-0.020281,0.000000,0.657567,0.657567,0.000000
gaza_aid_permit_revocation,0.850000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.923852,0.442000,0.481852,0.940518,0.940518,0.000000,-0.035914,-0.035914,0.000000,1.164441,1.164441,0.000000
google_universal_commerce_protocol,0.520000,"(0.9, 0.7, 0.6, 0.72)",1,powerless,0.565180,0.270400,0.294780,0.575376,0.575376,0.000000,0.466760,0.466760,0.000000,0.712364,0.712364,0.000000
indo_german_defense_pact,0.480000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.521705,0.249600,0.272105,0.531116,0.531116,0.000000,-0.020281,-0.020281,0.000000,0.657567,0.657567,0.000000
indonesia_penal_code_2023,0.750000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.815164,0.390000,0.425164,0.829869,0.829869,0.000000,-0.031689,-0.031689,0.000000,1.027448,1.027448,0.000000
jp_nativist_politics,0.680000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.739082,0.353600,0.385482,0.752415,0.752415,0.000000,-0.028731,-0.028731,0.000000,0.931553,0.931553,0.000000
meta_pay_or_okay_model,0.750000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.815164,0.390000,0.425164,0.829869,0.829869,0.000000,-0.031689,-0.031689,0.000000,1.027448,1.027448,0.000000
nvidia_cuda_ecosystem_lockin,0.650000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.706475,0.338000,0.368475,0.719220,0.719220,0.000000,-0.027464,-0.027464,0.000000,0.890455,0.890455,0.000000
openai_prism_development,0.550000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.597787,0.286000,0.311787,0.608571,0.608571,0.000000,-0.023239,-0.023239,0.000000,0.753462,0.753462,0.000000
pele_microreactor_deployment,0.600000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.652131,0.312000,0.340131,0.663895,0.663895,0.000000,-0.025351,-0.025351,0.000000,0.821958,0.821958,0.000000
polar_bear_biobanking,0.480000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.521705,0.249600,0.272105,0.531116,0.531116,0.000000,-0.020281,-0.020281,0.000000,0.657567,0.657567,0.000000
semiconductor_fabrication_chokepoint,0.550000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.597787,0.286000,0.311787,0.608571,0.608571,0.000000,-0.023239,-0.023239,0.000000,0.753462,0.753462,0.000000
shield_east_fortification,0.480000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.521705,0.249600,0.272105,0.531116,0.531116,0.000000,-0.020281,-0.020281,0.000000,0.657567,0.657567,0.000000
trojan_war_spoils,1.000000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,1.086885,0.520000,0.566885,1.106492,1.106492,0.000000,-0.042252,-0.042252,0.000000,1.369931,1.369931,0.000000
trump_second_term_authoritarianism_2026,0.850000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.923852,0.442000,0.481852,0.940518,0.940518,0.000000,-0.035914,-0.035914,0.000000,1.164441,1.164441,0.000000
us_embargo_cuba,0.650000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.706475,0.338000,0.368475,0.719220,0.719220,0.000000,-0.027464,-0.027464,0.000000,0.890455,0.890455,0.000000
us_usmca_china_leverage,0.550000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.597787,0.286000,0.311787,0.608571,0.608571,0.000000,-0.023239,-0.023239,0.000000,0.753462,0.753462,0.000000
verification_bottleneck,0.720000,"(0.9, 0.7, 0.12, 0.72)",1,powerless,0.782557,0.374400,0.408157,0.796674,0.796674,0.000000,-0.030421,-0.030421,0.000000,0.986350,0.986350,0.000000
