constraint_id,h1,epsilon,chi_analytical,signature,audit_max_tvd,audit_fires,corrected_tvd_analytical,corrected_fires,corrected_tvd_all_ctx,corrected_fires_all_ctx,corrected_worst_ctx,argmax_cl,argmax_idx_corrected
26usc469_real_estate_exemption,3,0.75,1.027448,false_ci_rope,0.922889,True,0.000113,False,0.922948,True,institutional,snare,snare
absorbing_markov_chain_trap,5,0.55,0.753462,false_ci_rope,0.961174,True,0.000191,False,0.971282,True,institutional,snare,snare
abstraction_boundary_overrun,3,0.81,1.109644,false_ci_rope,0.432757,True,0.000476,False,0.432834,True,institutional,piton,piton
abstraction_leakage,3,0.74,1.013749,false_ci_rope,0.961044,True,0.000187,False,0.814685,True,institutional,snare,snare
academic_fashion_modernism_2026,0,0.68,0.931553,constructed_high_extraction,0.516148,False,0.000039,False,0.516273,False,institutional,snare,snare
academic_peer_review_gatekeeping,3,0.75,1.027448,false_ci_rope,0.874584,True,0.000388,False,0.760460,True,institutional,snare,snare
academic_tenure_system,3,0.75,1.027448,false_ci_rope,0.906972,True,0.000194,False,0.897587,True,institutional,snare,snare
access_arbitrage,3,0.45,0.616469,false_ci_rope,0.851431,True,0.000053,False,0.500032,True,institutional,tangled_rope,tangled_rope
acip_hep_b_infant_mandate,0,0.18,0.246588,coupling_invariant_rope,0.739160,False,0.000000,False,0.000000,False,,rope,rope
ad_fus_coordination,3,0.75,1.027448,constructed_high_extraction,0.923144,True,0.000113,False,0.923208,True,institutional,snare,snare
ad_synaptic_deficit,3,0.85,1.164441,false_ci_rope,0.970165,True,0.000083,False,0.970190,True,institutional,snare,snare
adaptive_lag_trap,3,0.83,1.137042,false_ci_rope,0.445285,True,0.000528,False,0.445371,True,institutional,piton,piton
adversarial_surface_inflation,3,0.84,1.150742,false_ci_rope,0.448161,True,0.000552,False,0.448252,True,institutional,piton,piton
adversarial_truth_decay,0,0.89,1.219238,constructed_high_extraction,0.489023,False,0.000654,False,0.489149,False,institutional,piton,piton
adverse_possession,3,0.65,0.890455,false_ci_rope,0.970186,True,0.000026,False,0.816833,True,institutional,tangled_rope,tangled_rope
advice_as_dangerous_gift,3,0.35,0.479476,false_ci_rope,0.888088,True,0.001378,False,0.151271,True,institutional,tangled_rope,tangled_rope
agency_atrophy,3,0.88,1.205539,false_ci_rope,0.458330,True,0.000633,False,0.458442,True,institutional,piton,piton
agent_opt_2026,0,0.7,0.958951,constructed_high_extraction,0.874354,False,0.000079,False,0.795138,False,institutional,snare,snare
agg1_genetic_determinism,3,0.75,1.027448,false_ci_rope,0.923144,True,0.000113,False,0.923208,True,institutional,snare,snare
aging_longevity_tests,3,0.52,0.712364,false_ci_rope,0.869648,True,0.000018,False,0.459438,True,institutional,tangled_rope,tangled_rope
ai_adoption_stigma,5,0.52,0.712364,false_ci_rope,0.831804,True,0.000752,False,0.597972,True,institutional,tangled_rope,tangled_rope
ai_auditability_gap,5,0.52,0.712364,false_ci_rope,0.841551,True,0.000778,False,0.569766,True,institutional,snare,snare
ai_banal_capture,3,0.68,0.931553,false_ci_rope,0.971704,True,0.000011,False,0.971859,True,institutional,snare,snare
ai_cognitive_diversity_arbitrage,0,0.72,0.98635,false_natural_law,0.962966,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
ai_compute_capital_moat,5,0.62,0.849357,false_ci_rope,0.827192,True,0.000170,False,0.678720,True,institutional,snare,snare
ai_driven_surveillance_sensor_layer,3,0.75,1.027448,false_ci_rope,0.967152,True,0.000050,False,0.967266,True,institutional,snare,snare
ai_edu_decentralization,3,0.5,0.684965,false_ci_rope,0.895743,True,0.000034,False,0.369035,True,institutional,tangled_rope,tangled_rope
ai_evaluators_matching,3,0.75,1.027448,false_ci_rope,0.972693,True,0.000042,False,0.972817,True,institutional,snare,snare
ai_nonconsensual_content_facilitation,3,0.75,1.027448,false_ci_rope,0.963225,True,0.000056,False,0.963334,True,institutional,snare,snare
ai_performance_watermark,6,0.55,0.753462,false_ci_rope,0.793176,True,0.000432,False,0.557379,True,institutional,tangled_rope,tangled_rope
ai_professional_displacement,3,0.71,0.972651,false_ci_rope,0.980633,True,0.000018,False,0.980797,True,institutional,snare,snare
ai_religion_regulation,5,0.6,0.821958,false_ci_rope,0.823293,True,0.000294,False,0.686871,True,institutional,snare,snare
ai_scholar_citation_trap,3,0.55,0.753462,constructed_high_extraction,0.970954,True,0.000090,False,0.977077,True,institutional,snare,snare
ai_superpowers_2026,3,0.64,0.876756,constructed_high_extraction,0.996130,True,0.000001,False,0.996216,True,institutional,snare,snare
ai_task_horizon_reliability,3,0.48,0.657567,false_ci_rope,0.803683,True,0.000207,False,0.465895,True,institutional,tangled_rope,tangled_rope
ai_training_data_dependency,3,0.48,0.657567,false_ci_rope,0.796721,True,0.000428,False,0.529382,True,institutional,tangled_rope,tangled_rope
airbnb_str_regulation,5,0.6,0.821958,false_ci_rope,0.854378,True,0.000254,False,0.700445,True,institutional,snare,snare
airport_slot_use_it_or_lose_it,3,0.75,1.027448,false_ci_rope,0.934426,True,0.000098,False,0.934482,True,institutional,snare,snare
algeria_france_colonial_legacy,3,0.75,1.027448,false_ci_rope,0.926918,True,0.000108,False,0.926988,True,institutional,snare,snare
algorithmic_bias,3,0.75,1.027448,false_ci_rope,0.982558,True,0.000026,False,0.982674,True,institutional,snare,snare
algorithmic_epistemic_capture,0,0.85,1.164441,constructed_high_extraction,0.549428,False,0.000574,False,0.549543,False,institutional,snare,snare
alignment_tax_tradeoff,0,0.84,1.150742,constructed_high_extraction,0.809679,False,0.000527,False,0.619738,False,institutional,snare,snare
alternative_sovereignty_scaffold,0,0.22,0.301385,coupling_invariant_rope,0.952670,False,0.000000,False,0.000000,False,,rope,rope
altruistic_misery_paradox_2026,0,0.62,0.849357,constructed_high_extraction,0.815199,False,0.000177,False,0.745971,False,institutional,snare,snare
alzheimers_levetiracetam,3,0.35,0.479476,false_ci_rope,0.874873,True,0.001191,False,0.203767,True,institutional,tangled_rope,tangled_rope
alzheimers_nlrp3_inflammasome,3,0.85,1.164441,constructed_high_extraction,0.999494,True,0.000001,False,0.999536,True,institutional,snare,snare
amish_technological_renunciation,3,0.8,1.095945,false_ci_rope,0.933047,True,0.000143,False,0.933097,True,institutional,snare,snare
ancestral_pueblo_hydrology,3,0.82,1.123343,constructed_high_extraction,0.944343,True,0.000133,False,0.944394,True,institutional,snare,snare
