constraint_id,epsilon,E_total,E_edge12,E_edge23,E_edge34,h1_band,d_pattern
26usc469_real_estate_exemption,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
absorbing_markov_chain_trap,0.55,0.24510879647866574,0.0707693207230281,0.17131745473541563,0.0030220210202219072,5,"(0.9, 0.7, 0.12, 0.72)"
abstraction_boundary_overrun,0.81,0.5316300206822323,0.15349344244314653,0.3715819252191946,0.006554653019891395,3,"(0.9, 0.7, 0.12, 0.72)"
abstraction_leakage,0.74,0.4437161970245629,0.12810955769783935,0.31013587944664117,0.0054707598800824535,3,"(0.9, 0.7, 0.12, 0.72)"
academic_fashion_modernism_2026,0.68,0.37467949814123036,0.10817765356675646,0.2618822823230721,0.0046195622514016346,0,"(0.9, 0.7, 0.12, 0.72)"
academic_peer_review_gatekeeping,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
academic_tenure_system,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
access_arbitrage,0.45,0.164084543579486,0.047374252451599506,0.11468721904922799,0.002023072078658474,3,"(0.9, 0.7, 0.12, 0.72)"
acip_hep_b_infant_mandate,0.18,0.02625433523125018,0.007580063511286734,0.018350571496690848,0.00032370022327258375,0,"(0.9, 0.7, 0.12, 0.72)"
ad_fus_coordination,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
ad_synaptic_deficit,0.85,0.5854325660294332,0.1690271194854501,0.40918742741521974,0.007218019128763465,3,"(0.9, 0.7, 0.12, 0.72)"
adaptive_lag_trap,0.83,0.5582055804687291,0.16116573610349202,0.39015751313230573,0.006882331232931488,3,"(0.9, 0.7, 0.12, 0.72)"
adversarial_surface_inflation,0.84,0.5717322596354415,0.16507262225758884,0.3996105365502568,0.007049100827595705,3,"(0.9, 0.7, 0.12, 0.72)"
adversarial_truth_decay,0.89,0.6418296789474931,0.18530974622854388,0.4486065776422516,0.007913355076697999,0,"(0.9, 0.7, 0.12, 0.72)"
adverse_possession,0.65,0.3423441400460459,0.0988432004082694,0.23928006615060907,0.004220873487167435,3,"(0.9, 0.7, 0.12, 0.72)"
advice_as_dangerous_gift,0.35,0.09926048436349684,0.028658401315975898,0.06937825628801429,0.001223826759506642,3,"(0.9, 0.7, 0.12, 0.72)"
agency_atrophy,0.88,0.6274816742331264,0.1811689063178605,0.43857632739010693,0.007736440525159048,3,"(0.9, 0.7, 0.12, 0.72)"
agent_opt_2026,0.7,0.39704192292848406,0.11463360526390359,0.27751302515205717,0.004895292512523282,0,"(0.9, 0.7, 0.12, 0.72)"
agg1_genetic_determinism,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
aging_longevity_tests,0.52,0.21910158164233026,0.0632596482612924,0.1531405535593708,0.002701379821667107,3,"(0.9, 0.7, 0.12, 0.72)"
ai_adoption_stigma,0.52,0.21910158164233026,0.0632596482612924,0.1531405535593708,0.002701379821667107,5,"(0.9, 0.7, 0.12, 0.72)"
ai_auditability_gap,0.52,0.21910158164233026,0.0632596482612924,0.1531405535593708,0.002701379821667107,5,"(0.9, 0.7, 0.12, 0.72)"
ai_banal_capture,0.68,0.37467949814123036,0.10817765356675646,0.2618822823230721,0.0046195622514016346,3,"(0.9, 0.7, 0.12, 0.72)"
ai_cognitive_diversity_arbitrage,0.72,0.42005527087206396,0.12127834242400684,0.29359789868914854,0.005179029758908443,0,"(0.9, 0.7, 0.12, 0.72)"
ai_compute_capital_moat,0.62,0.6458040310734977,0.4242581966826049,0.2177055363852224,0.003840298005670279,5,"(0.9, 0.7, 0.12, 0.72)"
ai_driven_surveillance_sensor_layer,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
ai_edu_decentralization,0.5,0.2025709220377498,0.05848666035519282,0.14158669201950094,0.0024975696630559576,3,"(0.9, 0.7, 0.12, 0.72)"
ai_evaluators_matching,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
ai_nonconsensual_content_facilitation,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
ai_performance_watermark,0.55,0.5082062267529835,0.333866750997346,0.17131745473541563,0.0030220210202219072,6,"(0.9, 0.7, 0.12, 0.72)"
ai_professional_displacement,0.71,0.4084633641348224,0.1179329180120005,0.2854943476956721,0.0050360984271498755,3,"(0.9, 0.7, 0.12, 0.72)"
ai_religion_regulation,0.6,0.29170366754150173,0.08422097439158753,0.2038861688467418,0.0035965243031721244,5,"(0.9, 0.7, 0.12, 0.72)"
ai_scholar_citation_trap,0.55,0.24510879647866574,0.0707693207230281,0.17131745473541563,0.0030220210202219072,3,"(0.9, 0.7, 0.12, 0.72)"
ai_superpowers_2026,0.64,0.33189536938238207,0.09582529365532037,0.23197801114410432,0.004092064582957283,3,"(0.9, 0.7, 0.12, 0.72)"
ai_task_horizon_reliability,0.48,0.18668903078347623,0.05390133074393555,0.13048593770003242,0.0023017623395082854,3,"(0.9, 0.7, 0.12, 0.72)"
ai_training_data_dependency,0.48,0.18668903078347623,0.05390133074393555,0.13048593770003242,0.0023017623395082854,3,"(0.9, 0.7, 0.12, 0.72)"
airbnb_str_regulation,0.6,0.29170366754150173,0.08422097439158753,0.2038861688467418,0.0035965243031721244,5,"(0.9, 0.7, 0.12, 0.72)"
airport_slot_use_it_or_lose_it,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
algeria_france_colonial_legacy,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
algorithmic_bias,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
algorithmic_epistemic_capture,0.85,0.5854325660294332,0.1690271194854501,0.40918742741521974,0.007218019128763465,0,"(0.9, 0.7, 0.12, 0.72)"
alignment_tax_tradeoff,0.84,0.5717322596354415,0.16507262225758884,0.3996105365502568,0.007049100827595705,0,"(0.9, 0.7, 0.12, 0.72)"
alternative_sovereignty_scaffold,0.22,0.03921880314788762,0.011322927920677859,0.02741232456357134,0.00048355066363841914,0,"(0.9, 0.7, 0.12, 0.72)"
altruistic_misery_paradox_2026,0.62,0.31147508122502504,0.08992924683413242,0.2177055363852224,0.003840298005670279,0,"(0.9, 0.7, 0.12, 0.72)"
alzheimers_levetiracetam,0.35,0.09926048436349684,0.028658401315975898,0.06937825628801429,0.001223826759506642,3,"(0.9, 0.7, 0.12, 0.72)"
alzheimers_nlrp3_inflammasome,0.85,0.5854325660294332,0.1690271194854501,0.40918742741521974,0.007218019128763465,3,"(0.9, 0.7, 0.12, 0.72)"
amish_technological_renunciation,0.8,0.5185790186585607,0.14972690900812705,0.3624583786813388,0.006393730969094819,3,"(0.9, 0.7, 0.12, 0.72)"
ancestral_pueblo_hydrology,0.82,0.5448327120091823,0.15730676469477264,0.3808085361536563,0.006717411160752992,3,"(0.9, 0.7, 0.12, 0.72)"
ancient_antibiotic_resistance,0.05,0.00020289709919959838,0.0002014725644006931,2.1192821330943042e-12,1.4245326796230126e-06,0,"(1.0, 0.6459, 0.0, 0.725)"
ancient_grudge_verona,0.8,0.5185790186585607,0.14972690900812705,0.3624583786813388,0.006393730969094819,3,"(0.9, 0.7, 0.12, 0.72)"
anticipatory_capacity_failure,0.83,0.5582055804687291,0.16116573610349202,0.39015751313230573,0.006882331232931488,0,"(0.9, 0.7, 0.12, 0.72)"
antifragility,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
antikythera_knowledge_loss,0.05,0.00020289709919959838,0.0002014725644006931,2.1192821330943042e-12,1.4245326796230126e-06,0,"(1.0, 0.6459, 0.0, 0.725)"
antikythera_planetary_model,0.55,0.24510879647866574,0.0707693207230281,0.17131745473541563,0.0030220210202219072,5,"(0.9, 0.7, 0.12, 0.72)"
apartheid_nuclear_program,0.85,0.5854325660294332,0.1690271194854501,0.40918742741521974,0.007218019128763465,3,"(0.9, 0.7, 0.12, 0.72)"
ape_cognition_framework,0.55,0.24510879647866574,0.0707693207230281,0.17131745473541563,0.0030220210202219072,5,"(0.9, 0.7, 0.12, 0.72)"
appropriations_brinkmanship,0.65,0.3423441400460459,0.0988432004082694,0.23928006615060907,0.004220873487167435,3,"(0.9, 0.7, 0.12, 0.72)"
arctic_geopolitical_flashpoint,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
arctic_maritime_control,0.55,0.24510879647866574,0.0707693207230281,0.17131745473541563,0.0030220210202219072,5,"(0.9, 0.7, 0.12, 0.72)"
arg_ev_tariff,0.55,0.24510879647866574,0.0707693207230281,0.17131745473541563,0.0030220210202219072,5,"(0.9, 0.7, 0.12, 0.72)"
armra_colostrum_regulation,0.48,0.18668903078347623,0.05390133074393555,0.13048593770003242,0.0023017623395082854,3,"(0.9, 0.7, 0.12, 0.72)"
arrows_impossibility_theorem,0.6,0.29170366754150173,0.08422097439158753,0.2038861688467418,0.0035965243031721244,3,"(0.9, 0.7, 0.12, 0.72)"
art_market_decoupling,0.84,0.5717322596354415,0.16507262225758884,0.3996105365502568,0.007049100827595705,0,"(0.9, 0.7, 0.12, 0.72)"
artificial_scarcity_scaffold,0.48,0.18668903078347623,0.05390133074393555,0.13048593770003242,0.0023017623395082854,3,"(0.9, 0.7, 0.12, 0.72)"
artificial_snow_2026,0.48,0.18668903078347623,0.05390133074393555,0.13048593770003242,0.0023017623395082854,3,"(0.9, 0.7, 0.12, 0.72)"
asce_7_22_seismic_design,0.35,0.09926048436349684,0.028658401315975898,0.06937825628801429,0.001223826759506642,3,"(0.9, 0.7, 0.12, 0.72)"
asean_ceasefire_2011,0.15,0.01823107214276376,0.005263826114045045,0.012742469199810754,0.00022477682890795407,0,"(0.9, 0.7, 0.12, 0.72)"
asshole_filter_2015,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
astm_d638_tensile_testing,0.1,0.00810299678227003,0.0023394002586152444,0.005663689739037294,9.9906784617496e-05,3,"(0.9, 0.7, 0.12, 0.72)"
asymmetric_burden_distribution,0.89,0.6418296789474931,0.18530974622854388,0.4486065776422516,0.007913355076697999,0,"(0.9, 0.7, 0.12, 0.72)"
asymmetric_computational_difficulty,0.85,0.5854325660294332,0.1690271194854501,0.40918742741521974,0.007218019128763465,0,"(0.9, 0.7, 0.12, 0.72)"
atrophied_optimization_piton,0.48,0.18668903078347623,0.05390133074393555,0.13048593770003242,0.0023017623395082854,0,"(0.9, 0.7, 0.12, 0.72)"
attention_as_bottleneck_resource,0.87,0.6133070040417028,0.17707485522378355,0.4286704489185349,0.007561699899384294,3,"(0.9, 0.7, 0.12, 0.72)"
attention_market_cannibalization,0.91,0.6710015075684449,0.19373267280020798,0.46899581358636927,0.008273021181867903,3,"(0.9, 0.7, 0.12, 0.72)"
attribution_ambiguity_triplet_sc,0.42,0.14293366933045396,0.04126844391196123,0.09990295021159379,0.0017622752068989262,3,"(0.9, 0.7, 0.12, 0.72)"
attritional_warfare_doctrine_ru_ua_2026,0.75,0.45578494512689083,0.13159534855966562,0.31857005704387703,0.005619539523347953,3,"(0.9, 0.7, 0.12, 0.72)"
au_social_media_ban_u16,0.48,0.18668903078347623,0.05390133074393555,0.13048593770003242,0.0023017623395082854,3,"(0.9, 0.7, 0.12, 0.72)"
australia_social_ban_2026,0.72,0.42005527087206396,0.12127834242400684,0.29359789868914854,0.005179029758908443,3,"(0.9, 0.7, 0.12, 0.72)"
authoritarian_power_paradox,0.8,0.5185790186585607,0.14972690900812705,0.3624583786813388,0.006393730969094819,3,"(0.9, 0.7, 0.12, 0.72)"
automatic_enrollment_defaults,0.05,0.0020255256666316082,0.00058490857634965,0.0014156448728208603,2.4972217461098083e-05,0,"(0.9, 0.7, 0.12, 0.72)"
autonomous_toolchain_sprawl,0.84,0.5717322596354415,0.16507262225758884,0.3996105365502568,0.007049100827595705,3,"(0.9, 0.7, 0.12, 0.72)"
availability_heuristic,0.4,0.12964475051454127,0.03743172725203176,0.0906145946703347,0.0015984285921747821,3,"(0.9, 0.7, 0.12, 0.72)"
average_is_over_2026,0.68,0.37467949814123036,0.10817765356675646,0.2618822823230721,0.0046195622514016346,3,"(0.9, 0.7, 0.12, 0.72)"
awareness_without_leverage,0.73,0.4318000195835967,0.12467055565261978,0.30180564875957394,0.005323815171402981,3,"(0.9, 0.7, 0.12, 0.72)"
axiom_of_choice,0.25,0.050642854023590526,0.014621786009125486,0.035396673004875236,0.0006243950095898017,4,"(0.9, 0.7, 0.12, 0.72)"
axiom_reasoner_2026,0.48,0.18668903078347623,0.05390133074393555,0.13048593770003242,0.0023017623395082854,3,"(0.9, 0.7, 0.12, 0.72)"
