extent_size,intent_size,intent_gates_sample
1144,1,chi_institutional_le_rope
1056,1,has_coordination_function
1050,2,has_coordination_function; chi_institutional_le_rope
1044,1,has_asymmetric_extraction
1043,2,has_coordination_function; has_asymmetric_extraction
1038,2,has_asymmetric_extraction; chi_institutional_le_rope
1037,3,has_coordination_function; has_asymmetric_extraction; chi_institutional_le_rope
937,1,requires_active_enforcement
935,2,requires_active_enforcement; has_coordination_function
931,2,requires_active_enforcement; chi_institutional_le_rope
929,1,supp_ge_enforcement
929,3,requires_active_enforcement; has_coordination_function; chi_institutional_le_rope
929,3,requires_active_enforcement; has_coordination_function; has_asymmetric_extraction
928,2,has_coordination_function; supp_ge_enforcement
927,3,has_coordination_function; has_asymmetric_extraction; supp_ge_enforcement
923,2,supp_ge_enforcement; chi_institutional_le_rope
923,4,requires_active_enforcement; has_coordination_function; has_asymmetric_extraction; chi_institutional_le_rope
922,3,has_coordination_function; supp_ge_enforcement; chi_institutional_le_rope
922,1,eps_ge_tr_floor
921,4,has_coordination_function; has_asymmetric_extraction; supp_ge_enforcement; chi_institutional_le_rope
