extent_size,intent_size,intent_gates_sample
183,1,has_coordination_function
181,1,chi_institutional_le_rope
174,1,has_asymmetric_extraction
173,2,has_coordination_function; chi_institutional_le_rope
172,1,eps_ge_tr_floor
171,1,supp_ge_enforcement
170,2,eps_ge_tr_floor; supp_ge_enforcement
170,2,has_asymmetric_extraction; eps_ge_tr_floor
169,2,has_asymmetric_extraction; supp_ge_enforcement
169,2,has_coordination_function; has_asymmetric_extraction
168,3,has_asymmetric_extraction; eps_ge_tr_floor; supp_ge_enforcement
167,2,has_coordination_function; eps_ge_tr_floor
166,2,has_coordination_function; supp_ge_enforcement
165,3,has_coordination_function; eps_ge_tr_floor; supp_ge_enforcement
165,3,has_coordination_function; has_asymmetric_extraction; eps_ge_tr_floor
164,2,has_asymmetric_extraction; chi_institutional_le_rope
164,2,requires_active_enforcement; has_asymmetric_extraction
164,3,has_coordination_function; has_asymmetric_extraction; supp_ge_enforcement
163,3,has_asymmetric_extraction; eps_ge_tr_floor; chi_moderate_in_tr_range
163,4,has_coordination_function; has_asymmetric_extraction; eps_ge_tr_floor; supp_ge_enforcement
