constraint_id,h1,epsilon,chi_analytical,signature,audit_max_tvd,audit_fires,corrected_tvd_analytical,corrected_fires,corrected_tvd_all_ctx,corrected_fires_all_ctx,corrected_worst_ctx,argmax_cl,argmax_idx_corrected
abolition_reading,0,0.88,1.205539,false_natural_law,0.918239,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
abolitionist_rights,0,0.78,1.068546,false_natural_law,0.793650,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
absolutist_reading,0,0.68,0.931553,false_natural_law,0.132758,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
adaptation_priority,0,0.68,0.931553,false_natural_law,0.132125,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
adaptation_priority_reading,0,0.58,0.79456,false_natural_law,0.629955,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
antisubordination_reading,0,0.58,0.79456,false_natural_law,0.586048,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
autonomy_reading,0,0.52,0.712364,false_natural_law,0.370383,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
balancing_reading,0,0.58,0.79456,false_natural_law,0.620484,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
became_thinkable_reading,0,0.58,0.79456,false_natural_law,0.049882,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
behavioral_competence_reading,4,0.08,0.109594,false_summit_mountain,0.039968,False,0.001334,False,0.141357,True,powerless,mountain,mountain
beneficiary_agency_reading,0,0.52,0.712364,false_ci_rope,0.000019,False,0.000009,False,0.998773,False,institutional,tangled_rope,tangled_rope
beneficiary_maintained_reading,0,0.58,0.79456,false_natural_law,0.638401,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
beneficiary_maintenance_reading,0,0.58,0.79456,false_natural_law,0.367281,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
biology_reading,0,0.58,0.79456,false_natural_law,0.566006,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
birth_reading,0,0.12,0.164392,coupling_invariant_rope,0.044401,False,0.000000,False,0.000000,False,,rope,rope
birth_threshold_reading,0,0.38,0.520574,false_natural_law,0.125424,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
bodily_autonomy_primary,3,0.68,0.931553,false_ci_rope,0.847641,True,0.000045,False,0.847606,True,institutional,snare,snare
bridge_reading,0,0.38,0.520574,false_natural_law,0.105338,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
catastrophe_as_necessary,0,0.68,0.931553,false_natural_law,0.987938,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
catastrophic_tail_dominant,0,0.58,0.79456,false_natural_law,0.629580,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
catastrophic_tail_reading,0,0.58,0.79456,false_natural_law,0.633151,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
categorical_abolition,0,0.32,0.438378,false_natural_law,0.080717,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
civic_eugenic_reading,0,0.68,0.931553,false_natural_law,0.049971,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
civic_right_reading,0,0.48,0.657567,false_natural_law,0.049462,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
co_constitution_reading,3,0.38,0.520574,false_ci_rope,0.006561,False,0.000001,False,0.000046,False,institutional,tangled_rope,tangled_rope
codification_asymmetry,0,0.58,0.79456,false_natural_law,0.317358,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
collective_militia_reading,5,0.58,0.79456,false_ci_rope,0.303489,True,0.000128,False,0.262629,True,powerless,tangled_rope,tangled_rope
collective_right_reading,0,0.32,0.438378,false_natural_law,0.049979,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
colorblind_reading,6,0.52,0.712364,false_ci_rope,0.399809,True,0.000053,False,0.103657,True,powerless,tangled_rope,tangled_rope
commemorative_husk_reading,0,0.68,0.931553,false_natural_law,0.970969,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
communal_autonomy_reading,0,0.48,0.657567,false_natural_law,0.316463,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
competence_reading,0,0.28,0.383581,false_natural_law,0.922344,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
composite_reading,5,0.52,0.712364,false_ci_rope,0.398998,True,0.000053,False,0.103178,True,powerless,tangled_rope,tangled_rope
conception_reading,0,0.68,0.931553,false_natural_law,0.049999,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
conceptual_emergence_reading,0,0.18,0.246588,false_ci_rope,0.006963,False,0.001614,False,0.503016,False,institutional,rope,rope
constitutional_hybrid_reading,3,0.24,0.328783,false_ci_rope,0.697405,True,0.000030,False,0.036690,False,institutional,tangled_rope,tangled_rope
constitutional_supremacy_reading,0,0.28,0.383581,false_natural_law,0.049997,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
consumer_adoption_friction,0,0.52,0.712364,false_natural_law,0.057631,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
continuationist_reading,0,0.58,0.79456,false_natural_law,0.608997,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
continuity_reading,0,0.12,0.164392,false_ci_rope,0.001155,False,0.000890,False,0.297482,False,institutional,rope,rope
continuous_refresh_hybrid,0,0.58,0.79456,false_natural_law,0.532086,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
contraction_reading,0,0.38,0.520574,false_natural_law,0.124821,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
