constraint_id,epsilon,E_total,E_edge12,E_edge23,E_edge34,h1_band,d_pattern
academic_peer_review_gatekeeping,0.58,0.5651612126141776,0.3712805485746777,0.19051990852866252,0.0033607555108374648,6,"(0.9, 0.7, 0.12, 0.72)"
adversarial_surface_inflation,0.52,0.45427984119818215,0.29843790781714447,0.1531405535593708,0.002701379821667107,0,"(0.9, 0.7, 0.12, 0.72)"
agentive_optimism_2026,0.52,0.21910158164233026,0.0632596482612924,0.1531405535593708,0.002701379821667107,5,"(0.9, 0.7, 0.12, 0.72)"
ai_compute_capital_moat,0.58,0.5651612126141776,0.3712805485746777,0.19051990852866252,0.0033607555108374648,0,"(0.9, 0.7, 0.12, 0.72)"
ai_evaluators_matching,0.58,0.27258052125496923,0.07869985721546927,0.19051990852866252,0.0033607555108374648,0,"(0.9, 0.7, 0.12, 0.72)"
banach_tarski_paradox,0.08,0.0005193924672502686,0.0005157439766974207,3.8618125693558934e-13,3.6484901666671846e-06,0,"(1.0, 0.6459, 0.0, 0.725)"
blackstone_tax_receiveable_agreement,0.68,0.12513239292088824,0.006642789849034423,0.11387004082045227,0.0046195622514016346,5,"(0.9, 0.58, 0.12, 0.72)"
boltzmann_universality_2026,0.12,0.001168633051313106,0.001160423947569198,8.689078281180123e-13,8.209102875001167e-06,0,"(1.0, 0.6459, 0.0, 0.725)"
cancer_prevention,0.58,0.5651612126141776,0.3712805485746777,0.19051990852866252,0.0033607555108374648,0,"(0.9, 0.7, 0.12, 0.72)"
cantor_set_topology,0.12,0.001168633051313106,0.001160423947569198,8.689078281180123e-13,8.209102875001167e-06,0,"(1.0, 0.6459, 0.0, 0.725)"
carrier_deployment_deterrence,0.58,8.482540740716033,0.3712805485746777,7.993351038348789,0.11790915379256564,5,"(0.9, 0.7, 0.42, 0.72)"
castration_longevity_choice,0.52,0.5650557973012303,0.29843790781714447,0.2622105495123272,0.004407339971758704,0,"(0.9, 0.7, 0.15, 0.72)"
cb_far_beyond_human,0.58,0.5651612126141776,0.3712805485746777,0.19051990852866252,0.0033607555108374648,0,"(0.9, 0.7, 0.12, 0.72)"
cbdc_implementation,0.52,0.45427984119818215,0.29843790781714447,0.1531405535593708,0.002701379821667107,6,"(0.9, 0.7, 0.12, 0.72)"
central_limit_theorem_convergence,0.08,0.0005193924672502686,0.0005157439766974207,3.8618125693558934e-13,3.6484901666671846e-06,0,"(1.0, 0.6459, 0.0, 0.725)"
china_contraceptive_tax,0.52,0.45427984119818215,0.29843790781714447,0.1531405535593708,0.002701379821667107,6,"(0.9, 0.7, 0.12, 0.72)"
cholesterol_pill_cost,0.58,0.5651612126141776,0.3712805485746777,0.19051990852866252,0.0033607555108374648,5,"(0.9, 0.7, 0.12, 0.72)"
climate_catastrophe_belief,0.52,0.4315758373713851,0.2757339039903473,0.1531405535593708,0.002701379821667107,6,"(0.9, 0.7, 0.12, 0.72)"
clt_convergence_2026,0.08,0.0005193924672502686,0.0005157439766974207,3.8618125693558934e-13,3.6484901666671846e-06,0,"(1.0, 0.6459, 0.0, 0.725)"
coalition_disinfo_framework_2026,0.54,1.5408349499986964,0.32183639391816093,1.2004326108244272,0.018565945256108343,0,"(0.9, 0.7, 0.25, 0.72)"
coe_ukraine_reparations_register,0.52,0.45427984119818215,0.29843790781714447,0.1531405535593708,0.002701379821667107,6,"(0.9, 0.7, 0.12, 0.72)"
coffee_cardiovascular_2026,0.38,0.11700409494541983,0.03378216585852887,0.08177934634947688,0.001442582737414098,0,"(0.9, 0.7, 0.12, 0.72)"
cognac_geopolitical_risk,0.52,0.4027893281251952,0.29843790781714447,0.10246170986659561,0.00188971044145515,6,"(0.9, 0.7, 0.1, 0.72)"
cognitive_bicycle_scaffold,0.28,0.06263796411929141,0.017454612937740557,0.044400134476995964,0.0007832167045549033,0,"(0.92, 0.7, 0.12, 0.72)"
cognitive_diversity_arbitrage,0.58,0.27258052125496923,0.07869985721546927,0.19051990852866252,0.0033607555108374648,0,"(0.9, 0.7, 0.12, 0.72)"
cognitive_induction_gap,0.52,0.12989023395577506,0.0632596482612924,0.0653506778380477,0.00127990785643504,0,"(0.9, 0.7, 0.08, 0.72)"
cognitive_mimicry_arbitrage,0.58,1.0296516425496085,0.07869985721546927,0.9362201317490532,0.01473165358508603,0,"(0.9, 0.7, 0.22, 0.72)"
cognitive_surrender_to_system_3,0.58,0.27258052125496923,0.07869985721546927,0.19051990852866252,0.0033607555108374648,0,"(0.9, 0.7, 0.12, 0.72)"
coinbase_crypto_volatility,0.52,0.4540485668960824,0.29843790781714447,0.1531405535593708,0.0024701055195673507,0,"(0.9, 0.7, 0.12, 0.7)"
coinbase_regulatory_uncertainty,0.52,0.45427984119818215,0.29843790781714447,0.1531405535593708,0.002701379821667107,0,"(0.9, 0.7, 0.12, 0.72)"
cold_dark_matter_paradigm,0.38,0.11700409494541983,0.03378216585852887,0.08177934634947688,0.001442582737414098,0,"(0.9, 0.7, 0.12, 0.72)"
collatz_conjecture_determinism,0.12,0.001168633051313106,0.001160423947569198,8.689078281180123e-13,8.209102875001167e-06,0,"(1.0, 0.6459, 0.0, 0.725)"
collective_action_deadlock,0.52,0.07317298145732071,0.003884498741205494,0.0665871028944481,0.002701379821667107,0,"(0.9, 0.58, 0.12, 0.72)"
collective_stupidity_2026,0.58,0.43599407867100903,0.3712805485746777,0.06342263536533338,0.0012908947309978518,6,"(0.9, 0.7, 0.07, 0.72)"
college_admissions_market,0.58,1.086882886464284,0.8930022224247842,0.19051990852866252,0.0033607555108374648,6,"(0.9, 0.7, 0.12, 0.72)"
colorado_sbe_decentralization_friction,0.52,0.21910158164233026,0.0632596482612924,0.1531405535593708,0.002701379821667107,3,"(0.9, 0.7, 0.12, 0.72)"
colossus_nero_inertia,0.55,0.10403109785392974,0.0707693207230281,0.032527805451614177,0.0007339716792875288,0,"(0.9, 0.7, 0.05, 0.72)"
columbia_2026_elections,0.38,0.11700409494541983,0.03378216585852887,0.08177934634947688,0.001442582737414098,0,"(0.9, 0.7, 0.12, 0.72)"
comitatus_bond,0.38,0.11700409494541983,0.03378216585852887,0.08177934634947688,0.001442582737414098,0,"(0.9, 0.7, 0.12, 0.72)"
commercial_data_brokerage,0.58,0.27258052125496923,0.07869985721546927,0.19051990852866252,0.0033607555108374648,5,"(0.9, 0.7, 0.12, 0.72)"
communal_narcissism_social_trap,0.58,0.5651612126141776,0.3712805485746777,0.19051990852866252,0.0033607555108374648,0,"(0.9, 0.7, 0.12, 0.72)"
complexity_debt,0.52,0.34332153792620584,0.22472432604675321,0.11589583205778566,0.002701379821667107,6,"(0.9, 0.65, 0.12, 0.72)"
compounding_logic,0.35,0.09926048436349684,0.028658401315975898,0.06937825628801429,0.001223826759506642,0,"(0.9, 0.7, 0.12, 0.72)"
condiment_tyranny,0.38,0.11700409494541983,0.03378216585852887,0.08177934634947688,0.001442582737414098,3,"(0.9, 0.7, 0.12, 0.72)"
confidential_ai_whatsapp,0.52,0.33581023302825147,0.17996829964721356,0.1531405535593708,0.002701379821667107,6,"(0.9, 0.7, 0.12, 0.72)"
confirmation_bias,0.58,0.7029657077990813,0.3712805485746777,0.3262021975324442,0.005482961691959443,0,"(0.9, 0.7, 0.15, 0.72)"
consensus_without_truth,0.58,15.020703559854667,0.3712805485746777,14.438302957183462,0.21112005409653023,0,"(0.9, 0.7, 0.5, 0.72)"
constitutional_consecration,0.38,0.11700409494541983,0.03378216585852887,0.08177934634947688,0.001442582737414098,0,"(0.9, 0.7, 0.12, 0.72)"
constitutional_supremacy,0.52,0.3298775377453783,0.0632596482612924,0.2622105495123272,0.004407339971758704,0,"(0.9, 0.7, 0.15, 0.72)"
consumer_debt_slavery,0.68,9.514008037874639,0.10817765356675646,9.26869395468554,0.13713642962234246,3,"(0.9, 0.7, 0.4, 0.72)"
container_capacity_mismatch,0.52,3.751897133523921,0.29843790781714447,3.4026239478625473,0.05083527784422835,0,"(0.9, 0.7, 0.35, 0.72)"
continuum_hypothesis_undecidability,0.08,0.0005193924672502686,0.0005157439766974207,3.8618125693558934e-13,3.6484901666671846e-06,0,"(1.0, 0.6459, 0.0, 0.725)"
conversational_dogmas_interuption,0.52,0.45427984119818215,0.29843790781714447,0.1531405535593708,0.002701379821667107,0,"(0.9, 0.7, 0.12, 0.72)"
conways_game_of_life_dynamics,0.08,0.0005193924672502686,0.0005157439766974207,3.8618125693558934e-13,3.6484901666671846e-06,0,"(1.0, 0.6459, 0.0, 0.725)"
coordination_attack_vulnerability,0.52,0.45427984119818215,0.29843790781714447,0.1531405535593708,0.002701379821667107,0,"(0.9, 0.7, 0.12, 0.72)"
coordination_fatigue,0.52,0.45427984119818215,0.29843790781714447,0.1531405535593708,0.002701379821667107,0,"(0.9, 0.7, 0.12, 0.72)"
coordination_threshold_failure,0.52,3.5167188739680686,0.0632596482612924,3.4026239478625473,0.05083527784422835,0,"(0.9, 0.7, 0.35, 0.72)"
copyleft_viral_licensing,0.38,0.11700409494541983,0.03378216585852887,0.08177934634947688,0.001442582737414098,0,"(0.9, 0.7, 0.12, 0.72)"
copyright_protection,0.52,0.45427984119818215,0.29843790781714447,0.1531405535593708,0.002701379821667107,0,"(0.9, 0.7, 0.12, 0.72)"
corporate_social_responsibility_theater,0.52,0.45427984119818215,0.29843790781714447,0.1531405535593708,0.002701379821667107,0,"(0.9, 0.7, 0.12, 0.72)"
cosmological_evolution_alpha_omega,0.08,0.0005193924672502686,0.0005157439766974207,3.8618125693558934e-13,3.6484901666671846e-06,0,"(1.0, 0.6459, 0.0, 0.725)"
cost_of_observation,0.58,0.14341338731180048,0.07869985721546927,0.06342263536533338,0.0012908947309978518,0,"(0.9, 0.7, 0.07, 0.72)"
countable_infinity_cardinality,0.08,0.0005193924672502686,0.0005157439766974207,3.8618125693558934e-13,3.6484901666671846e-06,0,"(1.0, 0.6459, 0.0, 0.725)"
couples_residency_match,0.38,0.0390752299637278,0.002074423309754962,0.035558223916558745,0.001442582737414098,4,"(0.9, 0.58, 0.12, 0.72)"
cow_field_poop,0.32,0.05521994491050073,0.010308474724901708,0.04388848602423328,0.001022984161365738,0,"(0.95, 0.65, 0.12, 0.72)"
creative_commons_licensing,0.28,0.07083239998297179,0.007892286967599936,0.06166226435678593,0.0012778486585859178,0,"(0.95, 0.65, 0.15, 0.72)"
credentialism_national_security,0.58,4.667660977584097,0.3712805485746777,4.233137220856424,0.06324320815299385,0,"(0.9, 0.7, 0.35, 0.72)"
credibility_inflation,0.52,0.21910158164233026,0.0632596482612924,0.1531405535593708,0.002701379821667107,0,"(0.9, 0.7, 0.12, 0.72)"
crisis_signal_saturation,0.52,0.5650557973012303,0.29843790781714447,0.2622105495123272,0.004407339971758704,6,"(0.9, 0.7, 0.15, 0.72)"
