constraint_id,emerges_naturally,requires_active_enforcement,has_coordination_function,has_asymmetric_extraction,natural_law_without_beneficiary,sig_constructed_high_extraction,sig_coupling_invariant_rope,sig_false_ci_rope,sig_false_natural_law,sig_natural_law,eps_le_mountain_max,eps_le_rope_ceil,eps_ge_snare_floor,eps_ge_tr_floor,supp_le_mountain,supp_ge_enforcement,supp_ge_snare,theater_ge_piton,chi_powerless_le_rope,chi_powerless_ge_snare,chi_powerless_in_tr_range,chi_moderate_le_rope,chi_moderate_ge_snare,chi_moderate_in_tr_range,chi_institutional_le_rope,chi_institutional_ge_snare,chi_institutional_in_tr_range,chi_analytical_le_rope,chi_analytical_ge_snare,chi_analytical_in_tr_range,h1_eq_0,h1_ge_5
academic_peer_review_gatekeeping,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1
adversarial_surface_inflation,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0
agentive_optimism_2026,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1
ai_compute_capital_moat,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0
ai_evaluators_matching,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0
banach_tarski_paradox,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
blackstone_tax_receiveable_agreement,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
boltzmann_universality_2026,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
cancer_prevention,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0
cantor_set_topology,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
carrier_deployment_deterrence,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1
