constraint_id,h1,epsilon,chi_analytical,signature,audit_max_tvd,audit_fires,corrected_tvd_analytical,corrected_fires,corrected_tvd_all_ctx,corrected_fires_all_ctx,corrected_worst_ctx,argmax_cl,argmax_idx_corrected
academic_peer_review_gatekeeping,6,0.58,0.79456,false_ci_rope,0.449876,True,0.005260,False,0.449876,True,institutional,tangled_rope,tangled_rope
adversarial_surface_inflation,0,0.52,0.712364,false_natural_law,0.695945,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
agentive_optimism_2026,5,0.52,0.712364,false_ci_rope,0.954143,True,0.000260,False,0.954143,True,institutional,snare,snare
ai_compute_capital_moat,0,0.58,0.79456,false_natural_law,0.885480,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
ai_evaluators_matching,0,0.58,0.79456,false_natural_law,0.739502,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
banach_tarski_paradox,0,0.08,0.110402,natural_law,0.049909,False,0.000000,False,0.000000,False,,mountain,mountain
blackstone_tax_receiveable_agreement,5,0.68,0.931553,false_ci_rope,0.921061,True,0.002971,False,0.921061,True,institutional,snare,snare
boltzmann_universality_2026,0,0.12,0.165603,natural_law,0.054867,False,0.000000,False,0.000000,False,,mountain,mountain
cancer_prevention,0,0.58,0.79456,false_natural_law,0.625602,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
cantor_set_topology,0,0.12,0.165603,natural_law,0.054867,False,0.000000,False,0.000000,False,,mountain,mountain
carrier_deployment_deterrence,5,0.58,0.79456,false_ci_rope,0.492397,True,0.005318,False,0.492166,True,powerless,tangled_rope,tangled_rope
castration_longevity_choice,0,0.52,0.712364,false_natural_law,0.694708,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
cb_far_beyond_human,0,0.58,0.79456,false_natural_law,0.735226,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
cbdc_implementation,6,0.52,0.712364,false_ci_rope,0.427162,True,0.001072,False,0.278784,True,institutional,tangled_rope,tangled_rope
central_limit_theorem_convergence,0,0.08,0.110402,natural_law,0.081359,False,0.000000,False,0.000000,False,,mountain,mountain
china_contraceptive_tax,6,0.52,0.712364,false_ci_rope,0.402570,True,0.000818,False,0.189295,True,institutional,tangled_rope,tangled_rope
cholesterol_pill_cost,5,0.58,0.79456,false_ci_rope,0.978590,True,0.000450,False,0.978590,True,institutional,snare,snare
climate_catastrophe_belief,6,0.52,0.712364,false_ci_rope,0.402570,True,0.000818,False,0.189295,True,institutional,tangled_rope,tangled_rope
clt_convergence_2026,0,0.08,0.110402,natural_law,0.081359,False,0.000000,False,0.000000,False,,mountain,mountain
coalition_disinfo_framework_2026,0,0.54,0.739763,false_natural_law,0.722372,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
coe_ukraine_reparations_register,6,0.52,0.712364,false_ci_rope,0.427162,True,0.001072,False,0.278784,True,institutional,tangled_rope,tangled_rope
coffee_cardiovascular_2026,0,0.38,0.520574,false_natural_law,0.222893,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
cognac_geopolitical_risk,6,0.52,0.712364,false_ci_rope,0.998562,True,0.000008,False,0.998562,True,institutional,snare,snare
cognitive_bicycle_scaffold,0,0.28,0.383581,false_natural_law,0.968608,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
cognitive_diversity_arbitrage,0,0.58,0.79456,false_natural_law,0.738068,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
cognitive_induction_gap,0,0.52,0.712364,false_natural_law,0.581864,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
cognitive_mimicry_arbitrage,0,0.58,0.79456,false_natural_law,0.741631,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
cognitive_surrender_to_system_3,0,0.58,0.79456,false_natural_law,0.629082,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
coinbase_crypto_volatility,0,0.52,0.690451,false_natural_law,0.696842,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
coinbase_regulatory_uncertainty,0,0.52,0.712364,false_natural_law,0.693125,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
cold_dark_matter_paradigm,0,0.38,0.520574,false_natural_law,0.880204,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
collatz_conjecture_determinism,0,0.12,0.165603,natural_law,0.054867,False,0.000000,False,0.000000,False,,mountain,mountain
collective_action_deadlock,0,0.52,0.712364,false_natural_law,0.675566,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
collective_stupidity_2026,6,0.58,0.79456,false_ci_rope,0.999548,True,0.000007,False,0.999548,True,institutional,snare,snare
college_admissions_market,6,0.58,0.79456,false_ci_rope,0.450591,True,0.005262,False,0.450602,True,powerless,tangled_rope,tangled_rope
colorado_sbe_decentralization_friction,3,0.52,0.712364,false_ci_rope,0.316209,True,0.000106,False,0.020378,False,institutional,tangled_rope,tangled_rope
colossus_nero_inertia,0,0.55,0.753462,false_natural_law,0.622046,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
columbia_2026_elections,0,0.38,0.520574,false_natural_law,0.536050,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
comitatus_bond,0,0.38,0.520574,false_natural_law,0.405433,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
commercial_data_brokerage,5,0.58,0.79456,false_ci_rope,0.981372,True,0.000391,False,0.981372,True,institutional,snare,snare
communal_narcissism_social_trap,0,0.58,0.79456,false_natural_law,0.975820,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
complexity_debt,6,0.52,0.712364,false_ci_rope,0.312436,True,0.000810,False,0.185317,True,institutional,tangled_rope,tangled_rope
compounding_logic,0,0.35,0.479476,false_natural_law,0.942984,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
condiment_tyranny,3,0.38,0.520574,false_ci_rope,0.615179,True,0.000049,False,0.013498,False,institutional,tangled_rope,tangled_rope
confidential_ai_whatsapp,6,0.52,0.712364,false_ci_rope,0.427029,True,0.001067,False,0.275500,True,institutional,tangled_rope,tangled_rope
confirmation_bias,0,0.58,0.79456,false_natural_law,0.625602,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
consensus_without_truth,0,0.58,0.79456,false_natural_law,0.716998,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
constitutional_consecration,0,0.38,0.520574,false_natural_law,0.525390,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
constitutional_supremacy,0,0.52,0.712364,false_natural_law,0.581864,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
consumer_debt_slavery,3,0.68,0.931553,false_ci_rope,0.975952,True,0.000747,False,0.975939,True,institutional,snare,snare
container_capacity_mismatch,0,0.52,0.712364,false_natural_law,0.695945,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
continuum_hypothesis_undecidability,0,0.08,0.110402,natural_law,0.049919,False,0.000000,False,0.000000,False,,mountain,mountain
conversational_dogmas_interuption,0,0.52,0.712364,false_natural_law,0.581864,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
