constraint	status	purity	F	SI	CC	EX	has_coupling	scope_result	has_nonsense	has_excess	structural	zone
abrahamic_covenant__isaac_covenant_reading	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
abrahamic_covenant__ishmael_covenant_reading	scored	0.8400000000000001	1.0	1.0	1.0	0.19999999999999996	1	invariant	0	1	inconclusive	sound
abrahamic_covenant__land_promise_constraint	scored	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	1	variant_2	1	1	inconclusive	contaminated
academic_citation_metrics_as_career_incentive	scored	0.35	0.125	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
acceptable_risk_energy__catastrophic_tail_reading	scored	0.45716666666666667	0.25	0.75	0.6666666666666667	0.1399999999999999	1	variant_2	1	1	inconclusive	contaminated
acceptable_risk_energy__comparative_harm_reading	scored	0.40216666666666673	0.0	0.75	0.6666666666666667	0.2400000000000001	1	variant_2	1	1	inconclusive	contaminated
acceptable_risk_energy__expected_value_reading	scored	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	1	variant_2	1	1	inconclusive	contaminated
acceptable_risk_for_energy__catastrophic_tail_reading	scored	0.3821666666666667	0.0	0.75	0.6666666666666667	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
acceptable_risk_for_energy__expected_value_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
acceptable_risk_for_energy__precautionary_reading	scored	0.627	0.25	1.0	1.0	0.26	1	invariant	0	1	inconclusive	borderline
ai_alignment_commitment__ethics_justice_reading	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
ai_alignment_commitment__integrated_reading	scored	0.607	0.25	1.0	1.0	0.15999999999999992	1	invariant	0	1	inconclusive	borderline
ai_alignment_commitment__safety_control_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
ai_alignment_priority__existential_risk_reading	scored	0.358	0.125	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
ai_alignment_priority__integrated_reading	scored	0.3445	0.0	0.75	0.5	0.15999999999999992	1	variant_2	1	1	inconclusive	contaminated
ai_alignment_priority__nearterm_harms_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
ai_jailbreak_vulnerability	scored	0.2788333333333334	0.0	0.75	0.33333333333333337	0.040000000000000036	1	variant_2	1	1	inconclusive	degraded
ai_risk_governance_priority__bridge_reading	scored	0.647	0.25	1.0	1.0	0.3600000000000001	1	invariant	0	1	inconclusive	borderline
ai_risk_governance_priority__existential_risk_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
ai_risk_governance_priority__near_term_harms_reading	scored	0.358	0.125	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
ai_risk_prioritization__existential_risk_reading	scored	0.3405	0.0	0.75	0.5	0.14000000000000012	1	variant_2	1	1	inconclusive	contaminated
ai_risk_prioritization__near_term_harms_reading	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
ai_safety_commitment__dual_priority_reading	scored	0.6389999999999999	0.25	1.0	1.0	0.31999999999999995	1	invariant	0	1	inconclusive	borderline
ai_safety_commitment__existential_risk_reading	scored	0.45833333333333337	0.0	1.0	0.8333333333333334	0.0	1	invariant	1	1	inconclusive	contaminated
ai_safety_commitment__near_term_harms_reading	scored	0.5361666666666667	0.5	0.75	0.6666666666666667	0.15999999999999992	1	variant_2	1	1	inconclusive	borderline
ai_safety_verification	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
algorithmic_accountability_regime	scored	0.3205	0.0	0.75	0.5	0.040000000000000036	1	variant_2	1	1	inconclusive	contaminated
algorithmic_filter_bubbles	scored	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	1	variant_2	1	1	inconclusive	contaminated
