constraint	fixed_structural
abrahamic_covenant__isaac_covenant_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
abrahamic_covenant__ishmael_covenant_reading	contaminated+excess_extraction
abrahamic_covenant__land_promise_constraint	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
academic_citation_metrics_as_career_incentive	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
acceptable_risk_energy__catastrophic_tail_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
acceptable_risk_energy__comparative_harm_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
acceptable_risk_energy__expected_value_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
acceptable_risk_for_energy__catastrophic_tail_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
acceptable_risk_for_energy__expected_value_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
acceptable_risk_for_energy__precautionary_reading	contaminated+factorization+excess_extraction
ai_alignment_commitment__ethics_justice_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ai_alignment_commitment__integrated_reading	contaminated+factorization+excess_extraction
ai_alignment_commitment__safety_control_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ai_alignment_priority__existential_risk_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ai_alignment_priority__integrated_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ai_alignment_priority__nearterm_harms_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ai_jailbreak_vulnerability	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ai_risk_governance_priority__bridge_reading	contaminated+factorization+excess_extraction
ai_risk_governance_priority__existential_risk_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ai_risk_governance_priority__near_term_harms_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ai_risk_prioritization__existential_risk_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ai_risk_prioritization__near_term_harms_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ai_safety_commitment__dual_priority_reading	contaminated+factorization+excess_extraction
ai_safety_commitment__existential_risk_reading	contaminated+factorization+nonsensical_coupling+excess_extraction
ai_safety_commitment__near_term_harms_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
ai_safety_verification	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
algorithmic_accountability_regime	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
algorithmic_filter_bubbles	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
alignment_divergence_accumulation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
all_men_created_equal__originalist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
all_men_created_equal__textualist_paradox_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction
