constraint	ip	ep	nbrs
abrahamic_covenant__isaac_covenant_reading	0.3125	0.3125	2
abrahamic_covenant__ishmael_covenant_reading	0.8400000000000001	0.629	5
abrahamic_covenant__land_promise_constraint	0.3541666666666667	0.3541666666666667	5
academic_citation_metrics_as_career_incentive	0.35	0.34646	7
acceptable_risk_energy__catastrophic_tail_reading	0.45716666666666667	0.4005366666666667	16
acceptable_risk_energy__comparative_harm_reading	0.40216666666666673	0.40216666666666673	5
acceptable_risk_energy__expected_value_reading	0.4621666666666667	0.4491666666666667	4
acceptable_risk_for_energy__catastrophic_tail_reading	0.3821666666666667	0.36983333333333335	4
acceptable_risk_for_energy__expected_value_reading	0.3205	0.3205	2
acceptable_risk_for_energy__precautionary_reading	0.627	0.5003633333333334	3
ai_alignment_commitment__ethics_justice_reading	0.3125	0.3125	7
ai_alignment_commitment__integrated_reading	0.607	0.4908	4
ai_alignment_commitment__safety_control_reading	0.3205	0.3189	4
ai_alignment_priority__existential_risk_reading	0.358	0.33804999999999996	6
ai_alignment_priority__integrated_reading	0.3445	0.3349	4
ai_alignment_priority__nearterm_harms_reading	0.3205	0.3205	4
ai_jailbreak_vulnerability	0.2788333333333334	0.2788333333333334	7
ai_risk_governance_priority__bridge_reading	0.647	0.5239	4
ai_risk_governance_priority__existential_risk_reading	0.3205	0.3205	4
ai_risk_governance_priority__near_term_harms_reading	0.358	0.34922	6
ai_risk_prioritization__existential_risk_reading	0.3405	0.33530000000000004	4
ai_risk_prioritization__near_term_harms_reading	0.3205	0.31954	3
ai_safety_commitment__dual_priority_reading	0.6389999999999999	0.5822999999999999	4
ai_safety_commitment__existential_risk_reading	0.45833333333333337	0.45833333333333337	2
ai_safety_commitment__near_term_harms_reading	0.5361666666666667	0.50991	5
ai_safety_verification	0.3205	0.3205	4
algorithmic_accountability_regime	0.3205	0.32002	15
algorithmic_filter_bubbles	0.3125	0.3125	14
alignment_divergence_accumulation	0.358	0.358	2
all_men_created_equal__originalist_reading	0.3125	0.3125	6
all_men_created_equal__textualist_paradox_reading	0.35	0.34249999999999997	4
all_men_created_equal__universalist_reading	0.599	0.4919	2
alternative_governance_emergence	0.627	0.627	3
amun_priesthood_authority_substrate	0.3685	0.3685	2
aneyoshi_land_use_prohibition__behavioral_competence_reading	1.0	1.0	1
aneyoshi_land_use_prohibition__commemorative_husk_reading	0.575	0.575	3
animal_moral_status__abolitionist_reading	0.5	0.4937708333333333	2
animal_moral_status__property_reading	1.0	0.6900333333333333	3
animal_moral_status__welfare_reading	0.4501666666666667	0.4501666666666667	6
animal_status__abolitionist_reading	0.575	0.5662062499999999	3
animal_status__property_reading	1.0	0.7012499999999999	3
animal_status__welfare_reading	0.6549999999999999	0.6205999999999999	3
animal_status_kernel__property_reading	0.575	0.5651562499999999	3
animal_status_kernel__welfare_reading	0.615	0.599	3
anonymity_commons_degradation	0.3205	0.32002	19
anthropological_record__creationist_reading	0.3805	0.3669	5
anthropological_record__indigenous_epistemology_reading	0.4983333333333334	0.42895000000000005	5
anthropological_record__naturalist_reading	0.3125	0.3125	4
arctic_resource_competition	0.3405	0.3405	5
article17_erasure_right__censorship_mechanism_reading	0.3125	0.3125	4
article17_erasure_right__competitive_moat_reading	0.3285	0.3285	4
article17_erasure_right__privacy_fundamental_reading	0.44599999999999995	0.3958	4
article_17_complementarity__international_oversight_reading	0.3205	0.3205	4
article_17_complementarity__national_primacy_reading	0.607	0.53299	4
article_17_complementarity__procedural_gatekeeping_mechanism	0.2788333333333334	0.2788333333333334	3
article_27_veto_power__coordination_reading	0.992	0.822125	4
article_27_veto_power__oligopoly_reading	0.3125	0.3125	4
article_27_veto_power__sovereignty_reading	1.0	0.86218	4
article_2_7_chapter_vii_tension__p5_veto_gatekeeper	0.3125	0.3125	4
article_2_7_chapter_vii_tension__r2p_reading	0.4663333333333334	0.43995000000000006	4
