constraint	structural	purity
abrahamic_covenant__isaac_covenant_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
abrahamic_covenant__ishmael_covenant_reading	contaminated+excess_extraction	0.8400000000000001
abrahamic_covenant__land_promise_constraint	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
academic_citation_metrics_as_career_incentive	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.35
acceptable_risk_energy__catastrophic_tail_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.45716666666666667
acceptable_risk_energy__comparative_harm_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.40216666666666673
acceptable_risk_energy__expected_value_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
acceptable_risk_for_energy__catastrophic_tail_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3821666666666667
acceptable_risk_for_energy__expected_value_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
acceptable_risk_for_energy__precautionary_reading	contaminated+factorization+excess_extraction	0.627
ai_alignment_commitment__ethics_justice_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
ai_alignment_commitment__integrated_reading	contaminated+factorization+excess_extraction	0.607
ai_alignment_commitment__safety_control_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
ai_alignment_priority__existential_risk_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.358
ai_alignment_priority__integrated_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3445
ai_alignment_priority__nearterm_harms_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
ai_jailbreak_vulnerability	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.2788333333333334
ai_risk_governance_priority__bridge_reading	contaminated+factorization+excess_extraction	0.647
ai_risk_governance_priority__existential_risk_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
ai_risk_governance_priority__near_term_harms_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.358
ai_risk_prioritization__existential_risk_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
ai_risk_prioritization__near_term_harms_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
ai_safety_commitment__dual_priority_reading	contaminated+factorization+excess_extraction	0.6389999999999999
ai_safety_commitment__existential_risk_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.45833333333333337
ai_safety_commitment__near_term_harms_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.5361666666666667
ai_safety_verification	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
algorithmic_accountability_regime	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
algorithmic_filter_bubbles	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
alignment_divergence_accumulation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.358
all_men_created_equal__originalist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
all_men_created_equal__textualist_paradox_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.35
all_men_created_equal__universalist_reading	contaminated+factorization+excess_extraction	0.599
alternative_governance_emergence	contaminated+factorization+excess_extraction	0.627
amun_priesthood_authority_substrate	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3685
aneyoshi_land_use_prohibition__behavioral_competence_reading	pure_coordination	1.0
aneyoshi_land_use_prohibition__commemorative_husk_reading	contaminated+factorization+excess_extraction	0.575
animal_moral_status__abolitionist_reading	contaminated+factorization+excess_extraction	0.5
animal_moral_status__property_reading	pure_coordination	1.0
animal_moral_status__welfare_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4501666666666667
animal_status__abolitionist_reading	contaminated+factorization+excess_extraction	0.575
animal_status__property_reading	pure_coordination	1.0
animal_status__welfare_reading	contaminated+factorization+excess_extraction	0.6549999999999999
animal_status_kernel__property_reading	contaminated+factorization+excess_extraction	0.575
animal_status_kernel__welfare_reading	contaminated+factorization+excess_extraction	0.615
anonymity_commons_degradation	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
anthropological_record__creationist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3805
anthropological_record__indigenous_epistemology_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4983333333333334
anthropological_record__naturalist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
arctic_resource_competition	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
article17_erasure_right__censorship_mechanism_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
article17_erasure_right__competitive_moat_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
article17_erasure_right__privacy_fundamental_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.44599999999999995
article_17_complementarity__international_oversight_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
article_17_complementarity__national_primacy_reading	contaminated+factorization+excess_extraction	0.607
article_17_complementarity__procedural_gatekeeping_mechanism	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.2788333333333334
article_27_veto_power__coordination_reading	pure_coordination	0.992
article_27_veto_power__oligopoly_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
article_27_veto_power__sovereignty_reading	pure_coordination	1.0
article_2_7_chapter_vii_tension__p5_veto_gatekeeper	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
article_2_7_chapter_vii_tension__r2p_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.4663333333333334
article_2_7_chapter_vii_tension__sovereignty_first_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
article_51_self_defense__expansive_preventive_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
article_51_self_defense__narrow_armed_attack_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
article_51_self_defense__unable_unwilling_doctrine_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3445
article_9_war_renunciation__collective_self_defense_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.33649999999999997
article_9_war_renunciation__inherent_right_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5063333333333334
article_9_war_renunciation__strict_pacifist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.2788333333333334
audit_trail_discovery_surface	contaminated+factorization+excess_extraction	0.623
average_is_over_2026	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.378
award_system_voter_diversity	contaminated+excess_extraction	0.8240000000000001
axiom_of_choice_consequence	contaminated+excess_extraction	0.9600000000000001
balfour_mandate_instruments__dual_obligation_indigenous_rights	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5063333333333334
balfour_mandate_instruments__jewish_national_home_primacy	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4411666666666667
balfour_mandate_instruments__mandatory_interpretive_discretion	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.358
basic_law_interpretive_authority__judicial_supremacy_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5063333333333334
basic_law_interpretive_authority__parliamentary_sovereignty_reading	contaminated+factorization+excess_extraction	0.607
basic_law_interpretive_authority__popular_constitutionalism_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.45833333333333337
basic_law_interpretive_boundary__balanced_contestation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4421666666666667
basic_law_interpretive_boundary__judicial_supremacy_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	pure_coordination	1.0
beehiiv_platform_model	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
beta_designation_doctrine__expansive_shield_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
beta_designation_doctrine__narrow_warning_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3925
beta_designation_doctrine__severity_carve_out_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
biblical_authority__conciliar_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
biblical_authority__sola_scriptura_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4085
biblical_authority__tradition_scripture_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3285
biblical_divine_nature__modalist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4341666666666667
biblical_divine_nature__trinitarian_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3701666666666667
biblical_divine_nature__unitarian_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3925
biblical_source_text__critical_reconstructive_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
biblical_source_text__dynamic_equivalence_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4101666666666667
biblical_source_text__formal_equivalence_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.45833333333333337
big_data_astrophysics_arbitrage	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.39
bilateral_science_innovation_partnership	contaminated+excess_extraction	0.8520000000000001
bitcoin_consensus_kernel__maximalist_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
bitcoin_consensus_kernel__pragmatic_synthesis	contaminated+factorization+nonsensical_coupling+excess_extraction	0.7778333333333334
bitcoin_consensus_kernel__utility_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.43799999999999994
bitcoin_whitepaper__digital_gold_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
bitcoin_whitepaper__p2p_cash_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.5263333333333334
bitcoin_whitepaper__protocol_ossification_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
bitcoin_whitepaper_purpose__electronic_cash_reading	contaminated+factorization+nonsensical_coupling+excess_extraction	0.6738333333333334
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
bitcoin_whitepaper_purpose__store_of_value_reading	contaminated+excess_extraction	0.872
bite_configuration_naturalization	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
blockchain_scalability_trilemma	contaminated+factorization+excess_extraction	0.627
blockchain_settlement_finality	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.366
boom_bust_path_dependency	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.31633333333333336
border_control_legitimacy__freedom_of_movement_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.378
border_control_legitimacy__jurisdictional_sovereignty	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
border_control_legitimacy__sovereignty_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
border_legitimacy__economic_utility_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3941666666666667
border_legitimacy__freedom_of_movement_primary_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
border_legitimacy__freedom_of_movement_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
border_legitimacy__humanitarian_obligation_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
border_legitimacy__sovereignty_primary_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3805
border_legitimacy__sovereignty_reading	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3541666666666667
border_normative_status__freedom_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
border_normative_status__qualified_sovereignty	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3205
border_normative_status__sovereignty_primary	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3125
bretton_woods_treaty_substrate__keynesian_embedded_liberalism	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.4621666666666667
bretton_woods_treaty_substrate__neoliberal_convertibility	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3941666666666667
bretton_woods_treaty_substrate__sovereignty_defense	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.36050000000000004
burali_forte_paradox	contaminated+excess_extraction	0.9600000000000001
bureaucratic_discretion_capture	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.378
bureaucratic_legibility_collapse	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3405
bureaucratic_rent_seeking	contaminated+factorization+scope_invariance+nonsensical_coupling+excess_extraction	0.3445
busy_beaver_noncomputability	contaminated+excess_extraction	0.9600000000000001
