kernel	reading_a	reading_b	verdict	exact_agree	exact_disp	exact_blind	fuzzy_disp
abrahamic_covenant	abrahamic_covenant__isaac_covenant_reading	abrahamic_covenant__ishmael_covenant_reading	robustly_binocular	1	1	8	1
abrahamic_covenant	abrahamic_covenant__isaac_covenant_reading	abrahamic_covenant__land_promise_constraint	robustly_binocular	0	3	5	2
abrahamic_covenant	abrahamic_covenant__ishmael_covenant_reading	abrahamic_covenant__land_promise_constraint	key_fragile	1	0	9	1
acceptable_risk_energy	acceptable_risk_energy__catastrophic_tail_reading	acceptable_risk_energy__comparative_harm_reading	key_fragile	4	0	6	2
acceptable_risk_energy	acceptable_risk_energy__catastrophic_tail_reading	acceptable_risk_energy__expected_value_reading	key_fragile	1	0	11	1
acceptable_risk_energy	acceptable_risk_energy__comparative_harm_reading	acceptable_risk_energy__expected_value_reading	key_fragile	1	0	11	1
ai_risk_prioritization	ai_risk_prioritization__existential_risk_reading	ai_risk_prioritization__near_term_harms_reading	robustly_undersampled	2	0	9	0
all_men_created_equal	all_men_created_equal__originalist_reading	all_men_created_equal__textualist_paradox_reading	key_fragile	2	0	6	1
all_men_created_equal	all_men_created_equal__originalist_reading	all_men_created_equal__universalist_reading	key_fragile	2	0	7	2
all_men_created_equal	all_men_created_equal__textualist_paradox_reading	all_men_created_equal__universalist_reading	robustly_binocular	1	1	9	2
animal_status	animal_status__abolitionist_reading	animal_status__property_reading	robustly_binocular	0	1	8	2
animal_status	animal_status__abolitionist_reading	animal_status__welfare_reading	key_fragile	2	0	8	1
animal_status	animal_status__property_reading	animal_status__welfare_reading	key_fragile	1	0	10	4
anthropological_record	anthropological_record__creationist_reading	anthropological_record__indigenous_epistemology_reading	robustly_undersampled	1	0	10	0
anthropological_record	anthropological_record__creationist_reading	anthropological_record__naturalist_reading	key_fragile	1	0	10	2
anthropological_record	anthropological_record__indigenous_epistemology_reading	anthropological_record__naturalist_reading	key_fragile	1	0	10	2
article17_erasure_right	article17_erasure_right__censorship_mechanism_reading	article17_erasure_right__competitive_moat_reading	key_fragile	3	0	8	3
article17_erasure_right	article17_erasure_right__censorship_mechanism_reading	article17_erasure_right__privacy_fundamental_reading	key_fragile	1	0	11	3
article17_erasure_right	article17_erasure_right__competitive_moat_reading	article17_erasure_right__privacy_fundamental_reading	key_fragile	1	0	11	3
article_17_complementarity	article_17_complementarity__international_oversight_reading	article_17_complementarity__national_primacy_reading	robustly_binocular	2	1	8	2
article_17_complementarity	article_17_complementarity__international_oversight_reading	article_17_complementarity__procedural_gatekeeping_mechanism	key_fragile	4	0	6	1
article_17_complementarity	article_17_complementarity__national_primacy_reading	article_17_complementarity__procedural_gatekeeping_mechanism	key_fragile	2	0	8	1
article_27_veto_power	article_27_veto_power__coordination_reading	article_27_veto_power__oligopoly_reading	robustly_binocular	0	1	8	2
article_27_veto_power	article_27_veto_power__coordination_reading	article_27_veto_power__sovereignty_reading	robustly_binocular	0	1	5	2
article_27_veto_power	article_27_veto_power__oligopoly_reading	article_27_veto_power__sovereignty_reading	key_fragile	1	0	7	1
article_2_7_chapter_vii_tension	article_2_7_chapter_vii_tension__p5_veto_gatekeeper	article_2_7_chapter_vii_tension__r2p_reading	key_fragile	2	0	10	2
article_2_7_chapter_vii_tension	article_2_7_chapter_vii_tension__p5_veto_gatekeeper	article_2_7_chapter_vii_tension__sovereignty_first_reading	robustly_binocular	4	1	3	1
article_2_7_chapter_vii_tension	article_2_7_chapter_vii_tension__r2p_reading	article_2_7_chapter_vii_tension__sovereignty_first_reading	key_fragile	2	0	9	3
article_51_self_defense	article_51_self_defense__expansive_preventive_reading	article_51_self_defense__narrow_armed_attack_reading	key_fragile	3	0	6	1
article_51_self_defense	article_51_self_defense__expansive_preventive_reading	article_51_self_defense__unable_unwilling_doctrine_reading	key_fragile	4	0	5	3
