accountability_machinery__euthynai_audit	six(shift(unknown,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[],actors(distributed,distributed),drift(rising,unknown,rising),zone(negligible,extreme))
accountability_machinery__graphe_paranomon	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,unknown,rising),zone(low,high))
accountability_machinery__ostracism_institution	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(concentrated,distributed),drift(rising,rising,rising),zone(extreme,extreme))
active_passive_citizenship__exclusion_of_the_poor_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
active_passive_citizenship__property_franchise_logic_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,unknown),zone(extreme,extreme))
active_passive_citizenship__women_excluded_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,falling),zone(extreme,extreme))
acts_of_union__fundamental_terms_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,extreme))
acts_of_union__incorporating_union_reading	six(shift(tangled_rope,tangled_rope,rope,snare),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
acts_of_union__ordinary_statute_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,unknown,rising),zone(extreme,extreme))
amendment_and_basic_structure__first_amendment_1951	six(shift(naturalized,tangled_rope,naturalized,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
amendment_and_basic_structure__forty_fourth_amendment_1978	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[coordination,has_beneficiaries],[],actors(distributed,none),drift(falling,unknown,rising),zone(negligible,low))
