abrahamic_covenant__isaac_covenant_reading	six(shift(naturalized,tangled_rope,rope,snare),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,stable),zone(extreme,extreme))
abrahamic_covenant__ishmael_covenant_reading	six(shift(tangled_rope,tangled_rope,naturalized,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,falling,rising),zone(extreme,high))
abrahamic_covenant__land_promise_constraint	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
academic_citation_metrics_as_career_incentive	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
acceptable_risk_energy__catastrophic_tail_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
acceptable_risk_energy__comparative_harm_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
acceptable_risk_energy__expected_value_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,unknown,rising),zone(low,high))
acceptable_risk_for_energy__catastrophic_tail_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
acceptable_risk_for_energy__expected_value_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
acceptable_risk_for_energy__precautionary_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,high))
ai_alignment_commitment__ethics_justice_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
ai_alignment_commitment__integrated_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,high))
ai_alignment_commitment__safety_control_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
ai_alignment_priority__existential_risk_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
ai_alignment_priority__integrated_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
ai_alignment_priority__nearterm_harms_reading	six(shift(tangled_rope,tangled_rope,rope,snare),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
ai_jailbreak_vulnerability	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(concentrated,distributed),drift(rising,rising,rising),zone(extreme,extreme))
ai_risk_governance_priority__bridge_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(concentrated,distributed),drift(rising,rising,rising),zone(low,high))
ai_risk_governance_priority__existential_risk_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
ai_risk_governance_priority__near_term_harms_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
ai_risk_prioritization__existential_risk_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
ai_risk_prioritization__near_term_harms_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
ai_safety_commitment__dual_priority_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,high))
ai_safety_commitment__existential_risk_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(concentrated,distributed),drift(rising,rising,rising),zone(extreme,high))
ai_safety_commitment__near_term_harms_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
ai_safety_verification	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
algorithmic_accountability_regime	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
algorithmic_filter_bubbles	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,extreme))
alignment_divergence_accumulation	six(shift(tangled_rope,tangled_rope,naturalized,snare),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(concentrated,distributed),drift(rising,rising,rising),zone(extreme,extreme))
all_men_created_equal__originalist_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(falling,falling,rising),zone(extreme,extreme))
all_men_created_equal__textualist_paradox_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(concentrated,distributed),drift(rising,falling,rising),zone(extreme,extreme))
all_men_created_equal__universalist_reading	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,falling,falling),zone(extreme,high))
alternative_governance_emergence	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(distributed,distributed),drift(rising,rising,rising),zone(extreme,high))
amun_priesthood_authority_substrate	six(shift(tangled_rope,tangled_rope,tangled_rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,unaccountable_extraction],actors(concentrated,distributed),drift(rising,unknown,rising),zone(extreme,extreme))
aneyoshi_land_use_prohibition__behavioral_competence_reading	six(shift(rope,rope,rope,rope),[coordination,has_beneficiaries],[],actors(distributed,none),drift(stable,stable,stable),zone(negligible,negligible))
aneyoshi_land_use_prohibition__commemorative_husk_reading	six(shift(unknown,unknown,rope,unknown),[asymmetric,coordination,has_beneficiaries],[drifting_without_limit,no_exit_for_victims,self_sustaining_extraction,unaccountable_extraction],actors(distributed,distributed),drift(rising,falling,rising),zone(extreme,high))
animal_moral_status__abolitionist_reading	six(shift(unknown,snare,rope,snare),[asymmetric,enforcement,has_victims],[coercion_without_coordination,drifting_without_limit,no_exit_for_victims,unaccountable_extraction,undocumented_coordination],actors(none,distributed),drift(rising,rising,rising),zone(extreme,extreme))
animal_moral_status__property_reading	six(shift(tangled_rope,scaffold,scaffold,tangled_rope),[coordination,has_beneficiaries,natural],[],actors(distributed,none),drift(stable,unknown,rising),zone(negligible,negligible))
animal_moral_status__welfare_reading	six(shift(tangled_rope,tangled_rope,rope,tangled_rope),[asymmetric,coordination,enforcement,has_beneficiaries],[no_exit_for_victims],actors(distributed,distributed),drift(rising,rising,rising),zone(low,high))
