constraint	context	t1	t2	from	to	eps1	eps2	supp1	supp2	eps_pin_type	supp_pin_type
adjunctification_of_university_teaching	powerless/biographical/trapped/local	10	20	tangled_rope	snare	0.54	0.68	0.68	0.72	tangled_rope	snare
adjunctification_of_university_teaching	moderate/biographical/mobile/national	10	20	tangled_rope	snare	0.54	0.68	0.68	0.72	tangled_rope	snare
adjunctification_of_university_teaching	analytical/civilizational/analytical/global	0	10	tangled_rope	snare	0.42	0.54	0.55	0.68	tangled_rope	tangled_rope
agricultural_contract_grower_lockin	powerless/biographical/trapped/local	0	10	tangled_rope	snare	0.52	0.64	0.58	0.65	tangled_rope	tangled_rope
agricultural_contract_grower_lockin	moderate/biographical/mobile/national	0	10	tangled_rope	snare	0.52	0.64	0.58	0.65	tangled_rope	tangled_rope
agricultural_contract_grower_lockin	analytical/civilizational/analytical/global	0	10	tangled_rope	snare	0.52	0.64	0.58	0.65	snare	tangled_rope
ai_governance_accountability	powerless/biographical/trapped/local	3	6	tangled_rope	snare	0.54	0.62	0.61	0.68	tangled_rope	snare
ai_governance_accountability	moderate/biographical/mobile/national	3	6	tangled_rope	snare	0.54	0.62	0.61	0.68	tangled_rope	snare
ai_governance_accountability	analytical/civilizational/analytical/global	0	3	tangled_rope	snare	0.45	0.54	0.52	0.61	tangled_rope	tangled_rope
collapse_timing_uncertainty	powerless/biographical/trapped/local	3	6	tangled_rope	snare	0.52	0.61	0.62	0.68	tangled_rope	snare
collapse_timing_uncertainty	moderate/biographical/mobile/national	3	6	tangled_rope	snare	0.52	0.61	0.62	0.68	tangled_rope	snare
collapse_timing_uncertainty	analytical/civilizational/analytical/global	0	3	tangled_rope	snare	0.45	0.52	0.55	0.62	tangled_rope	tangled_rope
company_town_scrip_economy	powerless/biographical/trapped/local	0	10	tangled_rope	snare	0.55	0.68	0.65	0.75	tangled_rope	snare
company_town_scrip_economy	moderate/biographical/mobile/national	0	10	tangled_rope	snare	0.55	0.68	0.65	0.75	tangled_rope	snare
competition_timeline_pressure	institutional/generational/arbitrage/national	2	4	rope	naturalized	0.42	0.51	0.54	0.62	rope	naturalized
competition_timeline_pressure	institutional/generational/arbitrage/national	4	6	naturalized	tangled_rope	0.51	0.58	0.62	0.67	naturalized	tangled_rope
competition_timeline_pressure	analytical/civilizational/analytical/global	2	4	tangled_rope	snare	0.42	0.51	0.54	0.62	tangled_rope	tangled_rope
digital_power_concentration	powerless/biographical/trapped/local	10	15	tangled_rope	snare	0.58	0.68	0.63	0.72	tangled_rope	snare
digital_power_concentration	moderate/biographical/mobile/national	10	15	tangled_rope	snare	0.58	0.68	0.63	0.72	tangled_rope	snare
digital_power_concentration	institutional/generational/arbitrage/national	0	5	rope	naturalized	0.35	0.48	0.4	0.52	rope	naturalized
digital_power_concentration	institutional/generational/arbitrage/national	5	10	naturalized	tangled_rope	0.48	0.58	0.52	0.63	naturalized	tangled_rope
digital_power_concentration	analytical/civilizational/analytical/global	5	10	tangled_rope	snare	0.48	0.58	0.52	0.63	tangled_rope	tangled_rope
eldercare_guardianship_capture	powerless/biographical/trapped/local	0	3	tangled_rope	snare	0.55	0.68	0.7	0.78	tangled_rope	snare
eldercare_guardianship_capture	moderate/biographical/mobile/national	0	3	tangled_rope	snare	0.55	0.68	0.7	0.78	tangled_rope	snare
employment_boundary_flat_control	powerless/biographical/trapped/local	30	40	tangled_rope	snare	0.56	0.62	0.65	0.68	tangled_rope	snare
employment_boundary_flat_control	moderate/biographical/mobile/national	30	40	tangled_rope	snare	0.56	0.62	0.65	0.68	tangled_rope	snare
employment_boundary_flat_control	analytical/civilizational/analytical/global	20	30	tangled_rope	snare	0.48	0.56	0.6	0.65	tangled_rope	snare
formalist_employment_reading	powerless/biographical/trapped/local	6	9	tangled_rope	snare	0.6	0.68	0.68	0.72	tangled_rope	snare
formalist_employment_reading	moderate/biographical/mobile/national	3	6	tangled_rope	snare	0.51	0.6	0.62	0.68	tangled_rope	snare
formalist_employment_reading	analytical/civilizational/analytical/global	0	3	tangled_rope	snare	0.42	0.51	0.55	0.62	tangled_rope	tangled_rope
garment_supplychain_audit_theater	powerless/biographical/trapped/local	0	5	tangled_rope	snare	0.58	0.63	0.58	0.61	tangled_rope	tangled_rope
garment_supplychain_audit_theater	moderate/biographical/mobile/national	0	5	tangled_rope	snare	0.58	0.63	0.58	0.61	tangled_rope	tangled_rope
garment_supplychain_audit_theater	analytical/civilizational/analytical/global	0	5	tangled_rope	snare	0.58	0.63	0.58	0.61	snare	tangled_rope
gig_platform_algorithmic_management	powerless/biographical/trapped/local	2	3	tangled_rope	snare	0.52	0.61	0.66	0.7	tangled_rope	snare
gig_platform_algorithmic_management	moderate/biographical/mobile/national	2	3	tangled_rope	snare	0.52	0.61	0.66	0.7	tangled_rope	snare
gig_platform_algorithmic_management	analytical/civilizational/analytical/global	1	2	tangled_rope	snare	0.45	0.52	0.6	0.66	tangled_rope	snare
hybrid_security_reading	institutional/generational/arbitrage/national	3	6	rope	naturalized	0.44	0.48	0.58	0.62	rope	naturalized
information_suppression	powerless/biographical/trapped/local	10	20	tangled_rope	snare	0.52	0.61	0.6	0.68	tangled_rope	snare
information_suppression	moderate/biographical/mobile/national	10	20	tangled_rope	snare	0.52	0.61	0.6	0.68	tangled_rope	snare
information_suppression	institutional/generational/arbitrage/national	0	10	rope	naturalized	0.45	0.52	0.55	0.6	rope	naturalized
information_suppression	institutional/generational/arbitrage/national	20	30	naturalized	tangled_rope	0.61	0.68	0.68	0.72	naturalized	tangled_rope
information_suppression	analytical/civilizational/analytical/global	0	10	tangled_rope	snare	0.45	0.52	0.55	0.6	tangled_rope	tangled_rope
intra_party_fragmentation	powerless/biographical/trapped/local	0	10	unknown	tangled_rope	0.32	0.38	0.5	0.54	unknown	tangled_rope
