ENGINE ADJUDICATION OF 30 MOUNTAIN CLAIMS (claimed_type=mountain for ALL)
true mountains validated: 0/30   |   computed mountain: 0/30
id                                 eps   signature                computed      boltzmann
qwerty_path_naturalization_wh_d1   0.18  false_ci_rope            tangled_rope  compliant
qwerty_path_naturalization_wh_d2   0.18  false_ci_rope            tangled_rope  compliant
qwerty_path_naturalization_wh_d3   0.18  false_ci_rope            tangled_rope  compliant
free_market_naturalization_wh_d1   0.68  false_natural_law        tangled_rope  non_compliant
free_market_naturalization_wh_d2   0.68  false_natural_law        tangled_rope  non_compliant
free_market_naturalization_wh_d3   0.68  false_natural_law        tangled_rope  non_compliant
total_war_unthinkability_wh_d1     0.18  coupling_invariant_rope  rope          compliant
total_war_unthinkability_wh_d2     0.18  coupling_invariant_rope  rope          compliant
total_war_unthinkability_wh_d3     0.18  coupling_invariant_rope  rope          compliant
printing_press_reformation_wh_d1   0.38  false_natural_law        tangled_rope  non_compliant
printing_press_reformation_wh_d2   0.42  false_natural_law        tangled_rope  non_compliant
printing_press_reformation_wh_d3   0.68  false_natural_law        tangled_rope  non_compliant
zero_as_number_wh_d1               0.08  coupling_invariant_rope  rope          compliant
zero_as_number_wh_d2               0.08  coupling_invariant_rope  rope          compliant
zero_as_number_wh_d3               0.08  coupling_invariant_rope  rope          compliant

qwerty_path_naturalization_fed_d1  0.18  false_ci_rope            tangled_rope  compliant
qwerty_path_naturalization_fed_d2  0.18  false_ci_rope            tangled_rope  compliant
qwerty_path_naturalization_fed_d3  0.18  false_ci_rope            piton         compliant
free_market_naturalization_fed_d1  0.42  false_natural_law        tangled_rope  non_compliant
free_market_naturalization_fed_d2  0.18  false_ci_rope            tangled_rope  compliant
free_market_naturalization_fed_d3  0.68  false_natural_law        tangled_rope  non_compliant
total_war_unthinkability_fed_d1    0.08  coupling_invariant_rope  rope          compliant
total_war_unthinkability_fed_d2    0.08  coupling_invariant_rope  rope          compliant
total_war_unthinkability_fed_d3    0.08  coupling_invariant_rope  rope          compliant
printing_press_reformation_fed_d1  0.68  false_natural_law        tangled_rope  non_compliant
printing_press_reformation_fed_d2  0.68  false_natural_law        tangled_rope  non_compliant
printing_press_reformation_fed_d3  0.42  false_natural_law        tangled_rope  non_compliant
zero_as_number_fed_d1              0.08  coupling_invariant_rope  rope          compliant
zero_as_number_fed_d2              0.08  coupling_invariant_rope  rope          compliant
zero_as_number_fed_d3              0.08  coupling_invariant_rope  rope          compliant

signature tally  withheld: {'false_natural_law': 6, 'false_ci_rope': 3, 'coupling_invariant_rope': 6}  fed: {'false_natural_law': 5, 'false_ci_rope': 4, 'coupling_invariant_rope': 6}
