
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
ai_dignity_safeguarding__posthuman_continuity_reading | vic=2 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
ai_governance_legitimacy__market_libertarian_reading | vic=3 | fsm=0 | t1=4 | sig=coupling_invariant_rope | seats=[rope,rope,rope,rope]
ai_human_relationship__incarnational_humanism | vic=0 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
aneyoshi_land_use_prohibition__behavioral_competence_reading | vic=0 | fsm=0 | t1=4 | sig=ambiguous | seats=[scaffold,scaffold,scaffold,scaffold]
aneyoshi_stone_commitment__behavioral_competence_reading | vic=0 | fsm=0 | t1=4 | sig=ambiguous | seats=[scaffold,scaffold,scaffold,scaffold]
aneyoshi_stone_directive__behavioral_competence_reading | vic=0 | fsm=0 | t1=4 | sig=ambiguous | seats=[rope,rope,rope,rope]
animal_moral_status__property_reading | vic=0 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,rope,rope,tangled_rope]
animal_status__property_reading | vic=0 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
animal_status_kernel__abolitionist_reading | vic=1 | fsm=0 | t1=4 | sig=constructed_high_extraction | seats=[snare,snare,scaffold,snare]
anthropological_record__indigenous_epistemology_reading | vic=2 | fsm=0 | t1=4 | sig=coupling_invariant_rope | seats=[rope,rope,rope,rope]
article_27_veto_power__sovereignty_reading | vic=1 | fsm=0 | t1=2 | sig=ambiguous | seats=[mountain,rope,rope,mountain]
beta_designation_doctrine__severity_carve_out_reading | vic=1 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
catastrophe_memory_survival__hybrid_encoding_reading | vic=1 | fsm=0 | t1=4 | sig=false_ci_rope | seats=[tangled_rope,tangled_rope,tangled_rope,tangled_rope]
catastrophe_proxy_sufficiency__catastrophe_necessity_reading | vic=2 | fsm=0 | t1=2 | sig=ambiguous | seats=[mountain,rope,rope,mountain]
commerce_clause_text__originalist_narrow_reading | vic=3 | fsm=0 | t1=4 | sig=false_natural_law | seats=[tangled_rope,tangled_rope,tangled_rope,tangled_rope]
competence_occupation__real_incident_necessity | vic=2 | fsm=0 | t1=4 | sig=false_natural_law | seats=[tangled_rope,tangled_rope,tangled_rope,tangled_rope]
deferential_realism_ontology__immutable_diagnostic_reading | vic=1 | fsm=0 | t1=4 | sig=false_ci_rope | seats=[tangled_rope,tangled_rope,tangled_rope,tangled_rope]
digital_money_emergence_boundary__conceptualization_reading | vic=0 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
digital_money_emergence_boundary__consumer_holdings_reading | vic=1 | fsm=0 | t1=4 | sig=coupling_invariant_rope | seats=[rope,rope,rope,rope]
digital_money_emergence_boundary__infrastructure_reading | vic=0 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
dignity_kernel__imago_dei_reading | vic=2 | fsm=0 | t1=4 | sig=false_ci_rope | seats=[piton,piton,piton,piton]
dueling_disappearance_mechanism__contraction_reading | vic=0 | fsm=0 | t1=4 | sig=constructed_low_extraction | seats=[scaffold,scaffold,scaffold,scaffold]
electronic_money_emergence__became_thinkable_reading | vic=0 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
electronic_money_emergence__first_held_reading | vic=1 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
equal_protection_clause__colorblind_reading | vic=2 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
genesis_creation_cosmology__literary_framework | vic=2 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
genesis_creation_narrative__allegorical_ancient_near_east | vic=0 | fsm=0 | t1=4 | sig=coupling_invariant_rope | seats=[rope,rope,rope,rope]
hebrew_linguistic_life__liturgical_preservation_reading | vic=0 | fsm=0 | t1=4 | sig=false_ci_rope | seats=[tangled_rope,tangled_rope,tangled_rope,tangled_rope]
hebrew_living_language__literary_revival_reading | vic=1 | fsm=0 | t1=4 | sig=constructed_low_extraction | seats=[rope,rope,rope,rope]
hebrew_living_language__liturgical_continuity_reading | vic=0 | fsm=1 | t1=2 | sig=false_ci_rope | seats=[mountain,scaffold,scaffold,mountain]
hebrew_vitality__hybrid_continuity_reading | vic=1 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
hebrew_vitality__liturgical_reading | vic=0 | fsm=0 | t1=4 | sig=coupling_invariant_rope | seats=[rope,rope,rope,rope]
herem_command_dt7__allegorical_displacement_reading | vic=0 | fsm=0 | t1=4 | sig=coupling_invariant_rope | seats=[rope,rope,rope,rope]
honor_satisfaction_mechanism__contraction_reading | vic=1 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
honor_satisfaction_substrate__cultural_contraction_reading | vic=1 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
honor_settlement_legitimacy__composite_reading | vic=1 | fsm=0 | t1=4 | sig=false_natural_law | seats=[tangled_rope,tangled_rope,tangled_rope,tangled_rope]
honor_settlement_legitimacy__contraction_reading | vic=1 | fsm=0 | t1=4 | sig=coupling_invariant_rope | seats=[rope,rope,rope,rope]
honor_violence_legitimacy__contraction_reading | vic=1 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
humane_treatment_standard__absolute_prohibition | vic=2 | fsm=0 | t1=4 | sig=coupling_invariant_rope | seats=[rope,rope,rope,rope]
imposition_pathway_kernel__endogenous_climb_reading | vic=1 | fsm=0 | t1=4 | sig=false_ci_rope | seats=[tangled_rope,tangled_rope,tangled_rope,tangled_rope]
ip_category_emergence__synchronic_diachronic_seam | vic=0 | fsm=0 | t1=4 | sig=false_ci_rope | seats=[tangled_rope,tangled_rope,tangled_rope,tangled_rope]
ip_category_emergence__thinkability_reading | vic=0 | fsm=1 | t1=4 | sig=false_summit_mountain | seats=[tangled_rope,scaffold,scaffold,tangled_rope]
jewish_self_determination__religious_covenant_reading | vic=2 | fsm=0 | t1=4 | sig=constructed_high_extraction | seats=[snare,snare,rope,snare]
jihad_quranic_corpus__defensive_spiritual_reading | vic=1 | fsm=0 | t1=4 | sig=coupling_invariant_rope | seats=[rope,rope,rope,rope]
kami_buddha_ontology__domain_partition | vic=0 | fsm=0 | t1=4 | sig=false_ci_rope | seats=[tangled_rope,tangled_rope,tangled_rope,tangled_rope]
kami_buddha_ontology__honji_suijaku_monism | vic=2 | fsm=0 | t1=4 | sig=coupling_invariant_rope | seats=[rope,rope,rope,rope]
