id	eps	supp	tr	chi	mt	ft
abrahamic_covenant__isaac_covenant_reading	0.58	0.68	0.42	0.7945597951571295	snare	snare
abrahamic_covenant__ishmael_covenant_reading	0.52	0.48	0.58	0.7123639542788058	tangled_rope	rope
abrahamic_covenant__land_promise_constraint	0.68	0.72	0.58	0.9315528632876693	snare	snare
academic_citation_metrics_as_career_incentive	0.58	0.62	0.68	0.7945597951571295	snare	snare
acceptable_risk_energy__catastrophic_tail_reading	0.68	0.72	0.58	0.9315528632876693	snare	snare
acceptable_risk_energy__comparative_harm_reading	0.58	0.65	0.62	0.7945597951571295	snare	snare
acceptable_risk_energy__expected_value_reading	0.38	0.48	0.55	0.5205736588960505	tangled_rope	tangled_rope
acceptable_risk_for_energy__catastrophic_tail_reading	0.58	0.62	0.45	0.7945597951571295	snare	snare
acceptable_risk_for_energy__expected_value_reading	0.58	0.68	0.62	0.7945597951571295	snare	snare
acceptable_risk_for_energy__precautionary_reading	0.52	0.58	0.64	0.7123639542788058	tangled_rope	tangled_rope
ai_alignment_commitment__ethics_justice_reading	0.58	0.68	0.55	0.7945597951571295	snare	snare
ai_alignment_commitment__integrated_reading	0.52	0.48	0.58	0.7123639542788058	tangled_rope	tangled_rope
ai_alignment_commitment__safety_control_reading	0.58	0.67	0.55	0.7945597951571295	snare	snare
ai_alignment_priority__existential_risk_reading	0.58	0.72	0.68	0.7945597951571295	snare	snare
ai_alignment_priority__integrated_reading	0.52	0.65	0.58	0.7123639542788058	snare	snare
ai_alignment_priority__nearterm_harms_reading	0.58	0.62	0.55	0.7945597951571295	snare	snare
ai_jailbreak_vulnerability	0.58	0.68	0.55	0.7945597951571295	snare	snare
ai_risk_governance_priority__bridge_reading	0.42	0.58	0.65	0.5753708861482661	tangled_rope	tangled_rope
ai_risk_governance_priority__existential_risk_reading	0.58	0.62	0.68	0.7945597951571295	snare	snare
ai_risk_governance_priority__near_term_harms_reading	0.58	0.65	0.48	0.7945597951571295	snare	snare
ai_risk_prioritization__existential_risk_reading	0.58	0.62	0.55	0.7945597951571295	snare	snare
ai_risk_prioritization__near_term_harms_reading	0.58	0.65	0.48	0.8061661514951736	snare	snare
ai_safety_commitment__dual_priority_reading	0.52	0.58	0.64	0.7123639542788058	tangled_rope	tangled_rope
ai_safety_commitment__existential_risk_reading	0.62	0.58	0.65	0.8493570224093454	tangled_rope	tangled_rope
ai_safety_commitment__near_term_harms_reading	0.52	0.65	0.58	0.7123639542788058	snare	snare
ai_safety_verification	0.58	0.68	0.65	0.7945597951571295	snare	snare
algorithmic_accountability_regime	0.58	0.65	0.78	0.7945597951571295	snare	snare
algorithmic_filter_bubbles	0.58	0.68	0.65	0.7945597951571295	snare	snare
alignment_divergence_accumulation	0.58	0.65	0.68	0.7945597951571295	snare	snare
all_men_created_equal__originalist_reading	0.62	0.68	0.58	0.8493570224093454	snare	snare
all_men_created_equal__textualist_paradox_reading	0.58	0.62	0.68	0.7945597951571295	snare	snare
all_men_created_equal__universalist_reading	0.52	0.48	0.38	0.7123639542788058	tangled_rope	tangled_rope
alternative_governance_emergence	0.52	0.58	0.64	0.7123639542788058	tangled_rope	tangled_rope
amun_priesthood_authority_substrate	0.58	0.65	0.68	0.7945597951571295	snare	snare
aneyoshi_land_use_prohibition__behavioral_competence_reading	0.05	0.02	0.15	0.0684965340652698	scaffold	rope
aneyoshi_land_use_prohibition__commemorative_husk_reading	0.68	0.52	0.81	0.9315528632876693	unknown	unknown
animal_moral_status__abolitionist_reading	0.78	0.82	0.55	1.0685459314182089	snare	snare
animal_moral_status__property_reading	0.08	0.02	0.15	0.10959445450443167	mountain	tangled_rope
animal_moral_status__welfare_reading	0.38	0.48	0.62	0.5205736588960505	tangled_rope	tangled_rope
animal_status__abolitionist_reading	0.92	0.78	0.65	1.2603362268009641	snare	snare
animal_status__property_reading	0.05	0.08	0.35	0.0684965340652698	scaffold	rope
animal_status__welfare_reading	0.45	0.58	0.64	0.6164688065874281	tangled_rope	tangled_rope
animal_status_kernel__property_reading	0.82	0.68	0.55	1.1233431586704243	snare	snare
animal_status_kernel__welfare_reading	0.48	0.52	0.58	0.6575667270265899	tangled_rope	tangled_rope
anonymity_commons_degradation	0.58	0.68	0.51	0.7945597951571295	snare	snare
anthropological_record__creationist_reading	0.58	0.72	0.65	0.7945597951571295	snare	snare
anthropological_record__indigenous_epistemology_reading	0.48	0.62	0.58	0.6575667270265899	tangled_rope	tangled_rope
anthropological_record__naturalist_reading	0.58	0.65	0.48	0.7945597951571295	snare	snare
arctic_resource_competition	0.58	0.62	0.58	0.7945597951571295	snare	snare
article17_erasure_right__censorship_mechanism_reading	0.58	0.68	0.55	0.7945597951571295	snare	snare
article17_erasure_right__competitive_moat_reading	0.58	0.62	0.45	0.7945597951571295	snare	snare
article17_erasure_right__privacy_fundamental_reading	0.38	0.48	0.52	0.5205736588960505	tangled_rope	tangled_rope
article_17_complementarity__international_oversight_reading	0.58	0.62	0.65	0.7945597951571295	snare	snare
article_17_complementarity__national_primacy_reading	0.52	0.58	0.64	0.7123639542788058	tangled_rope	tangled_rope
article_17_complementarity__procedural_gatekeeping_mechanism	0.58	0.62	0.68	0.7945597951571295	snare	snare
article_27_veto_power__coordination_reading	0.12	0.08	0.15	0.16439168175664748	scaffold	rope
article_27_veto_power__oligopoly_reading	0.68	0.72	0.55	0.9315528632876693	snare	snare
article_27_veto_power__sovereignty_reading	0.08	0.02	0.05	0.10959445450443167	mountain	tangled_rope
article_2_7_chapter_vii_tension__p5_veto_gatekeeper	0.62	0.68	0.55	0.8493570224093454	snare	snare
article_2_7_chapter_vii_tension__r2p_reading	0.58	0.48	0.35	0.7945597951571295	tangled_rope	tangled_rope
article_2_7_chapter_vii_tension__sovereignty_first_reading	0.68	0.72	0.55	0.9315528632876693	snare	snare
article_51_self_defense__expansive_preventive_reading	0.68	0.72	0.55	0.9315528632876693	snare	snare
article_51_self_defense__narrow_armed_attack_reading	0.38	0.52	0.48	0.5205736588960505	tangled_rope	tangled_rope
