id	eps	supp	tr	chi	mt	ft
abrahamic_covenant__isaac_covenant_reading	0.7	0.8	0.1	0.9589514769137769	snare	snare
abrahamic_covenant__ishmael_covenant_reading	0.45	0.3	0.1	0.6164688065874281	unknown	unknown
abrahamic_covenant__land_promise_constraint	0.9	0.95	0.6	1.2329376131748562	snare	snare
acceptable_risk_energy__catastrophic_tail_dominant	0.65	0.78	0.15	0.8904549428485073	snare	snare
acceptable_risk_energy__expected_value_dominant	0.6	0.7	0.1	0.8219584087832374	snare	snare
acceptable_risk_energy__option_value_preserving	0.45	0.6	0.1	0.6164688065874281	tangled_rope	tangled_rope
acceptable_risk_for_energy__catastrophic_tail_dominant	0.65	0.78	0.2	0.8904549428485073	snare	snare
acceptable_risk_for_energy__comparative_risk_dominant	0.4	0.3	0.1	0.5479722725221584	unknown	unknown
acceptable_risk_for_energy__expected_value_dominant	0.3	0.2	0.1	0.4109792043916187	scaffold	tangled_rope
ai_alignment_commitment__ethics_justice_reading	0.65	0.4	0.2	0.8904549428485073	tangled_rope	tangled_rope
ai_alignment_commitment__integrated_reading	0.65	0.7	0.2	0.8904549428485073	snare	snare
ai_alignment_commitment__safety_control_reading	0.85	0.7	0.2	1.1644410791095863	snare	snare
ai_alignment_priority__existential_risk_reading	0.85	0.7	0.4	1.1644410791095863	snare	snare
ai_alignment_priority__integrated_reading	0.45	0.3	0.2	0.6164688065874281	unknown	unknown
ai_alignment_priority__nearterm_harms_reading	0.65	0.7	0.2	0.8904549428485073	snare	snare
ai_dignity_safeguarding__autonomy_rights_reading	0.35	0.2	0.1	0.47947573845688846	unknown	unknown
ai_dignity_safeguarding__imago_dei_reading	0.55	0.4	0.2	0.7534618747179678	tangled_rope	tangled_rope
ai_dignity_safeguarding__posthuman_continuity_reading	0.1	0.05	0.0	0.1369930681305396	mountain	tangled_rope
ai_governance_legitimacy__magisterial_subsidiarity_reading	0.5	0.3	0.2	0.6849653406526979	unknown	snare
ai_governance_legitimacy__market_libertarian_reading	0.25	0.15	0.05	0.34248267032634894	scaffold	rope
ai_governance_legitimacy__technocratic_optimization_reading	0.35	0.45	0.15	0.47947573845688846	tangled_rope	tangled_rope
ai_human_relationship__incarnational_humanism	0.15	0.05	0.1	0.20548960219580936	mountain	tangled_rope
ai_human_relationship__instrumental_subsidiarity	0.3	0.2	0.1	0.4109792043916187	unknown	unknown
ai_human_relationship__technocratic_optimization	0.85	0.75	0.2	1.1644410791095863	snare	snare
ai_risk_governance_priority__bridge_reading	0.45	0.3	0.2	0.6164688065874281	unknown	unknown
ai_risk_governance_priority__existential_risk_reading	0.65	0.4	0.55	0.8904549428485073	tangled_rope	tangled_rope
ai_risk_governance_priority__near_term_harms_reading	0.65	0.7	0.2	0.8904549428485073	snare	snare
ai_risk_prioritization__existential_risk_reading	0.6	0.7	0.2	0.8219584087832374	snare	snare
ai_risk_prioritization__near_term_harms_reading	0.65	0.7	0.2	0.8904549428485073	snare	snare
ai_safety_commitment__dual_priority_reading	0.6	0.4	0.25	0.8219584087832374	tangled_rope	tangled_rope
ai_safety_commitment__existential_risk_reading	0.65	0.4	0.2	0.8904549428485073	tangled_rope	tangled_rope
ai_safety_commitment__near_term_harms_reading	0.65	0.7	0.2	0.8904549428485073	snare	snare
all_men_created_equal__originalist_reading	0.85	0.9	0.4	1.1644410791095863	snare	snare
all_men_created_equal__textualist_paradox_reading	0.45	0.2	0.1	0.6164688065874281	unknown	unknown
all_men_created_equal__universalist_reading	0.45	0.3	0.1	0.6164688065874281	unknown	unknown
aneyoshi_land_use_prohibition__behavioral_competence_reading	0.05	0.1	0.02	0.0684965340652698	scaffold	scaffold
aneyoshi_land_use_prohibition__commemorative_husk_reading	0.85	0.15	0.9	1.1644410791095863	unknown	snare
aneyoshi_stone_commitment__behavioral_competence_reading	0.05	0.1	0.0	0.0684965340652698	scaffold	scaffold
aneyoshi_stone_commitment__commemorative_husk_reading	0.85	0.1	0.9	1.1644410791095863	unknown	unknown
aneyoshi_stone_directive__behavioral_competence_reading	0.05	0.1	0.05	0.06900122207630337	rope	rope
aneyoshi_stone_directive__commemorative_husk_reading	0.65	0.2	0.8	0.8904549428485073	unknown	snare
