id	eps	supp	tr	chi	mt	ft
abrahamic_covenant__isaac_covenant_reading	0.81	0.78	0.42	1.1096438518573708	snare	snare
abrahamic_covenant__ishmael_covenant_reading	0.58	0.62	0.28	0.7945597951571295	snare	snare
abrahamic_covenant__land_promise_constraint	0.82	0.78	0.41	1.1233431586704243	snare	snare
acceptable_risk_energy__catastrophic_tail_dominant	0.68	0.79	0.42	0.9315528632876693	snare	snare
acceptable_risk_energy__expected_value_dominant	0.68	0.79	0.42	0.9315528632876693	snare	snare
acceptable_risk_energy__option_value_preserving	0.52	0.48	0.31	0.7123639542788058	unknown	unknown
acceptable_risk_for_energy__catastrophic_tail_dominant	0.68	0.79	0.42	0.9315528632876693	snare	snare
acceptable_risk_for_energy__comparative_risk_dominant	0.68	0.72	0.41	0.9315528632876693	snare	snare
acceptable_risk_for_energy__expected_value_dominant	0.62	0.58	0.28	0.8493570224093454	tangled_rope	tangled_rope
ai_alignment_commitment__ethics_justice_reading	0.68	0.71	0.42	0.9315528632876693	snare	snare
ai_alignment_commitment__integrated_reading	0.62	0.71	0.48	0.8493570224093454	snare	snare
ai_alignment_commitment__safety_control_reading	0.68	0.71	0.52	0.9315528632876693	snare	snare
ai_alignment_priority__existential_risk_reading	0.68	0.72	0.58	0.9315528632876693	snare	snare
ai_alignment_priority__integrated_reading	0.58	0.62	0.41	0.7945597951571295	snare	snare
ai_alignment_priority__nearterm_harms_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
ai_dignity_safeguarding__autonomy_rights_reading	0.42	0.31	0.18	0.5753708861482661	unknown	unknown
ai_dignity_safeguarding__imago_dei_reading	0.45	0.62	0.28	0.6164688065874281	tangled_rope	tangled_rope
ai_dignity_safeguarding__posthuman_continuity_reading	0.18	0.12	0.08	0.24658752263497122	scaffold	tangled_rope
ai_governance_legitimacy__magisterial_subsidiarity_reading	0.48	0.52	0.31	0.6575667270265899	tangled_rope	tangled_rope
ai_governance_legitimacy__market_libertarian_reading	0.25	0.15	0.08	0.34248267032634894	scaffold	tangled_rope
ai_governance_legitimacy__technocratic_optimization_reading	0.35	0.42	0.48	0.47947573845688846	unknown	unknown
ai_human_relationship__incarnational_humanism	0.42	0.38	0.28	0.5753708861482661	unknown	piton
ai_human_relationship__instrumental_subsidiarity	0.62	0.71	0.48	0.8493570224093454	snare	snare
ai_human_relationship__technocratic_optimization	0.81	0.76	0.42	0.3465841649972326	naturalized	naturalized
ai_risk_governance_priority__bridge_reading	0.52	0.48	0.41	0.7123639542788058	tangled_rope	tangled_rope
ai_risk_governance_priority__existential_risk_reading	0.68	0.71	0.52	0.9315528632876693	snare	snare
ai_risk_governance_priority__near_term_harms_reading	0.68	0.71	0.42	0.9315528632876693	snare	snare
ai_risk_prioritization__existential_risk_reading	0.68	0.72	0.44	0.9315528632876693	snare	snare
ai_risk_prioritization__near_term_harms_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
ai_safety_commitment__dual_priority_reading	0.62	0.58	0.41	0.8493570224093454	tangled_rope	tangled_rope
ai_safety_commitment__existential_risk_reading	0.68	0.72	0.58	0.9315528632876693	snare	snare
ai_safety_commitment__near_term_harms_reading	0.68	0.72	0.48	0.9315528632876693	snare	snare
all_men_created_equal__originalist_reading	0.81	0.77	0.42	1.1096438518573708	snare	snare
all_men_created_equal__textualist_paradox_reading	0.62	0.41	0.48	0.8493570224093454	tangled_rope	tangled_rope
all_men_created_equal__universalist_reading	0.58	0.42	0.28	0.7945597951571295	tangled_rope	tangled_rope
aneyoshi_land_use_prohibition__behavioral_competence_reading	0.08	0.12	0.18	0.10959445450443167	scaffold	rope
aneyoshi_land_use_prohibition__commemorative_husk_reading	0.78	0.32	0.81	1.0685459314182089	unknown	snare
aneyoshi_stone_commitment__behavioral_competence_reading	0.12	0.08	0.15	0.16439168175664748	scaffold	tangled_rope
aneyoshi_stone_commitment__commemorative_husk_reading	0.12	0.08	0.78	0.16439168175664748	rope	rope
aneyoshi_stone_directive__behavioral_competence_reading	0.08	0.12	0.65	0.11040195532208537	rope	rope
aneyoshi_stone_directive__commemorative_husk_reading	0.78	0.71	0.62	1.0685459314182089	snare	snare
animal_moral_status__abolitionist_reading	0.89	0.76	0.42	1.2192383063618022	snare	snare
animal_moral_status__property_reading	0.18	0.12	0.08	0.24658752263497122	scaffold	tangled_rope
animal_moral_status__welfare_reading	0.58	0.62	0.48	0.7945597951571295	snare	snare
animal_status__abolitionist_reading	0.0	0.72	0.41	0.0	rope	rope
animal_status__property_reading	0.08	0.12	0.18	0.10959445450443167	scaffold	scaffold
animal_status__welfare_reading	0.45	0.62	0.48	0.6164688065874281	tangled_rope	tangled_rope
animal_status_kernel__abolitionist_reading	0.92	0.78	0.22	1.2603362268009641	snare	snare
animal_status_kernel__welfare_reading	0.58	0.42	0.48	0.7945597951571295	tangled_rope	tangled_rope
anthropological_record__creationist_reading	0.68	0.71	0.52	0.9315528632876693	snare	snare
anthropological_record__indigenous_epistemology_reading	0.62	0.71	0.41	0.8493570224093454	snare	snare
anthropological_record__naturalist_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
article17_erasure_right__censorship_mechanism_reading	0.68	0.79	0.62	0.9315528632876693	snare	snare
article17_erasure_right__competitive_moat_reading	0.68	0.42	0.48	0.9315528632876693	unknown	snare
article17_erasure_right__privacy_fundamental_reading	0.28	0.15	0.22	0.3835805907655109	unknown	piton
article_17_complementarity__international_oversight_reading	0.58	0.62	0.41	0.7945597951571295	snare	snare
article_17_complementarity__national_primacy_reading	0.68	0.72	0.48	0.9315528632876693	snare	snare
article_27_veto_power__coordination_reading	0.18	0.12	0.08	0.24658752263497122	scaffold	tangled_rope
article_27_veto_power__oligopoly_reading	0.81	0.88	0.42	1.1096438518573708	snare	snare
article_27_veto_power__sovereignty_reading	0.08	0.02	0.12	0.11040195532208537	mountain	mountain
article_2_7_chapter_vii_tension__r2p_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
article_2_7_chapter_vii_tension__sovereignty_first_reading	0.78	0.71	0.41	1.0685459314182089	snare	snare
article_51_self_defense__expansive_preventive_reading	0.82	0.78	0.41	1.1233431586704243	snare	snare
article_51_self_defense__narrow_armed_attack_reading	0.38	0.22	0.12	0.5205736588960505	unknown	unknown
article_51_self_defense__unable_unwilling_doctrine_reading	0.68	0.72	0.48	0.9315528632876693	snare	snare
article_9_war_renunciation__collective_self_defense_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
article_9_war_renunciation__inherent_right_reading	0.31	0.28	0.42	0.4246785112046727	unknown	unknown
article_9_war_renunciation__strict_pacifist_reading	0.68	0.72	0.44	0.9315528632876693	snare	snare
balfour_mandate_instruments__dual_obligation_indigenous_rights	0.68	0.72	0.41	0.9315528632876693	snare	snare
balfour_mandate_instruments__jewish_national_home_primacy	0.81	0.79	0.42	1.1096438518573708	snare	snare
balfour_mandate_instruments__mandatory_interpretive_discretion	0.68	0.72	0.58	0.5303999999999999	tangled_rope	tangled_rope
basic_law_interpretive_authority__judicial_supremacy_reading	0.62	0.58	0.28	0.8493570224093454	tangled_rope	tangled_rope
basic_law_interpretive_authority__popular_constitutionalism_reading	0.58	0.42	0.51	0.7945597951571295	tangled_rope	tangled_rope
basic_law_interpretive_boundary__balanced_contestation_reading	0.48	0.31	0.42	0.6575667270265899	unknown	snare
basic_law_interpretive_boundary__judicial_supremacy_reading	0.68	0.55	0.22	0.9315528632876693	unknown	snare
beta_designation_doctrine__expansive_shield_reading	0.87	0.78	0.62	1.1918396927356942	snare	snare
beta_designation_doctrine__narrow_warning_reading	0.38	0.21	0.12	0.5205736588960505	unknown	unknown
beta_designation_doctrine__severity_carve_out_reading	0.31	0.18	0.12	0.4246785112046727	scaffold	tangled_rope
biblical_authority__conciliar_reading	0.48	0.38	0.22	0.6575667270265899	unknown	snare
biblical_authority__sola_scriptura_reading	0.38	0.22	0.18	0.5205736588960505	unknown	unknown
biblical_authority__tradition_scripture_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
biblical_divine_nature__modalist_reading	0.58	0.72	0.48	0.7945597951571295	snare	snare
biblical_divine_nature__trinitarian_reading	0.72	0.81	0.48	0.9863500905398849	snare	snare
biblical_divine_nature__unitarian_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
biblical_source_text__critical_reconstructive_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
biblical_source_text__dynamic_equivalence_reading	0.62	0.48	0.31	0.8493570224093454	tangled_rope	tangled_rope
biblical_source_text__formal_equivalence_reading	0.68	0.61	0.42	0.9315528632876693	snare	snare
bitcoin_consensus_kernel__maximalist_reading	0.68	0.71	0.42	0.9315528632876693	snare	snare
bitcoin_consensus_kernel__utility_reading	0.42	0.28	0.22	0.5753708861482661	unknown	unknown
bitcoin_whitepaper__digital_gold_reading	0.68	0.52	0.41	0.9315528632876693	unknown	snare
bitcoin_whitepaper__p2p_cash_reading	0.62	0.58	0.41	0.8493570224093454	tangled_rope	tangled_rope
bitcoin_whitepaper__protocol_ossification_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
bitcoin_whitepaper_purpose__electronic_cash_reading	0.68	0.55	0.42	0.9315528632876693	unknown	snare
bitcoin_whitepaper_purpose__store_of_value_reading	0.68	0.71	0.42	0.9315528632876693	snare	snare
border_control_legitimacy__jurisdictional_sovereignty	0.68	0.72	0.41	0.9315528632876693	snare	snare
border_control_legitimacy__sovereignty_primary	0.68	0.76	0.42	0.9315528632876693	snare	snare
border_legitimacy__freedom_of_movement_reading	0.78	0.81	0.42	1.0685459314182089	snare	snare
border_legitimacy__humanitarian_obligation_reading	0.58	0.62	0.48	0.7945597951571295	snare	snare
border_legitimacy__sovereignty_reading	0.72	0.79	0.28	0.9863500905398849	snare	snare
border_normative_status__freedom_primary	0.68	0.72	0.41	0.9315528632876693	snare	snare
border_normative_status__qualified_sovereignty	0.68	0.72	0.58	0.9315528632876693	snare	snare
border_normative_status__sovereignty_primary	0.62	0.71	0.42	0.8493570224093454	snare	snare
bretton_woods_treaty_substrate__keynesian_embedded_liberalism	0.38	0.42	0.28	0.5205736588960505	tangled_rope	tangled_rope
bretton_woods_treaty_substrate__neoliberal_convertibility	0.68	0.71	0.42	0.9315528632876693	snare	snare
bretton_woods_treaty_substrate__sovereignty_defense	0.68	0.71	0.42	0.9315528632876693	snare	snare
caa_section_111d_delegation__facility_constraint_reading	0.68	0.72	0.41	0.9315528632876693	snare	snare
caa_section_111d_delegation__systemic_transformation_reading	0.68	0.71	0.28	0.9315528632876693	snare	snare
catastrophe_avoidance_retention__catastrophe_as_necessary_selector	0.68	0.71	0.58	0.9315528632876693	snare	snare
catastrophe_avoidance_retention__hybrid_near_miss_learning	0.58	0.42	0.31	0.7945597951571295	tangled_rope	tangled_rope
catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	0.58	0.42	0.31	0.7945597951571295	tangled_rope	tangled_rope
catastrophe_memory_function__hybrid_transformation_reading	0.42	0.28	0.38	0.5753708861482661	unknown	unknown
catastrophe_memory_function__mourning_practice_reading	0.31	0.18	0.72	0.4246785112046727	piton	piton
catastrophe_memory_function__survival_competence_reading	0.22	0.15	0.08	0.30138474988718705	scaffold	tangled_rope
catastrophe_memory_kernel__survival_competence_reading	0.48	0.62	0.41	0.6575667270265899	tangled_rope	tangled_rope
catastrophe_memory_kernel__symbol_continuity_reading	0.28	0.15	0.62	0.3835805907655109	scaffold	tangled_rope
catastrophe_memory_kernel__trauma_encoding_reading	0.68	0.45	0.52	0.9315528632876693	unknown	snare
catastrophe_memory_preservation__hybrid_atrophy_reading	0.38	0.42	0.68	0.5205736588960505	unknown	unknown
catastrophe_memory_preservation__mourning_practice_reading	0.28	0.12	0.18	0.3835805907655109	scaffold	tangled_rope
catastrophe_memory_preservation__survival_competence_reading	0.68	0.45	0.28	0.9315528632876693	unknown	snare
catastrophe_memory_survival__competence_transmission_reading	0.62	0.58	0.47	0.8493570224093454	tangled_rope	tangled_rope
catastrophe_memory_survival__hybrid_encoding_reading	0.38	0.22	0.45	0.5994281442091609	unknown	unknown
catastrophe_memory_survival__symbol_survival_reading	0.68	0.72	0.58	0.9315528632876693	snare	snare
catastrophe_memory_transmission__hybrid_embedded_reading	0.38	0.22	0.18	0.5205736588960505	unknown	unknown
catastrophe_memory_transmission__operational_competence_reading	0.31	0.18	0.22	0.4246785112046727	scaffold	tangled_rope
catastrophe_memory_transmission__symbol_continuity_reading	0.68	0.72	0.58	0.9315528632876693	snare	snare
catastrophe_proxy_sufficiency__catastrophe_necessity_reading	0.15	0.08	0.12	0.20548960219580936	rope	rope
catastrophe_proxy_sufficiency__hybrid_degradation_reading	0.68	0.72	0.58	0.9315528632876693	snare	snare
catastrophe_proxy_sufficiency__simulation_as_proxy_catastrophe_reading	0.28	0.15	0.22	0.3835805907655109	scaffold	tangled_rope
