
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
LOAD	960
CTRL_GROUND_FACTS	1903
GROUND	abrahamic_covenant__isaac_covenant_reading	[theological,theological]
GROUND	abrahamic_covenant__ishmael_covenant_reading	[theological,theological]
GROUND	abrahamic_covenant__land_promise_constraint	[theological,theological]
GROUND	acceptable_risk_energy__catastrophic_tail_dominant	[conventional,deontological]
GROUND	acceptable_risk_energy__expected_value_dominant	[empirically_contingent,empirically_contingent]
GROUND	acceptable_risk_energy__option_value_preserving	[deontological,empirically_contingent]
GROUND	acceptable_risk_for_energy__catastrophic_tail_dominant	[deontological,deontological]
GROUND	acceptable_risk_for_energy__comparative_risk_dominant	[empirically_contingent,instrumental]
GROUND	acceptable_risk_for_energy__expected_value_dominant	[empirically_contingent,instrumental]
GROUND	ai_alignment_commitment__ethics_justice_reading	[deontological,deontological]
GROUND	ai_alignment_commitment__integrated_reading	[deontological,empirically_contingent]
GROUND	ai_alignment_commitment__safety_control_reading	[deontological,empirically_contingent]
GROUND	ai_alignment_priority__existential_risk_reading	[deontological,empirically_contingent]
GROUND	ai_alignment_priority__integrated_reading	[deontological,empirically_contingent]
GROUND	ai_alignment_priority__nearterm_harms_reading	[deontological,empirically_contingent]
GROUND	ai_dignity_safeguarding__autonomy_rights_reading	[deontological,deontological]
GROUND	ai_dignity_safeguarding__imago_dei_reading	[deontological,theological]
GROUND	ai_dignity_safeguarding__posthuman_continuity_reading	[deontological,instrumental]
GROUND	ai_governance_legitimacy__magisterial_subsidiarity_reading	[deontological,deontological]
GROUND	ai_governance_legitimacy__market_libertarian_reading	[deontological,deontological]
GROUND	ai_governance_legitimacy__technocratic_optimization_reading	[conventional,instrumental]
GROUND	ai_human_relationship__incarnational_humanism	[deontological,deontological]
GROUND	ai_human_relationship__instrumental_subsidiarity	[conventional,deontological]
GROUND	ai_human_relationship__technocratic_optimization	[empirically_contingent,instrumental]
GROUND	ai_risk_governance_priority__bridge_reading	[empirically_contingent,instrumental]
GROUND	ai_risk_governance_priority__existential_risk_reading	[deontological,empirically_contingent]
GROUND	ai_risk_governance_priority__near_term_harms_reading	[deontological,empirically_contingent]
GROUND	ai_risk_prioritization__existential_risk_reading	[empirically_contingent,instrumental]
GROUND	ai_risk_prioritization__near_term_harms_reading	[deontological,empirically_contingent]
GROUND	ai_safety_commitment__dual_priority_reading	[empirically_contingent,instrumental]
GROUND	ai_safety_commitment__existential_risk_reading	[deontological,empirically_contingent]
GROUND	ai_safety_commitment__near_term_harms_reading	[conventional,deontological]
GROUND	all_men_created_equal__originalist_reading	[conventional,deontological]
GROUND	all_men_created_equal__textualist_paradox_reading	[deontological,empirically_contingent]
GROUND	all_men_created_equal__universalist_reading	[deontological,deontological]
GROUND	aneyoshi_land_use_prohibition__behavioral_competence_reading	[empirically_contingent,empirically_contingent]
GROUND	aneyoshi_land_use_prohibition__commemorative_husk_reading	[conventional,instrumental]
GROUND	aneyoshi_stone_commitment__behavioral_competence_reading	[empirically_contingent,empirically_contingent]
GROUND	aneyoshi_stone_commitment__commemorative_husk_reading	[conventional,empirically_contingent]
GROUND	aneyoshi_stone_directive__behavioral_competence_reading	[conventional,empirically_contingent]
GROUND	aneyoshi_stone_directive__commemorative_husk_reading	[empirically_contingent,empirically_contingent]
GROUND	animal_moral_status__abolitionist_reading	[deontological,deontological]
GROUND	animal_moral_status__property_reading	[conventional,deontological]
GROUND	animal_moral_status__welfare_reading	[conventional,deontological]
GROUND	animal_status__abolitionist_reading	[deontological,deontological]
GROUND	animal_status__property_reading	[conventional,deontological]
GROUND	animal_status__welfare_reading	[conventional,deontological]
GROUND	animal_status_kernel__abolitionist_reading	[deontological,deontological]
GROUND	animal_status_kernel__welfare_reading	[conventional,deontological]
GROUND	anthropological_record__creationist_reading	[theological,theological]
GROUND	anthropological_record__indigenous_epistemology_reading	[conventional,deontological]
GROUND	anthropological_record__naturalist_reading	[conventional,empirically_contingent]
GROUND	article17_erasure_right__censorship_mechanism_reading	[conventional,deontological]
GROUND	article17_erasure_right__competitive_moat_reading	[empirically_contingent,empirically_contingent]
GROUND	article17_erasure_right__privacy_fundamental_reading	[conventional,deontological]
GROUND	article_17_complementarity__international_oversight_reading	[deontological,empirically_contingent]
GROUND	article_17_complementarity__national_primacy_reading	[conventional,deontological]
GROUND	article_27_veto_power__coordination_reading	[conventional,instrumental]
GROUND	article_27_veto_power__oligopoly_reading	[empirically_contingent,empirically_contingent]
GROUND	article_27_veto_power__sovereignty_reading	[deontological,empirically_contingent]
GROUND	article_2_7_chapter_vii_tension__r2p_reading	[deontological,deontological]
GROUND	article_2_7_chapter_vii_tension__sovereignty_first_reading	[conventional,deontological]
GROUND	article_51_self_defense__expansive_preventive_reading	[conventional,instrumental]
GROUND	article_51_self_defense__narrow_armed_attack_reading	[conventional,deontological]
GROUND	article_51_self_defense__unable_unwilling_doctrine_reading	[conventional,conventional]
GROUND	article_9_war_renunciation__collective_self_defense_reading	[conventional,instrumental]
GROUND	article_9_war_renunciation__inherent_right_reading	[conventional,deontological]
GROUND	article_9_war_renunciation__strict_pacifist_reading	[deontological,deontological]
GROUND	balfour_mandate_instruments__dual_obligation_indigenous_rights	[deontological,deontological]
GROUND	balfour_mandate_instruments__jewish_national_home_primacy	[conventional,instrumental]
GROUND	balfour_mandate_instruments__mandatory_interpretive_discretion	[conventional,instrumental]
GROUND	basic_law_interpretive_authority__judicial_supremacy_reading	[conventional,deontological]
GROUND	basic_law_interpretive_authority__popular_constitutionalism_reading	[conventional,deontological]
GROUND	basic_law_interpretive_boundary__balanced_contestation_reading	[conventional,deontological]
GROUND	basic_law_interpretive_boundary__judicial_supremacy_reading	[conventional,deontological]
GROUND	beta_designation_doctrine__expansive_shield_reading	[conventional,conventional]
GROUND	beta_designation_doctrine__narrow_warning_reading	[deontological,empirically_contingent]
GROUND	beta_designation_doctrine__severity_carve_out_reading	[deontological,deontological]
GROUND	biblical_authority__conciliar_reading	[conventional,deontological]
GROUND	biblical_authority__sola_scriptura_reading	[deontological,deontological]
GROUND	biblical_authority__tradition_scripture_reading	[deontological,theological]
GROUND	biblical_divine_nature__modalist_reading	[theological,theological]
GROUND	biblical_divine_nature__trinitarian_reading	[deontological,theological]
GROUND	biblical_divine_nature__unitarian_reading	[theological,theological]
GROUND	biblical_source_text__critical_reconstructive_reading	[conventional,empirically_contingent]
GROUND	biblical_source_text__dynamic_equivalence_reading	[instrumental,theological]
GROUND	biblical_source_text__formal_equivalence_reading	[conventional,deontological]
GROUND	bitcoin_consensus_kernel__maximalist_reading	[deontological,instrumental]
GROUND	bitcoin_consensus_kernel__utility_reading	[empirically_contingent,instrumental]
GROUND	bitcoin_whitepaper__digital_gold_reading	[conventional,instrumental]
GROUND	bitcoin_whitepaper__p2p_cash_reading	[conventional,instrumental]
GROUND	bitcoin_whitepaper__protocol_ossification_reading	[conventional,conventional]
GROUND	bitcoin_whitepaper_purpose__electronic_cash_reading	[conventional,empirically_contingent]
GROUND	bitcoin_whitepaper_purpose__store_of_value_reading	[deontological,deontological]
GROUND	border_control_legitimacy__jurisdictional_sovereignty	[deontological,deontological]
GROUND	border_control_legitimacy__sovereignty_primary	[conventional,deontological]
GROUND	border_legitimacy__freedom_of_movement_reading	[deontological,deontological]
GROUND	border_legitimacy__humanitarian_obligation_reading	[conventional,deontological]
GROUND	border_legitimacy__sovereignty_reading	[deontological,deontological]
GROUND	border_normative_status__freedom_primary	[deontological,deontological]
GROUND	border_normative_status__qualified_sovereignty	[deontological,deontological]
GROUND	border_normative_status__sovereignty_primary	[conventional,deontological]
GROUND	bretton_woods_treaty_substrate__keynesian_embedded_liberalism	[conventional,instrumental]
GROUND	bretton_woods_treaty_substrate__neoliberal_convertibility	[empirically_contingent,empirically_contingent]
GROUND	bretton_woods_treaty_substrate__sovereignty_defense	[conventional,empirically_contingent]
GROUND	caa_section_111d_delegation__facility_constraint_reading	[conventional,deontological]
GROUND	caa_section_111d_delegation__systemic_transformation_reading	[deontological,empirically_contingent]
GROUND	catastrophe_avoidance_retention__catastrophe_as_necessary_selector	[empirically_contingent,empirically_contingent]
GROUND	catastrophe_avoidance_retention__hybrid_near_miss_learning	[empirically_contingent,empirically_contingent]
