testsets | fcr_routed=9 constructed_routed=3 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=63
testsets_haiku | fcr_routed=56 constructed_routed=63 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=774
testsets_flash | fcr_routed=78 constructed_routed=11 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=772
archives/datasets/kernel_test | fcr_routed=6 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=39
archives/datasets/kernel_v1 | fcr_routed=53 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=221
archives/datasets/kernel_v2_test | fcr_routed=10 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=21
archives/datasets/original_diagnostic | fcr_routed=0 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=0
archives/datasets/original_test_testsets | fcr_routed=1 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=15
archives/datasets/original_v1 | fcr_routed=0 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=0
archives/datasets/original_v2 | fcr_routed=0 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=0
archives/datasets/original_v3 | fcr_routed=0 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=0
archives/datasets/original_v4 | fcr_routed=0 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=0
archives/datasets/original_v5: MAXENT_RUN_FAIL
archives/datasets/original_v5 | fcr_routed=19 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=33
archives/datasets/original_v6 | fcr_routed=56 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=251
archives/datasets/original_v6_test_flash | fcr_routed=27 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=80
archives/datasets/original_v6_test_haiku_chi_squared | fcr_routed=29 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=141
archives/datasets/testsets_archive_20260525 | fcr_routed=5 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=38
archives/datasets/testsets_backup_20260527_003713 | fcr_routed=5 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=38
archives/datasets/testsets_backup_20260527_003909 | fcr_routed=5 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=38
archives/datasets/testsets_failed_20260527_003717 | fcr_routed=5 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=38
archives/datasets/testsets_sotu | fcr_routed=5 constructed_routed=0 | routed_STILL_boosted(must 0)=0/0 | non_routed_boost_kept(witness>0 if any tr-mass)=39
