
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
actinide_replenishment_mechanism_contradictions | dr_type=unknown | yellow-yellow-commentary
actinide_replenishment_mechanism_flat_control | dr_type=tangled_rope | yellow-green-correction
adjunctification_of_university_teaching_c0 | dr_type=snare | yellow-yellow-commentary
animal_status_kernel__property_reading | dr_type=snare | red-yellow-commentary
apoe4_mitochondrial_vulnerability | dr_type=snare | yellow-yellow-commentary
architectural_pattern_validity | dr_type=rope | yellow-green-correction
authoritative_specification_reading | dr_type=snare | yellow-yellow-commentary
basic_law_interpretive_authority__parliamentary_sovereignty_reading | dr_type=snare | yellow-yellow-commentary
basic_law_interpretive_boundary__parliamentary_sovereignty_reading | dr_type=tangled_rope | yellow-green-correction
behavioral_adoption_friction | dr_type=unknown | yellow-yellow-commentary
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity | dr_type=tangled_rope | green-green-commentary
border_control_legitimacy__freedom_of_movement_primary | dr_type=snare | yellow-yellow-commentary
catastrophe_memory_kernel__boundary_maintenance_reading | dr_type=snare | yellow-yellow-commentary
conceptual_framework_reading | dr_type=tangled_rope | yellow-green-correction
crypto_permissionless_reading | dr_type=unknown | yellow-yellow-commentary
demographic_resource_allocation | dr_type=rope | yellow-green-correction
demographic_skill_mismatch_c0 | dr_type=rope | yellow-green-correction
digital_money_legitimacy_contradictions | dr_type=unknown | yellow-yellow-commentary
digital_money_legitimacy_flat_control | dr_type=snare | yellow-yellow-commentary
distributed_verification | dr_type=snare | yellow-yellow-commentary
divine_legitimacy_substrate__folk_syncretistic_reading | dr_type=tangled_rope | yellow-green-correction
doomsday_clock_metric__hybrid_legitimacy_reading | dr_type=unknown | yellow-yellow-commentary
dueling_disappearance_mechanism__overdetermined_composite_reading | dr_type=snare | yellow-yellow-commentary
epistemic_collapse | dr_type=snare | yellow-yellow-commentary
equal_protection_kernel__colorblind_reading | dr_type=snare | yellow-yellow-correction
fictional_construct_reading | dr_type=tangled_rope | yellow-green-correction
fourteenth_amendment_equal_protection__formal_equality_reading | dr_type=snare | yellow-yellow-commentary
geopolitical_settlement_competition | dr_type=snare | yellow-yellow-commentary
gita_kurukshetra_discourse__gandhian_allegorical_reading | dr_type=unknown | yellow-yellow-commentary
historical_treaty_substrate__stewardship_reading | dr_type=rope | yellow-yellow-commentary
indexical_realism | dr_type=snare | yellow-yellow-commentary
institutional_barrier_structure | dr_type=snare | yellow-yellow-commentary
institutional_trust_erosion_c0 | dr_type=snare | red-yellow-correction
institutional_validation_reading | dr_type=snare | yellow-yellow-commentary
institutional_verification_collapse | dr_type=snare | yellow-yellow-commentary
jewish_self_determination__indigenous_return_reading | dr_type=snare | red-yellow-commentary
jewish_sovereignty_palestine__cultural_zionist_reading | dr_type=tangled_rope | yellow-green-correction
jewish_sovereignty_palestine__settler_colonial_reading | dr_type=snare | yellow-yellow-commentary
jewish_territorial_claim__labor_zionism_reading | dr_type=snare | yellow-yellow-commentary
john_1_1_logos__non_incarnational_monotheist | dr_type=snare | yellow-yellow-commentary
knowledge_legitimacy_biomedicine_contradictions | dr_type=unknown | yellow-yellow-commentary
knowledge_legitimacy_biomedicine_flat_control | dr_type=snare | yellow-yellow-commentary
lausanne_minority_protections__guarantor_reading | dr_type=tangled_rope | yellow-green-correction
livelihood_security_reading | dr_type=unknown | yellow-yellow-commentary
llm_synthesis_capacity | dr_type=tangled_rope | yellow-green-correction
lycurgan_laws__demographic_trap_reading | dr_type=snare | yellow-yellow-commentary
maat_order_principle__reciprocity_reading | dr_type=unknown | yellow-yellow-commentary
marriage_authority__judicial_harmonization_reading | dr_type=tangled_rope | green-green-commentary
mitochondrial_demand_signal_deficiency | dr_type=snare | yellow-yellow-commentary
nad_precursor_bioavailability | dr_type=snare | yellow-yellow-commentary
neutron_star_bombardment_reading | dr_type=tangled_rope | yellow-green-correction
nicene_creed_authority__liturgical_habituation_reading | dr_type=rope | green-green-commentary
organization_floor_c0 | dr_type=unknown | red-red-commentary
performance_legitimacy_contradictions | dr_type=unknown | yellow-yellow-commentary
performance_legitimacy_flat_control | dr_type=snare | yellow-yellow-commentary
polaris_document_status_contradictions | dr_type=unknown | yellow-yellow-commentary
polaris_document_status_flat_control | dr_type=tangled_rope | green-green-commentary
post_evidentiary | dr_type=snare | yellow-yellow-commentary
pragmatic_action_reading | dr_type=unknown | yellow-yellow-commentary
pre_public_initiative_reading | dr_type=unknown | yellow-yellow-commentary
press_reformation_causality__strategic_deployment | dr_type=snare | yellow-yellow-commentary
press_reformation_causation__mutual_shaping | dr_type=piton | yellow-yellow-correction
press_reformation_causation__strategic_deployment | dr_type=tangled_rope | red-green-correction
propagation_speed_asymmetry | dr_type=rope | yellow-green-correction
property_sector_overhang | dr_type=snare | yellow-yellow-commentary
protein_anabolic_resistance | dr_type=tangled_rope | yellow-green-correction
qualitative_development_reading | dr_type=snare | yellow-yellow-commentary
quantitative_growth_reading | dr_type=snare | yellow-yellow-commentary
radiative_levitation_stratification | dr_type=tangled_rope | yellow-green-correction
reading_acquisition_legitimacy__whole_language_meaning_primacy | dr_type=snare | yellow-yellow-commentary
refugee_convention_text__expansive_humanitarian_reading | dr_type=piton | yellow-yellow-correction
regulated_stablecoin_reading | dr_type=tangled_rope | green-green-commentary
scale_ceiling_c0 | dr_type=rope | yellow-green-correction
secession_legitimacy_boundary__constitutional_impossibility_reading | dr_type=snare | red-yellow-commentary
sex_gender_category__identity_reading | dr_type=snare | yellow-yellow-commentary
shinbutsu_ontological_commitment__incoherence_reading | dr_type=snare | yellow-yellow-correction
sovereign_cbdc_reading | dr_type=snare | yellow-yellow-commentary
specification_binding_authority | dr_type=snare | yellow-yellow-commentary
speech_protection_kernel__absolutist_reading | dr_type=snare | yellow-yellow-commentary
state_killing_legitimacy__abolition_reading | dr_type=snare | yellow-yellow-commentary
statutory_debt_ceiling__coordination_scaffold_reading | dr_type=piton | yellow-yellow-correction
superheavy_decay_reading | dr_type=unknown | yellow-yellow-commentary
synthesis_infrastructure_gap | dr_type=snare | yellow-yellow-commentary
techno_nationalist_reading | dr_type=snare | yellow-yellow-commentary
udhr_article_3__negative_liberty_reading | dr_type=snare | yellow-yellow-commentary
validation_judgment_separation | dr_type=rope | yellow-green-correction
vedic_corpus_social_prescription__colonial_orientalist_reading | dr_type=snare | yellow-yellow-commentary
visual_evidentiary_authority_contradictions | dr_type=unknown | yellow-yellow-commentary
visual_evidentiary_authority_flat_control | dr_type=unknown | yellow-yellow-commentary
zero_mathematical_status__parmenidean_rejection | dr_type=snare | yellow-yellow-commentary
zero_mathematical_status__placeholder_reading | dr_type=tangled_rope | green-green-commentary
zionist_legitimacy_basis__national_liberation_reading | dr_type=snare | yellow-yellow-commentary
