
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
cid	dettype	abductive	signature	maxent	join_verdict	has_abd	has_sig
actinide_replenishment_mechanism_contradictions	unknown	agrees	agrees	inconclusive	yellow	no	yes
actinide_replenishment_mechanism_flat_control	mountain	disagrees:abductive_tension	agrees	inconclusive	red	yes	yes
adjunctification_of_university_teaching_c0	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
animal_status_kernel__property_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
apoe4_mitochondrial_vulnerability	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
architectural_pattern_validity	rope	agrees	agrees_via_override	inconclusive	yellow	no	yes
authoritative_specification_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
basic_law_interpretive_authority__parliamentary_sovereignty_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	scaffold	disagrees:abductive_tension	agrees	inconclusive	red	yes	yes
behavioral_adoption_friction	unknown	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	tangled_rope	disagrees:abductive_tension	agrees_via_override	inconclusive	yellow	yes	yes
border_control_legitimacy__freedom_of_movement_primary	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
catastrophe_memory_kernel__boundary_maintenance_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
conceptual_framework_reading	scaffold	disagrees:abductive_tension	agrees	inconclusive	red	yes	yes
crypto_permissionless_reading	unknown	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
demographic_resource_allocation	rope	agrees	agrees_via_override	inconclusive	yellow	no	yes
demographic_skill_mismatch_c0	rope	agrees	agrees_via_override	inconclusive	yellow	no	yes
digital_money_legitimacy_contradictions	unknown	agrees	agrees	inconclusive	yellow	no	yes
digital_money_legitimacy_flat_control	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
distributed_verification	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
divine_legitimacy_substrate__folk_syncretistic_reading	scaffold	disagrees:abductive_tension	agrees	inconclusive	yellow	yes	yes
doomsday_clock_metric__hybrid_legitimacy_reading	unknown	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	red	yes	yes
dueling_disappearance_mechanism__overdetermined_composite_reading	snare	disagrees:abductive_tension	disagrees:override_mismatch	inconclusive	yellow	yes	yes
