id	obs	lo	hi	type
abrahamic_covenant__isaac_covenant_reading	powerless	-0.5000	0.3490	naturalized
abrahamic_covenant__isaac_covenant_reading	powerless	0.3500	0.3500	unknown
abrahamic_covenant__isaac_covenant_reading	powerless	0.3510	0.6590	tangled_rope
abrahamic_covenant__isaac_covenant_reading	powerless	0.6600	1.6000	snare
abrahamic_covenant__isaac_covenant_reading	moderate	-0.5000	0.0000	rope
abrahamic_covenant__isaac_covenant_reading	moderate	0.0010	0.3490	naturalized
abrahamic_covenant__isaac_covenant_reading	moderate	0.3500	0.3500	unknown
abrahamic_covenant__isaac_covenant_reading	moderate	0.3510	0.6590	tangled_rope
abrahamic_covenant__isaac_covenant_reading	moderate	0.6600	1.6000	snare
abrahamic_covenant__isaac_covenant_reading	institutional	-0.5000	0.0000	rope
abrahamic_covenant__isaac_covenant_reading	institutional	0.0010	0.3490	naturalized
abrahamic_covenant__isaac_covenant_reading	institutional	0.3500	0.3500	unknown
abrahamic_covenant__isaac_covenant_reading	institutional	0.3510	0.6590	tangled_rope
abrahamic_covenant__isaac_covenant_reading	institutional	0.6600	1.6000	snare
abrahamic_covenant__isaac_covenant_reading	analytical	-0.5000	0.0000	rope
abrahamic_covenant__isaac_covenant_reading	analytical	0.0010	0.3490	naturalized
abrahamic_covenant__isaac_covenant_reading	analytical	0.3500	0.3500	unknown
abrahamic_covenant__isaac_covenant_reading	analytical	0.3510	0.6590	tangled_rope
abrahamic_covenant__isaac_covenant_reading	analytical	0.6600	1.6000	snare
abrahamic_covenant__ishmael_covenant_reading	powerless	-0.5000	0.3490	naturalized
abrahamic_covenant__ishmael_covenant_reading	powerless	0.3500	0.3500	unknown
abrahamic_covenant__ishmael_covenant_reading	powerless	0.3510	0.6590	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	powerless	0.6600	1.6000	snare
abrahamic_covenant__ishmael_covenant_reading	moderate	-0.5000	0.0000	rope
abrahamic_covenant__ishmael_covenant_reading	moderate	0.0010	0.3490	naturalized
abrahamic_covenant__ishmael_covenant_reading	moderate	0.3500	0.3500	unknown
abrahamic_covenant__ishmael_covenant_reading	moderate	0.3510	0.6590	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	moderate	0.6600	1.6000	snare
abrahamic_covenant__ishmael_covenant_reading	institutional	-0.5000	0.0000	rope
abrahamic_covenant__ishmael_covenant_reading	institutional	0.0010	0.3490	naturalized
abrahamic_covenant__ishmael_covenant_reading	institutional	0.3500	0.3500	unknown
abrahamic_covenant__ishmael_covenant_reading	institutional	0.3510	0.6590	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	institutional	0.6600	1.6000	snare
abrahamic_covenant__ishmael_covenant_reading	analytical	-0.5000	0.0000	rope
abrahamic_covenant__ishmael_covenant_reading	analytical	0.0010	0.3490	naturalized
abrahamic_covenant__ishmael_covenant_reading	analytical	0.3500	0.3500	unknown
abrahamic_covenant__ishmael_covenant_reading	analytical	0.3510	0.6590	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	analytical	0.6600	1.6000	snare
abrahamic_covenant__land_promise_constraint	powerless	-0.5000	0.3490	naturalized
abrahamic_covenant__land_promise_constraint	powerless	0.3500	0.3500	unknown
abrahamic_covenant__land_promise_constraint	powerless	0.3510	0.6590	tangled_rope
abrahamic_covenant__land_promise_constraint	powerless	0.6600	1.6000	snare
abrahamic_covenant__land_promise_constraint	moderate	-0.5000	0.0000	rope
abrahamic_covenant__land_promise_constraint	moderate	0.0010	0.3490	naturalized
abrahamic_covenant__land_promise_constraint	moderate	0.3500	0.3500	unknown
abrahamic_covenant__land_promise_constraint	moderate	0.3510	0.6590	tangled_rope
abrahamic_covenant__land_promise_constraint	moderate	0.6600	1.6000	snare
abrahamic_covenant__land_promise_constraint	institutional	-0.5000	0.0000	rope
abrahamic_covenant__land_promise_constraint	institutional	0.0010	0.3490	naturalized
abrahamic_covenant__land_promise_constraint	institutional	0.3500	0.3500	unknown
abrahamic_covenant__land_promise_constraint	institutional	0.3510	0.6590	tangled_rope
