id	baseeps	supp
ability_ceiling_reading	0.68	0.72
access_barrier_reading	0.68	0.72
adjunctification_of_university_teaching_c0	0.78	0.81
animal_status_kernel__property_reading	0.88	0.79
apoe4_mitochondrial_vulnerability	0.68	0.72
authoritative_specification_reading	0.68	0.72
basic_law_interpretive_authority__parliamentary_sovereignty_reading	0.68	0.72
behavioral_adoption_friction	0.38	0.42
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	0.62	0.71
border_control_legitimacy__freedom_of_movement_primary	0.81	0.87
injected_starved_01	0.02	0.72
