id	baseeps	supp
ability_ceiling_reading	0.68	0.72
access_barrier_reading	0.68	0.72
actinide_replenishment_mechanism_contradictions	unknown	unknown
actinide_replenishment_mechanism_flat_control	0.03	0.02
adjunctification_of_university_teaching_c0	0.78	0.81
animal_status_kernel__property_reading	0.88	0.79
apoe4_mitochondrial_vulnerability	0.68	0.72
architectural_pattern_validity	0.08	0.12
authoritative_specification_reading	0.68	0.72
basic_law_interpretive_authority__parliamentary_sovereignty_reading	0.68	0.72
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	0.18	0.12
behavioral_adoption_friction	0.38	0.42
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	0.62	0.71
border_control_legitimacy__freedom_of_movement_primary	0.81	0.87
catastrophe_memory_kernel__boundary_maintenance_reading	0.6	0.7
conceptual_framework_reading	0.12	0.08
crypto_permissionless_reading	0.42	0.68
demographic_resource_allocation	0.18	0.12
demographic_skill_mismatch_c0	0.18	0.22
digital_money_legitimacy_contradictions	unknown	unknown
digital_money_legitimacy_flat_control	0.68	0.72
dispositional_reading	0.68	0.72
distributed_verification	0.68	0.71
divine_legitimacy_substrate__folk_syncretistic_reading	0.31	0.28
doomsday_clock_metric__hybrid_legitimacy_reading	0.4	0.2
dueling_disappearance_mechanism__overdetermined_composite_reading	0.58	0.71
empty_shell_tolerance	0.28	0.42
epistemic_collapse	0.82	0.91
equal_protection_kernel__colorblind_reading	0.68	0.55
fictional_construct_reading	0.28	0.35
fourteenth_amendment_equal_protection__formal_equality_reading	0.68	0.72
gendered_outcome_asymmetry	0.78	0.71
geopolitical_settlement_competition	0.68	0.71
gita_kurukshetra_discourse__gandhian_allegorical_reading	0.31	0.18
historical_treaty_substrate__stewardship_reading	0.25	0.15
indexical_realism	0.68	0.72
institutional_barrier_structure	0.68	0.76
institutional_trust_erosion_c0	0.68	0.52
institutional_validation_reading	0.68	0.72
institutional_verification_collapse	0.68	0.72
interactionist_reading	0.42	0.38
intervention_target_selection	0.68	0.72
jewish_self_determination__indigenous_return_reading	0.78	0.82
jewish_sovereignty_palestine__cultural_zionist_reading	0.15	0.1
jewish_sovereignty_palestine__settler_colonial_reading	0.9	0.95
jewish_territorial_claim__labor_zionism_reading	0.85	0.75
john_1_1_logos__non_incarnational_monotheist	0.68	0.72
knowledge_legitimacy_biomedicine_contradictions	unknown	unknown
knowledge_legitimacy_biomedicine_flat_control	0.68	0.72
lausanne_minority_protections__guarantor_reading	0.22	0.15
learning_difficulty_substrate_contradictions	unknown	unknown
learning_difficulty_substrate_flat_control	0.68	0.71
livelihood_security_reading	0.42	0.38
llm_synthesis_capacity	0.18	0.22
longevity_mismatch	0.12	0.08
lycurgan_laws__demographic_trap_reading	0.82	0.88
maat_order_principle__reciprocity_reading	0.42	0.38
marriage_authority__judicial_harmonization_reading	0.58	0.41
mitochondrial_demand_signal_deficiency	0.68	0.71
moral_causation_locus_contradictions	unknown	unknown
moral_causation_locus_flat_control	0.68	0.71
nad_precursor_bioavailability	0.68	0.71
neutron_star_bombardment_reading	0.12	0.08
nicene_creed_authority__liturgical_habituation_reading	0.08	0.12
organization_floor_c0	0.42	0.38
performance_legitimacy_contradictions	unknown	unknown
performance_legitimacy_flat_control	0.68	0.79
polaris_document_status_contradictions	unknown	unknown
polaris_document_status_flat_control	0.42	0.58
post_evidentiary	0.68	0.72
pragmatic_action_reading	0.42	0.38
pre_public_initiative_reading	0.42	0.38
prerequisite_debt_reading	0.48	0.42
press_reformation_causality__strategic_deployment	0.68	0.72
press_reformation_causation__mutual_shaping	0.2	0.1
press_reformation_causation__strategic_deployment	0.62	0.71
propagation_speed_asymmetry	0.12	0.08
property_sector_overhang	0.68	0.72
protein_anabolic_resistance	0.08	0.03
qualitative_development_reading	0.68	0.71
quantitative_growth_reading	0.68	0.71
radiative_levitation_stratification	0.03	0.02
reading_acquisition_legitimacy__whole_language_meaning_primacy	0.6	0.7
refugee_convention_text__expansive_humanitarian_reading	0.32	0.18
regulated_stablecoin_reading	0.42	0.58
responsibility_preservation_mechanism	0.68	0.72
scale_ceiling_c0	0.18	0.12
secession_legitimacy_boundary__constitutional_impossibility_reading	0.62	0.71
sex_gender_category__identity_reading	0.68	0.72
shinbutsu_ontological_commitment__incoherence_reading	0.67	0.58
situational_reading	0.68	0.72
sovereign_cbdc_reading	0.68	0.72
specification_binding_authority	0.68	0.72
speech_protection_kernel__absolutist_reading	0.62	0.71
state_killing_legitimacy__abolition_reading	0.95	0.88
statutory_debt_ceiling__coordination_scaffold_reading	0.2	0.15
superheavy_decay_reading	0.68	0.42
synthesis_infrastructure_gap	0.68	0.72
techno_nationalist_reading	0.68	0.72
third_act_arbitrage	0.58	0.42
udhr_article_3__negative_liberty_reading	0.68	0.71
validation_judgment_separation	0.12	0.08
vedic_corpus_social_prescription__colonial_orientalist_reading	0.68	0.72
visual_evidentiary_authority_contradictions	unknown	unknown
visual_evidentiary_authority_flat_control	0.38	0.42
womens_financial_autonomy	0.38	0.42
zero_mathematical_status__parmenidean_rejection	0.68	0.76
zero_mathematical_status__placeholder_reading	0.62	0.48
zionist_legitimacy_basis__national_liberation_reading	0.65	0.75
