id	n_obs_defined	has_full_map	chi_min	chi_max	chi_span	starved	subset_a	subset_b	mtype_vec	ftype_vec	immut_vec
ability_ceiling_reading	4	True	-0.028731346196566535	0.9315528632876693	0.9602842094842359	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
access_barrier_reading	4	True	-0.028731346196566535	0.9315528632876693	0.9602842094842359	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
actinide_replenishment_mechanism_contradictions	0	False	None	None	None	False	False	False	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	mountain|rope|rope|mountain
actinide_replenishment_mechanism_flat_control	4	True	-0.001267559391024994	0.04109792043916187	0.04236547983018686	True	True	False	mountain|scaffold|scaffold|mountain	mountain|scaffold|scaffold|mountain	mountain|rope|rope|mountain
adjunctification_of_university_teaching_c0	4	True	-0.03295654416664985	1.0685459314182089	1.1015024755848588	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
animal_status_kernel__property_reading	4	True	-0.03718174213673316	1.2055389995487482	1.2427207416854813	False	False	False	snare|snare|scaffold|snare	snare|snare|scaffold|snare	mountain|rope|rope|mountain
apoe4_mitochondrial_vulnerability	4	True	-0.028731346196566535	0.9315528632876693	0.9602842094842359	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
architectural_pattern_validity	4	True	-0.003380158376066651	0.10959445450443167	0.11297461288049832	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
authoritative_specification_reading	4	True	-0.028731346196566535	0.9315528632876693	0.9602842094842359	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
basic_law_interpretive_authority__parliamentary_sovereignty_reading	4	True	0.35359999999999997	0.9315528632876693	0.5779528632876694	False	False	False	tangled_rope|snare|snare|snare	tangled_rope|snare|snare|snare	mountain|rope|rope|mountain
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	4	True	-0.0026163727141424306	0.24658752263497122	0.24920389534911364	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
