id	n_obs_defined	has_full_map	chi_min	chi_max	chi_span	starved	subset_a	subset_b	mtype_vec	ftype_vec	immut_vec
ability_ceiling_reading	4	True	0.32773237573844677	0.33892953941448073	0.011197163676033961	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
access_barrier_reading	4	True	0.32773237573844677	0.33726627760339284	0.00953390186494607	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
actinide_replenishment_mechanism_contradictions	0	False	None	None	None	False	False	False	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	mountain|rope|rope|mountain
actinide_replenishment_mechanism_flat_control	4	True	0.014458781282578532	0.014964285380414099	0.0005055040978355664	True	True	False	mountain|scaffold|scaffold|mountain	mountain|scaffold|scaffold|mountain	mountain|rope|rope|mountain
adjunctification_of_university_teaching_c0	4	True	0.37592831334704185	0.38686425960389176	0.010935946256849904	True	False	False	tangled_rope|tangled_rope|tangled_rope|tangled_rope	tangled_rope|tangled_rope|tangled_rope|tangled_rope	mountain|rope|rope|mountain
animal_status_kernel__property_reading	4	True	0.42412425095563694	0.4389523711588136	0.014828120203176642	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
apoe4_mitochondrial_vulnerability	4	True	0.32773237573844677	0.3390420604598577	0.011309684721410918	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
architectural_pattern_validity	4	True	0.03855675008687608	0.0399047610144376	0.0013480109275615174	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
authoritative_specification_reading	4	True	0.32773237573844677	0.33892953941448073	0.011197163676033961	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
basic_law_interpretive_authority__parliamentary_sovereignty_reading	4	True	0.333403938822024	0.33726627760339284	0.0038623387813688237	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	4	True	0.08681424023536397	0.08971664278618607	0.0029024025508221085	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
behavioral_adoption_friction	4	True	0.1831445629126614	0.18940180143750393	0.006257238524842529	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	4	True	0.2988148131732897	0.30902399181908535	0.01020917864579568	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
border_control_legitimacy__freedom_of_movement_primary	4	True	0.3900063807116897	0.40174365420404146	0.011737273492351763	True	False	False	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	mountain|rope|rope|mountain
catastrophe_memory_kernel__boundary_maintenance_reading	4	True	0.2891756256515706	0.2990554759539536	0.009879850302382975	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
conceptual_framework_reading	4	True	0.05783512513031413	0.059857141521656394	0.0020220163913422656	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
crypto_permissionless_reading	4	True	0.20242293795609945	0.2093388331677675	0.0069158952116680494	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
demographic_resource_allocation	4	True	0.08693752656431103	0.08971664278618607	0.0027791162218750443	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
demographic_skill_mismatch_c0	4	True	0.08675268769547119	0.08971664278618607	0.0029639550907148843	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
digital_money_legitimacy_contradictions	0	False	None	None	None	False	False	False	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	mountain|rope|rope|mountain
digital_money_legitimacy_flat_control	4	True	0.32773237573844677	0.33726627760339284	0.00953390186494607	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
dispositional_reading	4	True	0.32773237573844677	0.33892953941448073	0.011197163676033961	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
distributed_verification	4	True	0.32773237573844677	0.33726627760339284	0.00953390186494607	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
divine_legitimacy_substrate__folk_syncretistic_reading	4	True	0.14940740658664484	0.1546309489309457	0.005223542344300863	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
doomsday_clock_metric__hybrid_legitimacy_reading	4	True	0.19278375043438045	0.19937031730263574	0.006586566868255289	True	True	False	unknown|rope|rope|rope	unknown|rope|rope|rope	mountain|rope|rope|mountain
dueling_disappearance_mechanism__overdetermined_composite_reading	4	True	0.2795364381298516	0.28766829560289386	0.008131857473042237	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
empty_shell_tolerance	4	True	0.13494862530406632	0.13955922211184502	0.0046105968077787	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
epistemic_collapse	4	True	0.39548709440554697	0.4067034524040913	0.011216357998544313	True	False	False	tangled_rope|tangled_rope|tangled_rope|tangled_rope	rope|rope|rope|rope	mountain|rope|rope|mountain
equal_protection_kernel__colorblind_reading	4	True	0.32773237573844677	0.33892953941448073	0.011197163676033961	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
fictional_construct_reading	4	True	0.13494862530406632	0.13966666355053162	0.0047180382464653	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
fourteenth_amendment_equal_protection__formal_equality_reading	4	True	0.32773237573844677	0.33892953941448073	0.011197163676033961	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
gendered_outcome_asymmetry	4	True	0.37592831334704185	0.38877211874013967	0.012843805393097818	True	False	False	tangled_rope|tangled_rope|tangled_rope|tangled_rope	tangled_rope|tangled_rope|tangled_rope|tangled_rope	mountain|rope|rope|mountain
geopolitical_settlement_competition	4	True	0.329005016740436	0.33726627760339284	0.008261260862956865	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
gita_kurukshetra_discourse__gandhian_allegorical_reading	4	True	0.14940740658664484	0.15375374420154672	0.004346337614901885	True	True	False	unknown|rope|rope|rope	unknown|rope|rope|rope	mountain|rope|rope|mountain
historical_treaty_substrate__stewardship_reading	4	True	0.12048984402148777	0.12460644831414733	0.004116604292659559	True	True	False	unknown|rope|rope|rope	unknown|rope|rope|rope	mountain|rope|rope|mountain
indexical_realism	4	True	0.32773237573844677	0.33726627760339284	0.00953390186494607	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
institutional_barrier_structure	4	True	0.32773237573844677	0.33726627760339284	0.00953390186494607	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
institutional_trust_erosion_c0	4	True	0.33441094990319786	0.33892953941448073	0.004518589511282867	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
institutional_validation_reading	4	True	0.32773237573844677	0.33726627760339284	0.00953390186494607	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
institutional_verification_collapse	4	True	0.32773237573844677	0.33726627760339284	0.00953390186494607	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
interactionist_reading	4	True	0.20242293795609945	0.20949999532579738	0.007077057369697937	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
intervention_target_selection	4	True	0.32773237573844677	0.33726627760339284	0.00953390186494607	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
jewish_self_determination__indigenous_return_reading	4	True	0.37592831334704185	0.3890714198907666	0.013143106543724747	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
jewish_sovereignty_palestine__cultural_zionist_reading	4	True	0.07229390641289266	0.0747638689884884	0.002469962575595744	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
jewish_sovereignty_palestine__settler_colonial_reading	4	True	0.433763438477356	0.44858321393093037	0.01481977545357438	True	False	False	tangled_rope|tangled_rope|tangled_rope|tangled_rope	rope|rope|rope|rope	mountain|rope|rope|mountain
jewish_territorial_claim__labor_zionism_reading	4	True	0.4096654696730584	0.4236619242681009	0.013996454595042507	True	False	False	tangled_rope|tangled_rope|tangled_rope|tangled_rope	tangled_rope|tangled_rope|tangled_rope|tangled_rope	mountain|rope|rope|mountain
john_1_1_logos__non_incarnational_monotheist	4	True	0.333403938822024	0.3385937538601678	0.005189815038143808	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
knowledge_legitimacy_biomedicine_contradictions	0	False	None	None	None	False	False	False	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	mountain|rope|rope|mountain
knowledge_legitimacy_biomedicine_flat_control	4	True	0.32773237573844677	0.33726627760339284	0.00953390186494607	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
lausanne_minority_protections__guarantor_reading	4	True	0.10603106273890923	0.10911556040109767	0.0030844976621884346	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
learning_difficulty_substrate_contradictions	0	False	None	None	None	False	False	False	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	mountain|rope|rope|mountain
learning_difficulty_substrate_flat_control	4	True	0.32773237573844677	0.33892953941448073	0.011197163676033961	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
livelihood_security_reading	4	True	0.20242293795609945	0.2093388331677675	0.0069158952116680494	True	True	False	unknown|rope|rope|rope	unknown|rope|rope|rope	mountain|rope|rope|mountain
llm_synthesis_capacity	4	True	0.08675268769547119	0.0897857122824846	0.0030330245870134054	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
longevity_mismatch	4	True	0.05783512513031413	0.05981109519079072	0.0019759700604765895	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
lycurgan_laws__demographic_trap_reading	4	True	0.39520668839047984	0.4067034524040913	0.011496764013611438	True	False	False	tangled_rope|tangled_rope|tangled_rope|tangled_rope	tangled_rope|tangled_rope|tangled_rope|tangled_rope	mountain|rope|rope|mountain
maat_order_principle__reciprocity_reading	4	True	0.20242293795609945	0.2093388331677675	0.0069158952116680494	True	True	False	unknown|rope|rope|rope	unknown|rope|rope|rope	mountain|rope|rope|mountain
marriage_authority__judicial_harmonization_reading	4	True	0.2795364381298516	0.2890869600888218	0.00955052195897016	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
mitochondrial_demand_signal_deficiency	4	True	0.3305008730623655	0.33726627760339284	0.0067654045410273644	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
moral_causation_locus_contradictions	0	False	None	None	None	False	False	False	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	mountain|rope|rope|mountain
moral_causation_locus_flat_control	4	True	0.32773237573844677	0.33726627760339284	0.00953390186494607	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
nad_precursor_bioavailability	4	True	0.32773237573844677	0.33892953941448073	0.011197163676033961	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
neutron_star_bombardment_reading	4	True	0.05783512513031413	0.059857141521656394	0.0020220163913422656	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
nicene_creed_authority__liturgical_habituation_reading	4	True	0.039104458161172494	0.0399047610144376	0.0008003028532651071	True	True	False	unknown|rope|rope|rope	rope|rope|rope|rope	mountain|rope|rope|mountain
organization_floor_c0	4	True	0.20242293795609945	0.2093388331677675	0.0069158952116680494	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
performance_legitimacy_contradictions	0	False	None	None	None	False	False	False	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	mountain|rope|rope|mountain
performance_legitimacy_flat_control	4	True	0.32773237573844677	0.33726627760339284	0.00953390186494607	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
polaris_document_status_contradictions	0	False	None	None	None	False	False	False	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	mountain|rope|rope|mountain
polaris_document_status_flat_control	4	True	0.20242293795609945	0.2093388331677675	0.0069158952116680494	True	True	False	unknown|rope|rope|rope	unknown|rope|rope|rope	mountain|rope|rope|mountain
post_evidentiary	4	True	0.32773237573844677	0.33796934409038054	0.010236968351933773	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
pragmatic_action_reading	4	True	0.20242293795609945	0.2093388331677675	0.0069158952116680494	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
pre_public_initiative_reading	4	True	0.20242293795609945	0.20949999532579738	0.007077057369697937	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
prerequisite_debt_reading	4	True	0.23134050052125651	0.23924438076316287	0.007903880241906358	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
press_reformation_causality__strategic_deployment	4	True	0.32773237573844677	0.33726627760339284	0.00953390186494607	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
press_reformation_causation__mutual_shaping	4	True	0.09639187521719023	0.09968515865131787	0.0032932834341276446	True	False	False	scaffold|scaffold|scaffold|scaffold	piton|piton|piton|piton	mountain|rope|rope|mountain
press_reformation_causation__strategic_deployment	4	True	0.30725992373646965	0.30902399181908535	0.0017640680826156996	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
propagation_speed_asymmetry	4	True	0.05783512513031413	0.05981109519079072	0.0019759700604765895	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
property_sector_overhang	4	True	0.32843065590961945	0.33726627760339284	0.008835621693773388	True	False	False	naturalized|naturalized|naturalized|naturalized	naturalized|naturalized|naturalized|naturalized	mountain|rope|rope|mountain
protein_anabolic_resistance	4	True	0.03855675008687608	0.039874063460527145	0.001317313373651062	True	True	False	mountain|scaffold|scaffold|mountain	mountain|scaffold|scaffold|mountain	mountain|rope|rope|mountain
