id	n_obs_defined	has_full_map	chi_min	chi_max	chi_span	starved	subset_a	subset_b	mtype_vec	ftype_vec	immut_vec
abrahamic_covenant__isaac_covenant_reading	4	True	-0.029576385790583193	0.9589514769137769	0.9885278627043601	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
abrahamic_covenant__ishmael_covenant_reading	4	True	-0.019013390865374912	0.6164688065874281	0.635482197452803	False	False	False	unknown|unknown|rope|unknown	unknown|unknown|rope|unknown	mountain|rope|rope|mountain
abrahamic_covenant__land_promise_constraint	4	True	-0.038026781730749824	1.2329376131748562	1.270964394905606	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
acceptable_risk_energy__catastrophic_tail_dominant	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
acceptable_risk_energy__expected_value_dominant	4	True	-0.02535118782049988	0.8219584087832374	0.8473095966037373	False	False	False	naturalized|snare|rope|snare	naturalized|snare|rope|snare	mountain|rope|rope|mountain
acceptable_risk_energy__option_value_preserving	4	True	-0.019013390865374912	0.6164688065874281	0.635482197452803	False	False	False	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	mountain|rope|rope|mountain
acceptable_risk_for_energy__catastrophic_tail_dominant	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
acceptable_risk_for_energy__comparative_risk_dominant	4	True	-0.016900791880333256	0.5479722725221584	0.5648730644024916	False	False	False	unknown|unknown|rope|unknown	unknown|unknown|rope|unknown	mountain|rope|rope|mountain
acceptable_risk_for_energy__expected_value_dominant	4	True	-0.01267559391024994	0.4109792043916187	0.42365479830186864	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
ai_alignment_commitment__ethics_justice_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	mountain|rope|rope|mountain
ai_alignment_commitment__integrated_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	naturalized|snare|rope|snare	naturalized|snare|rope|snare	mountain|rope|rope|mountain
ai_alignment_commitment__safety_control_reading	4	True	-0.035914182745708165	1.1644410791095863	1.2003552618552944	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
ai_alignment_priority__existential_risk_reading	4	True	-0.035914182745708165	1.1644410791095863	1.2003552618552944	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
ai_alignment_priority__integrated_reading	4	True	-0.019013390865374912	0.6164688065874281	0.635482197452803	False	False	False	unknown|unknown|rope|unknown	unknown|unknown|rope|unknown	mountain|rope|rope|mountain
ai_alignment_priority__nearterm_harms_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
ai_dignity_safeguarding__autonomy_rights_reading	4	True	-0.014788192895291596	0.47947573845688846	0.49426393135218005	False	False	False	unknown|unknown|rope|unknown	unknown|unknown|rope|unknown	mountain|rope|rope|mountain
ai_dignity_safeguarding__imago_dei_reading	4	True	-0.023238588835458228	0.7534618747179678	0.776700463553426	False	False	False	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	mountain|rope|rope|mountain
ai_dignity_safeguarding__posthuman_continuity_reading	4	True	-0.004225197970083314	0.1369930681305396	0.1412182661006229	True	True	False	mountain|scaffold|scaffold|mountain	mountain|scaffold|scaffold|mountain	mountain|rope|rope|mountain
ai_governance_legitimacy__magisterial_subsidiarity_reading	4	True	-0.02112598985041657	0.6849653406526979	0.7060913305031145	False	False	False	unknown|unknown|rope|unknown	unknown|unknown|rope|unknown	mountain|rope|rope|mountain
ai_governance_legitimacy__market_libertarian_reading	4	True	-0.010562994925208284	0.34248267032634894	0.35304566525155723	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
ai_governance_legitimacy__technocratic_optimization_reading	4	True	-0.014788192895291596	0.47947573845688846	0.49426393135218005	False	False	False	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	mountain|rope|rope|mountain
ai_human_relationship__incarnational_humanism	4	True	-0.00633779695512497	0.20548960219580936	0.21182739915093432	True	True	False	mountain|scaffold|scaffold|mountain	mountain|scaffold|scaffold|mountain	mountain|rope|rope|mountain
ai_human_relationship__instrumental_subsidiarity	4	True	-0.01267559391024994	0.4109792043916187	0.42365479830186864	False	False	False	unknown|rope|rope|unknown	unknown|rope|rope|unknown	mountain|rope|rope|mountain
ai_human_relationship__technocratic_optimization	4	True	-0.035914182745708165	1.1644410791095863	1.2003552618552944	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
ai_risk_governance_priority__bridge_reading	4	True	-0.019013390865374912	0.6164688065874281	0.635482197452803	False	False	False	unknown|unknown|scaffold|unknown	unknown|unknown|scaffold|unknown	mountain|rope|rope|mountain
ai_risk_governance_priority__existential_risk_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	mountain|rope|rope|mountain
ai_risk_governance_priority__near_term_harms_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	naturalized|snare|rope|snare	naturalized|snare|rope|snare	mountain|rope|rope|mountain
ai_risk_prioritization__existential_risk_reading	4	True	-0.02535118782049988	0.8219584087832374	0.8473095966037373	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
ai_risk_prioritization__near_term_harms_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
ai_safety_commitment__dual_priority_reading	4	True	-0.02535118782049988	0.8219584087832374	0.8473095966037373	False	False	False	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	mountain|rope|rope|mountain
ai_safety_commitment__existential_risk_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	mountain|rope|rope|mountain
ai_safety_commitment__near_term_harms_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	naturalized|snare|rope|snare	naturalized|snare|rope|snare	mountain|rope|rope|mountain
all_men_created_equal__originalist_reading	4	True	-0.035914182745708165	1.1644410791095863	1.2003552618552944	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
all_men_created_equal__textualist_paradox_reading	4	True	-0.019013390865374912	0.6164688065874281	0.635482197452803	False	False	False	unknown|unknown|scaffold|unknown	unknown|unknown|scaffold|unknown	mountain|rope|rope|mountain
all_men_created_equal__universalist_reading	4	True	-0.019013390865374912	0.6164688065874281	0.635482197452803	False	False	False	unknown|unknown|rope|unknown	unknown|unknown|rope|unknown	mountain|rope|rope|mountain
aneyoshi_land_use_prohibition__behavioral_competence_reading	4	True	-0.002112598985041657	0.0684965340652698	0.07060913305031145	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
aneyoshi_land_use_prohibition__commemorative_husk_reading	4	True	-0.035914182745708165	1.1644410791095863	1.2003552618552944	False	False	False	unknown|unknown|rope|unknown	unknown|unknown|rope|unknown	mountain|rope|rope|mountain
aneyoshi_stone_commitment__behavioral_competence_reading	4	True	-0.002112598985041657	0.0684965340652698	0.07060913305031145	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
aneyoshi_stone_commitment__commemorative_husk_reading	4	True	-0.035914182745708165	1.1644410791095863	1.2003552618552944	False	False	False	unknown|unknown|rope|unknown	unknown|unknown|rope|unknown	mountain|rope|rope|mountain
aneyoshi_stone_directive__behavioral_competence_reading	4	True	-0.005968800779906825	0.06900122207630337	0.0749700228562102	True	False	True	rope|rope|rope|rope	rope|rope|rope|rope	mountain|rope|rope|mountain
aneyoshi_stone_directive__commemorative_husk_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	unknown|unknown|rope|unknown	unknown|unknown|rope|unknown	mountain|rope|rope|mountain
animal_moral_status__abolitionist_reading	4	True	-0.07624467960810043	1.3014341472401258	1.3776788268482263	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
animal_moral_status__property_reading	4	True	-0.002112598985041657	0.0684965340652698	0.07060913305031145	True	True	False	mountain|rope|rope|mountain	mountain|rope|rope|mountain	mountain|rope|rope|mountain
animal_moral_status__welfare_reading	4	True	-0.014788192895291596	0.47947573845688846	0.49426393135218005	False	False	False	unknown|unknown|rope|unknown	unknown|unknown|rope|unknown	mountain|rope|rope|mountain
animal_status__abolitionist_reading	4	True	-0.07624467960810043	1.3014341472401258	1.3776788268482263	False	False	False	unknown|snare|rope|snare	unknown|snare|rope|snare	mountain|rope|rope|mountain
animal_status__property_reading	4	True	-0.002112598985041657	0.0684965340652698	0.07060913305031145	True	True	False	mountain|scaffold|scaffold|mountain	mountain|scaffold|scaffold|mountain	mountain|rope|rope|mountain
animal_status__welfare_reading	4	True	-0.019013390865374912	0.6164688065874281	0.635482197452803	False	False	False	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	mountain|rope|rope|mountain
animal_status_kernel__abolitionist_reading	4	True	-0.04013938071579148	1.3014341472401258	1.3415735279559173	False	False	False	snare|snare|scaffold|snare	snare|snare|scaffold|snare	mountain|rope|rope|mountain
animal_status_kernel__welfare_reading	4	True	-0.019013390865374912	0.6164688065874281	0.635482197452803	False	False	False	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	mountain|rope|rope|mountain
anthropological_record__creationist_reading	4	True	-0.02535118782049988	0.8219584087832374	0.8473095966037373	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
anthropological_record__indigenous_epistemology_reading	4	True	-0.008450395940166628	0.2739861362610792	0.2824365322012458	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
anthropological_record__naturalist_reading	4	True	-0.028731346196566535	0.9315528632876693	0.9602842094842359	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
article17_erasure_right__censorship_mechanism_reading	4	True	-0.03295654416664985	1.0685459314182089	1.1015024755848588	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
article17_erasure_right__competitive_moat_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
article17_erasure_right__privacy_fundamental_reading	4	True	-0.010562994925208284	0.34248267032634894	0.35304566525155723	True	True	False	unknown|rope|rope|rope	unknown|rope|rope|rope	mountain|rope|rope|mountain
article_17_complementarity__international_oversight_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	naturalized|snare|rope|snare	naturalized|snare|rope|snare	mountain|rope|rope|mountain
article_17_complementarity__national_primacy_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
article_27_veto_power__coordination_reading	4	True	-0.00633779695512497	0.20548960219580936	0.21182739915093432	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
article_27_veto_power__oligopoly_reading	4	True	-0.035914182745708165	1.1644410791095863	1.2003552618552944	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
article_27_veto_power__sovereignty_reading	4	True	-0.004012877874110549	0.0684965340652698	0.07250941193938035	True	True	False	mountain|rope|rope|mountain	mountain|rope|rope|mountain	mountain|rope|rope|mountain
article_2_7_chapter_vii_tension__r2p_reading	4	True	-0.029576385790583193	0.9589514769137769	0.9885278627043601	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
article_2_7_chapter_vii_tension__sovereignty_first_reading	4	True	-0.035914182745708165	1.1644410791095863	1.2003552618552944	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
article_51_self_defense__expansive_preventive_reading	4	True	-0.029576385790583193	0.9589514769137769	0.9885278627043601	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
article_51_self_defense__narrow_armed_attack_reading	4	True	-0.02535118782049988	0.8219584087832374	0.8473095966037373	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
article_51_self_defense__unable_unwilling_doctrine_reading	4	True	-0.02535118782049988	0.8219584087832374	0.8473095966037373	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
article_9_war_renunciation__collective_self_defense_reading	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	naturalized|snare|rope|snare	naturalized|snare|rope|snare	mountain|rope|rope|mountain
article_9_war_renunciation__inherent_right_reading	4	True	-0.01267559391024994	0.4109792043916187	0.42365479830186864	False	False	False	unknown|rope|rope|tangled_rope	unknown|rope|rope|tangled_rope	mountain|rope|rope|mountain
article_9_war_renunciation__strict_pacifist_reading	4	True	-0.035914182745708165	1.1644410791095863	1.2003552618552944	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
balfour_mandate_instruments__dual_obligation_indigenous_rights	4	True	-0.029576385790583193	0.9589514769137769	0.9885278627043601	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
balfour_mandate_instruments__jewish_national_home_primacy	4	True	-0.035914182745708165	1.1644410791095863	1.2003552618552944	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
balfour_mandate_instruments__mandatory_interpretive_discretion	4	True	-0.02746378680554154	0.8904549428485073	0.9179187296540489	False	False	False	snare|snare|rope|snare	snare|snare|rope|snare	mountain|rope|rope|mountain
basic_law_interpretive_authority__judicial_supremacy_reading	4	True	-0.02535118782049988	0.8219584087832374	0.8473095966037373	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
