id	n_obs_defined	has_full_map	chi_min	chi_max	chi_span	starved	subset_a	subset_b	mtype_vec	ftype_vec	immut_vec
ability_ceiling_reading	4	True	0.2711436315315846	0.4047195331240714	0.13357590159248678	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
access_barrier_reading	4	True	0.26672315105761923	0.4047195331240714	0.13799638206645215	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
actinide_replenishment_mechanism_contradictions	0	False	None	None	None	False	False	False	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	mountain|rope|rope|mountain
actinide_replenishment_mechanism_flat_control	4	True	0.01197142830433128	0.01785527352017962	0.00588384521584834	True	True	False	mountain|scaffold|scaffold|mountain	mountain|scaffold|scaffold|mountain	mountain|rope|rope|mountain
adjunctification_of_university_teaching_c0	4	True	0.30594714386021027	0.46423711152467007	0.1582899676644598	False	False	False	naturalized|tangled_rope|tangled_rope|tangled_rope	naturalized|tangled_rope|tangled_rope|tangled_rope	mountain|rope|rope|mountain
animal_status_kernel__property_reading	4	True	0.3511618969270509	0.5237546899252687	0.17259279299821784	False	False	False	scaffold|scaffold|scaffold|unknown	scaffold|scaffold|scaffold|unknown	mountain|rope|rope|mountain
apoe4_mitochondrial_vulnerability	4	True	0.27123364836788616	0.4047195331240714	0.13348588475618522	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
architectural_pattern_validity	4	True	0.03192380881155008	0.04761406272047898	0.0156902539089289	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
authoritative_specification_reading	4	True	0.2711436315315846	0.4047195331240714	0.13357590159248678	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
basic_law_interpretive_authority__parliamentary_sovereignty_reading	4	True	0.26672315105761923	0.4047195331240714	0.13799638206645215	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	4	True	0.07177331422894886	0.1071316411210777	0.03535832689212884	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
behavioral_adoption_friction	4	True	0.15152144115000316	0.22616679792227515	0.07464535677227199	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	4	True	0.2472191934552683	0.3647831330640968	0.11756393960882852	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
border_control_legitimacy__freedom_of_movement_primary	4	True	0.3177143417009876	0.48209238504484975	0.16437804334386213	False	False	False	naturalized|unknown|unknown|unknown	naturalized|unknown|unknown|unknown	mountain|rope|rope|mountain
catastrophe_memory_kernel__boundary_maintenance_reading	4	True	0.2392443807631629	0.35710547040359236	0.11786108964042946	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
conceptual_framework_reading	4	True	0.04788571321732512	0.07142109408071848	0.02353538086339336	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
crypto_permissionless_reading	4	True	0.167471066534214	0.24997382928251466	0.08250276274830065	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
demographic_resource_allocation	4	True	0.07177331422894886	0.1071316411210777	0.03535832689212884	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
demographic_skill_mismatch_c0	4	True	0.07177331422894886	0.1071316411210777	0.03535832689212884	True	False	False	scaffold|scaffold|scaffold|scaffold	rope|rope|rope|rope	mountain|rope|rope|mountain
digital_money_legitimacy_contradictions	0	False	None	None	None	False	False	False	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	mountain|rope|rope|mountain
digital_money_legitimacy_flat_control	4	True	0.26672315105761923	0.4047195331240714	0.13799638206645215	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
dispositional_reading	4	True	0.2711436315315846	0.4047195331240714	0.13357590159248678	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
distributed_verification	4	True	0.26672315105761923	0.4047195331240714	0.13799638206645215	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
divine_legitimacy_substrate__folk_syncretistic_reading	4	True	0.12370475914475657	0.18450449304185607	0.0607997338970995	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
doomsday_clock_metric__hybrid_legitimacy_reading	4	True	0.1594962538421086	0.23807031360239495	0.07857405976028634	True	True	False	unknown|rope|rope|rope	unknown|rope|rope|rope	mountain|rope|rope|mountain
dueling_disappearance_mechanism__overdetermined_composite_reading	4	True	0.22477063771980332	0.34520195472347265	0.12043131700366932	True	False	False	naturalized|naturalized|naturalized|naturalized	rope|rope|rope|rope	mountain|rope|rope|mountain
empty_shell_tolerance	4	True	0.11164737768947602	0.16664921952167647	0.05500184183220044	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
epistemic_collapse	4	True	0.32163674098124667	0.4880441428849095	0.16640740190366282	False	False	False	naturalized|tangled_rope|tangled_rope|tangled_rope	naturalized|tangled_rope|tangled_rope|tangled_rope	mountain|rope|rope|mountain
equal_protection_kernel__colorblind_reading	4	True	0.2711436315315846	0.4047195331240714	0.13357590159248678	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
fictional_construct_reading	4	True	0.1117333308404253	0.16664921952167647	0.05491588868125116	True	False	False	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	mountain|rope|rope|mountain
fourteenth_amendment_equal_protection__formal_equality_reading	4	True	0.2711436315315846	0.4047195331240714	0.13357590159248678	False	False	False	naturalized|naturalized|naturalized|tangled_rope	naturalized|naturalized|naturalized|tangled_rope	mountain|rope|rope|mountain
gendered_outcome_asymmetry	4	True	0.31101769499211174	0.46423711152467007	0.15321941653255833	False	False	False	naturalized|tangled_rope|tangled_rope|tangled_rope	naturalized|tangled_rope|tangled_rope|tangled_rope	mountain|rope|rope|mountain
