id	obs	gateval	type
ability_ceiling_reading	powerless	0.0000	naturalized
ability_ceiling_reading	powerless	0.3500	unknown
ability_ceiling_reading	powerless	0.4500	tangled_rope
ability_ceiling_reading	powerless	0.6600	snare
ability_ceiling_reading	powerless	0.9000	snare
ability_ceiling_reading	moderate	0.0000	rope
ability_ceiling_reading	moderate	0.3500	unknown
ability_ceiling_reading	moderate	0.4500	tangled_rope
ability_ceiling_reading	moderate	0.6600	snare
ability_ceiling_reading	moderate	0.9000	snare
ability_ceiling_reading	institutional	0.0000	rope
ability_ceiling_reading	institutional	0.3500	unknown
ability_ceiling_reading	institutional	0.4500	tangled_rope
ability_ceiling_reading	institutional	0.6600	snare
ability_ceiling_reading	institutional	0.9000	snare
ability_ceiling_reading	analytical	0.0000	rope
ability_ceiling_reading	analytical	0.3500	unknown
ability_ceiling_reading	analytical	0.4500	tangled_rope
ability_ceiling_reading	analytical	0.6600	snare
ability_ceiling_reading	analytical	0.9000	snare
access_barrier_reading	powerless	0.0000	naturalized
access_barrier_reading	powerless	0.3500	unknown
access_barrier_reading	powerless	0.4500	tangled_rope
access_barrier_reading	powerless	0.6600	snare
access_barrier_reading	powerless	0.9000	snare
access_barrier_reading	moderate	0.0000	rope
access_barrier_reading	moderate	0.3500	unknown
access_barrier_reading	moderate	0.4500	tangled_rope
access_barrier_reading	moderate	0.6600	snare
access_barrier_reading	moderate	0.9000	snare
access_barrier_reading	institutional	0.0000	rope
access_barrier_reading	institutional	0.3500	unknown
access_barrier_reading	institutional	0.4500	tangled_rope
access_barrier_reading	institutional	0.6600	snare
access_barrier_reading	institutional	0.9000	snare
access_barrier_reading	analytical	0.0000	rope
access_barrier_reading	analytical	0.3500	unknown
access_barrier_reading	analytical	0.4500	tangled_rope
access_barrier_reading	analytical	0.6600	snare
access_barrier_reading	analytical	0.9000	snare
adjunctification_of_university_teaching_c0	powerless	0.0000	naturalized
adjunctification_of_university_teaching_c0	powerless	0.3500	unknown
adjunctification_of_university_teaching_c0	powerless	0.4500	tangled_rope
adjunctification_of_university_teaching_c0	powerless	0.6600	snare
