id	obs	gateval	type
abrahamic_covenant__isaac_covenant_reading	powerless	0.0000	naturalized
abrahamic_covenant__isaac_covenant_reading	powerless	0.3500	unknown
abrahamic_covenant__isaac_covenant_reading	powerless	0.4500	tangled_rope
abrahamic_covenant__isaac_covenant_reading	powerless	0.6600	snare
abrahamic_covenant__isaac_covenant_reading	powerless	0.9000	snare
abrahamic_covenant__isaac_covenant_reading	moderate	0.0000	rope
abrahamic_covenant__isaac_covenant_reading	moderate	0.3500	unknown
abrahamic_covenant__isaac_covenant_reading	moderate	0.4500	tangled_rope
abrahamic_covenant__isaac_covenant_reading	moderate	0.6600	snare
abrahamic_covenant__isaac_covenant_reading	moderate	0.9000	snare
abrahamic_covenant__isaac_covenant_reading	institutional	0.0000	rope
abrahamic_covenant__isaac_covenant_reading	institutional	0.3500	unknown
abrahamic_covenant__isaac_covenant_reading	institutional	0.4500	tangled_rope
abrahamic_covenant__isaac_covenant_reading	institutional	0.6600	snare
abrahamic_covenant__isaac_covenant_reading	institutional	0.9000	snare
abrahamic_covenant__isaac_covenant_reading	analytical	0.0000	rope
abrahamic_covenant__isaac_covenant_reading	analytical	0.3500	unknown
abrahamic_covenant__isaac_covenant_reading	analytical	0.4500	tangled_rope
abrahamic_covenant__isaac_covenant_reading	analytical	0.6600	snare
abrahamic_covenant__isaac_covenant_reading	analytical	0.9000	snare
abrahamic_covenant__ishmael_covenant_reading	powerless	0.0000	naturalized
abrahamic_covenant__ishmael_covenant_reading	powerless	0.3500	unknown
abrahamic_covenant__ishmael_covenant_reading	powerless	0.4500	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	powerless	0.6600	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	powerless	0.9000	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	moderate	0.0000	rope
abrahamic_covenant__ishmael_covenant_reading	moderate	0.3500	unknown
abrahamic_covenant__ishmael_covenant_reading	moderate	0.4500	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	moderate	0.6600	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	moderate	0.9000	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	institutional	0.0000	rope
abrahamic_covenant__ishmael_covenant_reading	institutional	0.3500	unknown
abrahamic_covenant__ishmael_covenant_reading	institutional	0.4500	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	institutional	0.6600	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	institutional	0.9000	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	analytical	0.0000	rope
abrahamic_covenant__ishmael_covenant_reading	analytical	0.3500	unknown
abrahamic_covenant__ishmael_covenant_reading	analytical	0.4500	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	analytical	0.6600	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	analytical	0.9000	tangled_rope
abrahamic_covenant__land_promise_constraint	powerless	0.0000	naturalized
abrahamic_covenant__land_promise_constraint	powerless	0.3500	unknown
abrahamic_covenant__land_promise_constraint	powerless	0.4500	tangled_rope
abrahamic_covenant__land_promise_constraint	powerless	0.6600	snare
abrahamic_covenant__land_promise_constraint	powerless	0.9000	snare
abrahamic_covenant__land_promise_constraint	moderate	0.0000	rope
abrahamic_covenant__land_promise_constraint	moderate	0.3500	unknown
abrahamic_covenant__land_promise_constraint	moderate	0.4500	tangled_rope
abrahamic_covenant__land_promise_constraint	moderate	0.6600	snare
abrahamic_covenant__land_promise_constraint	moderate	0.9000	snare
abrahamic_covenant__land_promise_constraint	institutional	0.0000	rope
abrahamic_covenant__land_promise_constraint	institutional	0.3500	unknown
abrahamic_covenant__land_promise_constraint	institutional	0.4500	tangled_rope
abrahamic_covenant__land_promise_constraint	institutional	0.6600	snare
abrahamic_covenant__land_promise_constraint	institutional	0.9000	snare
abrahamic_covenant__land_promise_constraint	analytical	0.0000	rope
abrahamic_covenant__land_promise_constraint	analytical	0.3500	unknown
abrahamic_covenant__land_promise_constraint	analytical	0.4500	tangled_rope
abrahamic_covenant__land_promise_constraint	analytical	0.6600	snare
abrahamic_covenant__land_promise_constraint	analytical	0.9000	snare
academic_citation_metrics_as_career_incentive	powerless	0.0000	naturalized
academic_citation_metrics_as_career_incentive	powerless	0.3500	unknown
academic_citation_metrics_as_career_incentive	powerless	0.4500	tangled_rope
academic_citation_metrics_as_career_incentive	powerless	0.6600	snare
academic_citation_metrics_as_career_incentive	powerless	0.9000	snare
academic_citation_metrics_as_career_incentive	moderate	0.0000	rope
academic_citation_metrics_as_career_incentive	moderate	0.3500	unknown
academic_citation_metrics_as_career_incentive	moderate	0.4500	tangled_rope
academic_citation_metrics_as_career_incentive	moderate	0.6600	snare
academic_citation_metrics_as_career_incentive	moderate	0.9000	snare
academic_citation_metrics_as_career_incentive	institutional	0.0000	rope
academic_citation_metrics_as_career_incentive	institutional	0.3500	unknown
academic_citation_metrics_as_career_incentive	institutional	0.4500	tangled_rope
academic_citation_metrics_as_career_incentive	institutional	0.6600	snare
academic_citation_metrics_as_career_incentive	institutional	0.9000	snare
academic_citation_metrics_as_career_incentive	analytical	0.0000	rope
academic_citation_metrics_as_career_incentive	analytical	0.3500	unknown
academic_citation_metrics_as_career_incentive	analytical	0.4500	tangled_rope
academic_citation_metrics_as_career_incentive	analytical	0.6600	snare
academic_citation_metrics_as_career_incentive	analytical	0.9000	snare
acceptable_risk_energy__catastrophic_tail_reading	powerless	0.0000	naturalized
acceptable_risk_energy__catastrophic_tail_reading	powerless	0.3500	unknown
acceptable_risk_energy__catastrophic_tail_reading	powerless	0.4500	tangled_rope
acceptable_risk_energy__catastrophic_tail_reading	powerless	0.6600	snare
acceptable_risk_energy__catastrophic_tail_reading	powerless	0.9000	snare
acceptable_risk_energy__catastrophic_tail_reading	moderate	0.0000	rope
acceptable_risk_energy__catastrophic_tail_reading	moderate	0.3500	unknown
acceptable_risk_energy__catastrophic_tail_reading	moderate	0.4500	tangled_rope
acceptable_risk_energy__catastrophic_tail_reading	moderate	0.6600	snare
acceptable_risk_energy__catastrophic_tail_reading	moderate	0.9000	snare
acceptable_risk_energy__catastrophic_tail_reading	institutional	0.0000	rope
acceptable_risk_energy__catastrophic_tail_reading	institutional	0.3500	unknown
acceptable_risk_energy__catastrophic_tail_reading	institutional	0.4500	tangled_rope
acceptable_risk_energy__catastrophic_tail_reading	institutional	0.6600	snare
acceptable_risk_energy__catastrophic_tail_reading	institutional	0.9000	snare
acceptable_risk_energy__catastrophic_tail_reading	analytical	0.0000	rope
acceptable_risk_energy__catastrophic_tail_reading	analytical	0.3500	unknown
acceptable_risk_energy__catastrophic_tail_reading	analytical	0.4500	tangled_rope
acceptable_risk_energy__catastrophic_tail_reading	analytical	0.6600	snare
acceptable_risk_energy__catastrophic_tail_reading	analytical	0.9000	snare
acceptable_risk_energy__comparative_harm_reading	powerless	0.0000	naturalized
acceptable_risk_energy__comparative_harm_reading	powerless	0.3500	unknown
acceptable_risk_energy__comparative_harm_reading	powerless	0.4500	tangled_rope
acceptable_risk_energy__comparative_harm_reading	powerless	0.6600	snare
acceptable_risk_energy__comparative_harm_reading	powerless	0.9000	snare
acceptable_risk_energy__comparative_harm_reading	moderate	0.0000	rope
acceptable_risk_energy__comparative_harm_reading	moderate	0.3500	unknown
acceptable_risk_energy__comparative_harm_reading	moderate	0.4500	tangled_rope
acceptable_risk_energy__comparative_harm_reading	moderate	0.6600	snare
acceptable_risk_energy__comparative_harm_reading	moderate	0.9000	snare
acceptable_risk_energy__comparative_harm_reading	institutional	0.0000	rope
acceptable_risk_energy__comparative_harm_reading	institutional	0.3500	unknown
acceptable_risk_energy__comparative_harm_reading	institutional	0.4500	tangled_rope
acceptable_risk_energy__comparative_harm_reading	institutional	0.6600	snare
acceptable_risk_energy__comparative_harm_reading	institutional	0.9000	snare
acceptable_risk_energy__comparative_harm_reading	analytical	0.0000	rope
acceptable_risk_energy__comparative_harm_reading	analytical	0.3500	unknown
acceptable_risk_energy__comparative_harm_reading	analytical	0.4500	tangled_rope
acceptable_risk_energy__comparative_harm_reading	analytical	0.6600	snare
acceptable_risk_energy__comparative_harm_reading	analytical	0.9000	snare
acceptable_risk_energy__expected_value_reading	powerless	0.0000	unknown
acceptable_risk_energy__expected_value_reading	powerless	0.3500	unknown
acceptable_risk_energy__expected_value_reading	powerless	0.4500	tangled_rope
acceptable_risk_energy__expected_value_reading	powerless	0.6600	tangled_rope
acceptable_risk_energy__expected_value_reading	powerless	0.9000	tangled_rope
acceptable_risk_energy__expected_value_reading	moderate	0.0000	rope
acceptable_risk_energy__expected_value_reading	moderate	0.3500	rope
acceptable_risk_energy__expected_value_reading	moderate	0.4500	tangled_rope
acceptable_risk_energy__expected_value_reading	moderate	0.6600	tangled_rope
acceptable_risk_energy__expected_value_reading	moderate	0.9000	tangled_rope
acceptable_risk_energy__expected_value_reading	institutional	0.0000	rope
acceptable_risk_energy__expected_value_reading	institutional	0.3500	rope
acceptable_risk_energy__expected_value_reading	institutional	0.4500	tangled_rope
acceptable_risk_energy__expected_value_reading	institutional	0.6600	tangled_rope
acceptable_risk_energy__expected_value_reading	institutional	0.9000	tangled_rope
acceptable_risk_energy__expected_value_reading	analytical	0.0000	rope
acceptable_risk_energy__expected_value_reading	analytical	0.3500	rope
acceptable_risk_energy__expected_value_reading	analytical	0.4500	tangled_rope
acceptable_risk_energy__expected_value_reading	analytical	0.6600	tangled_rope
acceptable_risk_energy__expected_value_reading	analytical	0.9000	tangled_rope
acceptable_risk_for_energy__catastrophic_tail_reading	powerless	0.0000	naturalized
acceptable_risk_for_energy__catastrophic_tail_reading	powerless	0.3500	unknown
acceptable_risk_for_energy__catastrophic_tail_reading	powerless	0.4500	tangled_rope
acceptable_risk_for_energy__catastrophic_tail_reading	powerless	0.6600	snare
acceptable_risk_for_energy__catastrophic_tail_reading	powerless	0.9000	snare
acceptable_risk_for_energy__catastrophic_tail_reading	moderate	0.0000	rope
acceptable_risk_for_energy__catastrophic_tail_reading	moderate	0.3500	unknown
acceptable_risk_for_energy__catastrophic_tail_reading	moderate	0.4500	tangled_rope
acceptable_risk_for_energy__catastrophic_tail_reading	moderate	0.6600	snare
acceptable_risk_for_energy__catastrophic_tail_reading	moderate	0.9000	snare
acceptable_risk_for_energy__catastrophic_tail_reading	institutional	0.0000	rope
acceptable_risk_for_energy__catastrophic_tail_reading	institutional	0.3500	unknown
acceptable_risk_for_energy__catastrophic_tail_reading	institutional	0.4500	tangled_rope
acceptable_risk_for_energy__catastrophic_tail_reading	institutional	0.6600	snare
acceptable_risk_for_energy__catastrophic_tail_reading	institutional	0.9000	snare
acceptable_risk_for_energy__catastrophic_tail_reading	analytical	0.0000	rope
acceptable_risk_for_energy__catastrophic_tail_reading	analytical	0.3500	unknown
acceptable_risk_for_energy__catastrophic_tail_reading	analytical	0.4500	tangled_rope
acceptable_risk_for_energy__catastrophic_tail_reading	analytical	0.6600	snare
acceptable_risk_for_energy__catastrophic_tail_reading	analytical	0.9000	snare
acceptable_risk_for_energy__expected_value_reading	powerless	0.0000	naturalized
acceptable_risk_for_energy__expected_value_reading	powerless	0.3500	unknown
acceptable_risk_for_energy__expected_value_reading	powerless	0.4500	tangled_rope
acceptable_risk_for_energy__expected_value_reading	powerless	0.6600	snare
acceptable_risk_for_energy__expected_value_reading	powerless	0.9000	snare
acceptable_risk_for_energy__expected_value_reading	moderate	0.0000	rope
acceptable_risk_for_energy__expected_value_reading	moderate	0.3500	unknown
acceptable_risk_for_energy__expected_value_reading	moderate	0.4500	tangled_rope
acceptable_risk_for_energy__expected_value_reading	moderate	0.6600	snare
acceptable_risk_for_energy__expected_value_reading	moderate	0.9000	snare
acceptable_risk_for_energy__expected_value_reading	institutional	0.0000	rope
acceptable_risk_for_energy__expected_value_reading	institutional	0.3500	unknown
acceptable_risk_for_energy__expected_value_reading	institutional	0.4500	tangled_rope
acceptable_risk_for_energy__expected_value_reading	institutional	0.6600	snare
