id	obs	chi	immut	mtype	ftype
ability_ceiling_reading	powerless	0.7390818902824207	mountain	snare	snare
ability_ceiling_reading	moderate	0.7524146497248644	rope	snare	snare
ability_ceiling_reading	institutional	-0.028731346196566535	rope	rope	rope
ability_ceiling_reading	analytical	0.9315528632876693	mountain	snare	snare
access_barrier_reading	powerless	0.35359999999999997	mountain	tangled_rope	tangled_rope
access_barrier_reading	moderate	0.7524146497248644	rope	snare	snare
access_barrier_reading	institutional	-0.028731346196566535	rope	rope	rope
access_barrier_reading	analytical	0.9315528632876693	mountain	snare	snare
adjunctification_of_university_teaching_c0	powerless	0.40559999999999996	mountain	tangled_rope	tangled_rope
adjunctification_of_university_teaching_c0	moderate	0.8630638629196973	rope	snare	snare
adjunctification_of_university_teaching_c0	institutional	-0.03295654416664985	rope	rope	rope
adjunctification_of_university_teaching_c0	analytical	1.0685459314182089	mountain	snare	snare
animal_status_kernel__property_reading	powerless	0.9806334874709868	mountain	snare	snare
animal_status_kernel__property_reading	moderate	0.8875804559270061	rope	snare	snare
animal_status_kernel__property_reading	institutional	-0.03718174213673316	rope	scaffold	scaffold
animal_status_kernel__property_reading	analytical	1.2055389995487482	mountain	snare	snare
apoe4_mitochondrial_vulnerability	powerless	0.7471320443104573	mountain	snare	snare
apoe4_mitochondrial_vulnerability	moderate	0.7524146497248644	rope	snare	snare
apoe4_mitochondrial_vulnerability	institutional	-0.028731346196566535	rope	rope	rope
apoe4_mitochondrial_vulnerability	analytical	0.9315528632876693	mountain	snare	snare
authoritative_specification_reading	powerless	0.7390818902824207	mountain	snare	snare
authoritative_specification_reading	moderate	0.7524146497248644	rope	snare	snare
authoritative_specification_reading	institutional	-0.028731346196566535	rope	rope	rope
authoritative_specification_reading	analytical	0.9315528632876693	mountain	snare	snare
basic_law_interpretive_authority__parliamentary_sovereignty_reading	powerless	0.35359999999999997	mountain	tangled_rope	tangled_rope
basic_law_interpretive_authority__parliamentary_sovereignty_reading	moderate	0.7524146497248644	rope	snare	snare
basic_law_interpretive_authority__parliamentary_sovereignty_reading	institutional	0.7524146497248644	rope	snare	snare
basic_law_interpretive_authority__parliamentary_sovereignty_reading	analytical	0.9315528632876693	mountain	snare	snare
behavioral_adoption_friction	powerless	0.4130163504519409	mountain	scaffold	scaffold
behavioral_adoption_friction	moderate	0.42046701014036536	rope	scaffold	scaffold
behavioral_adoption_friction	institutional	-0.01605575228631659	rope	scaffold	scaffold
behavioral_adoption_friction	analytical	0.5205736588960505	mountain	unknown	unknown
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	powerless	0.6738687823163247	mountain	snare	snare
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	moderate	0.6860251218079645	rope	snare	snare
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	institutional	-0.026196227414516545	rope	rope	rope
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	analytical	0.4835999999999999	mountain	tangled_rope	tangled_rope
border_control_legitimacy__freedom_of_movement_primary	powerless	0.4212	mountain	unknown	unknown
border_control_legitimacy__freedom_of_movement_primary	moderate	0.8962586268781473	rope	snare	snare
border_control_legitimacy__freedom_of_movement_primary	institutional	-0.06500862156059091	rope	rope	rope
border_control_legitimacy__freedom_of_movement_primary	analytical	1.1096438518573708	mountain	snare	snare
injected_starved_01	powerless	0.021974471891484038	mountain	unknown	unknown
injected_starved_01	moderate	0.0221298426389666	rope	rope	rope
injected_starved_01	institutional	-0.0008450395940166628	rope	rope	rope
injected_starved_01	analytical	0.027398613626107918	mountain	rope	rope
