id	obs	chi	immut	mtype	ftype
abrahamic_covenant__isaac_covenant_reading	powerless	0.3016	mountain	naturalized	naturalized
abrahamic_covenant__isaac_covenant_reading	moderate	0.6417654365300313	rope	tangled_rope	tangled_rope
abrahamic_covenant__isaac_covenant_reading	institutional	-0.024506148226483216	rope	rope	rope
abrahamic_covenant__isaac_covenant_reading	analytical	0.7945597951571295	mountain	snare	snare
abrahamic_covenant__ishmael_covenant_reading	powerless	0.5651802690394981	mountain	tangled_rope	rope
abrahamic_covenant__ishmael_covenant_reading	moderate	0.5753759086131316	rope	tangled_rope	rope
abrahamic_covenant__ishmael_covenant_reading	institutional	0.009029624626067892	rope	naturalized	rope
abrahamic_covenant__ishmael_covenant_reading	analytical	0.7123639542788058	mountain	tangled_rope	rope
abrahamic_covenant__land_promise_constraint	powerless	0.35359999999999997	mountain	tangled_rope	tangled_rope
abrahamic_covenant__land_promise_constraint	moderate	0.7524146497248644	rope	snare	snare
abrahamic_covenant__land_promise_constraint	institutional	-0.009884074697871406	rope	rope	rope
abrahamic_covenant__land_promise_constraint	analytical	0.9315528632876693	mountain	snare	snare
academic_citation_metrics_as_career_incentive	powerless	0.3016	mountain	naturalized	naturalized
academic_citation_metrics_as_career_incentive	moderate	0.6417654365300313	rope	tangled_rope	tangled_rope
academic_citation_metrics_as_career_incentive	institutional	0.09186683736905867	rope	naturalized	naturalized
academic_citation_metrics_as_career_incentive	analytical	0.7945597951571295	mountain	snare	snare
acceptable_risk_energy__catastrophic_tail_reading	powerless	0.35359999999999997	mountain	tangled_rope	tangled_rope
acceptable_risk_energy__catastrophic_tail_reading	moderate	0.7524146497248644	rope	snare	snare
acceptable_risk_energy__catastrophic_tail_reading	institutional	0.2424662882696689	rope	naturalized	naturalized
acceptable_risk_energy__catastrophic_tail_reading	analytical	0.9315528632876693	mountain	snare	snare
acceptable_risk_energy__comparative_harm_reading	powerless	0.4377524150630494	mountain	tangled_rope	tangled_rope
acceptable_risk_energy__comparative_harm_reading	moderate	0.6417654365300313	rope	tangled_rope	tangled_rope
acceptable_risk_energy__comparative_harm_reading	institutional	-0.024506148226483216	rope	rope	rope
acceptable_risk_energy__comparative_harm_reading	analytical	0.7945597951571295	mountain	snare	snare
acceptable_risk_energy__expected_value_reading	powerless	0.4130163504519409	mountain	tangled_rope	tangled_rope
acceptable_risk_energy__expected_value_reading	moderate	0.42046701014036536	rope	tangled_rope	tangled_rope
acceptable_risk_energy__expected_value_reading	institutional	-0.005523453507634021	rope	rope	rope
acceptable_risk_energy__expected_value_reading	analytical	0.5205736588960505	mountain	tangled_rope	tangled_rope
acceptable_risk_for_energy__catastrophic_tail_reading	powerless	0.008057203512491349	mountain	naturalized	naturalized
