id	obs	chi	immut	mtype	ftype
ability_ceiling_reading	powerless	0.7390818902824207	mountain	snare	snare
ability_ceiling_reading	moderate	0.7524146497248644	rope	snare	snare
ability_ceiling_reading	institutional	-0.028731346196566535	rope	rope	rope
ability_ceiling_reading	analytical	0.9315528632876693	mountain	snare	snare
access_barrier_reading	powerless	0.35359999999999997	mountain	tangled_rope	tangled_rope
access_barrier_reading	moderate	0.7524146497248644	rope	snare	snare
access_barrier_reading	institutional	-0.028731346196566535	rope	rope	rope
access_barrier_reading	analytical	0.9315528632876693	mountain	snare	snare
actinide_replenishment_mechanism_contradictions	powerless	unknown	mountain	unknown	unknown
actinide_replenishment_mechanism_contradictions	moderate	unknown	rope	unknown	unknown
actinide_replenishment_mechanism_contradictions	institutional	unknown	rope	unknown	unknown
actinide_replenishment_mechanism_contradictions	analytical	unknown	mountain	unknown	unknown
actinide_replenishment_mechanism_flat_control	powerless	0.03343068707287455	mountain	mountain	mountain
actinide_replenishment_mechanism_flat_control	moderate	0.030258424633875205	rope	scaffold	scaffold
actinide_replenishment_mechanism_flat_control	institutional	-0.001267559391024994	rope	scaffold	scaffold
actinide_replenishment_mechanism_flat_control	analytical	0.04109792043916187	mountain	mountain	mountain
adjunctification_of_university_teaching_c0	powerless	0.40559999999999996	mountain	tangled_rope	tangled_rope
adjunctification_of_university_teaching_c0	moderate	0.8630638629196973	rope	snare	snare
adjunctification_of_university_teaching_c0	institutional	-0.03295654416664985	rope	rope	rope
adjunctification_of_university_teaching_c0	analytical	1.0685459314182089	mountain	snare	snare
animal_status_kernel__property_reading	powerless	0.9806334874709868	mountain	snare	snare
animal_status_kernel__property_reading	moderate	0.8875804559270061	rope	snare	snare
animal_status_kernel__property_reading	institutional	-0.03718174213673316	rope	scaffold	scaffold
animal_status_kernel__property_reading	analytical	1.2055389995487482	mountain	snare	snare
apoe4_mitochondrial_vulnerability	powerless	0.7471320443104573	mountain	snare	snare
apoe4_mitochondrial_vulnerability	moderate	0.7524146497248644	rope	snare	snare
apoe4_mitochondrial_vulnerability	institutional	-0.028731346196566535	rope	rope	rope
apoe4_mitochondrial_vulnerability	analytical	0.9315528632876693	mountain	snare	snare
architectural_pattern_validity	powerless	0.08914849886099879	mountain	scaffold	rope
architectural_pattern_validity	moderate	0.08068913235700055	rope	scaffold	rope
architectural_pattern_validity	institutional	-0.003380158376066651	rope	scaffold	rope
architectural_pattern_validity	analytical	0.10959445450443167	mountain	scaffold	rope
authoritative_specification_reading	powerless	0.7390818902824207	mountain	snare	snare
authoritative_specification_reading	moderate	0.7524146497248644	rope	snare	snare
authoritative_specification_reading	institutional	-0.028731346196566535	rope	rope	rope
authoritative_specification_reading	analytical	0.9315528632876693	mountain	snare	snare
basic_law_interpretive_authority__parliamentary_sovereignty_reading	powerless	0.35359999999999997	mountain	tangled_rope	tangled_rope
basic_law_interpretive_authority__parliamentary_sovereignty_reading	moderate	0.7524146497248644	rope	snare	snare
basic_law_interpretive_authority__parliamentary_sovereignty_reading	institutional	0.7524146497248644	rope	snare	snare
