id	obs	chi	immut	mtype	ftype
ability_ceiling_reading	powerless	0.33892953941448073	mountain	naturalized	rope
ability_ceiling_reading	moderate	0.33699475506580545	rope	naturalized	rope
ability_ceiling_reading	institutional	0.32773237573844677	rope	naturalized	rope
ability_ceiling_reading	analytical	0.33726627760339284	mountain	naturalized	rope
access_barrier_reading	powerless	0.333403938822024	mountain	naturalized	rope
access_barrier_reading	moderate	0.33699475506580545	rope	naturalized	rope
access_barrier_reading	institutional	0.32773237573844677	rope	naturalized	rope
access_barrier_reading	analytical	0.33726627760339284	mountain	naturalized	rope
actinide_replenishment_mechanism_contradictions	powerless	unknown	mountain	unknown	unknown
actinide_replenishment_mechanism_contradictions	moderate	unknown	rope	unknown	unknown
actinide_replenishment_mechanism_contradictions	institutional	unknown	rope	unknown	unknown
actinide_replenishment_mechanism_contradictions	analytical	unknown	mountain	unknown	unknown
actinide_replenishment_mechanism_flat_control	powerless	0.014964285380414099	mountain	mountain	mountain
actinide_replenishment_mechanism_flat_control	moderate	0.014833873083074633	rope	scaffold	scaffold
actinide_replenishment_mechanism_flat_control	institutional	0.014458781282578532	rope	scaffold	scaffold
actinide_replenishment_mechanism_flat_control	analytical	0.014879394600149682	mountain	mountain	mountain
adjunctification_of_university_teaching_c0	powerless	0.3824339298252628	mountain	tangled_rope	tangled_rope
adjunctification_of_university_teaching_c0	moderate	0.3865528072813651	rope	tangled_rope	tangled_rope
adjunctification_of_university_teaching_c0	institutional	0.37592831334704185	rope	tangled_rope	tangled_rope
adjunctification_of_university_teaching_c0	analytical	0.38686425960389176	mountain	tangled_rope	tangled_rope
animal_status_kernel__property_reading	powerless	0.4389523711588136	mountain	scaffold	scaffold
animal_status_kernel__property_reading	moderate	0.4351269437701893	rope	scaffold	scaffold
animal_status_kernel__property_reading	institutional	0.42412425095563694	rope	scaffold	scaffold
animal_status_kernel__property_reading	analytical	0.4364622416043907	mountain	scaffold	scaffold
apoe4_mitochondrial_vulnerability	powerless	0.3390420604598577	mountain	naturalized	rope
apoe4_mitochondrial_vulnerability	moderate	0.33699475506580545	rope	naturalized	rope
apoe4_mitochondrial_vulnerability	institutional	0.32773237573844677	rope	naturalized	rope
apoe4_mitochondrial_vulnerability	analytical	0.33726627760339284	mountain	naturalized	rope
architectural_pattern_validity	powerless	0.0399047610144376	mountain	scaffold	rope
architectural_pattern_validity	moderate	0.039556994888199026	rope	scaffold	rope
architectural_pattern_validity	institutional	0.03855675008687608	rope	scaffold	rope
architectural_pattern_validity	analytical	0.03967838560039915	mountain	scaffold	rope
authoritative_specification_reading	powerless	0.33892953941448073	mountain	naturalized	rope
authoritative_specification_reading	moderate	0.33699475506580545	rope	naturalized	rope
authoritative_specification_reading	institutional	0.32773237573844677	rope	naturalized	rope
authoritative_specification_reading	analytical	0.33726627760339284	mountain	naturalized	rope
basic_law_interpretive_authority__parliamentary_sovereignty_reading	powerless	0.333403938822024	mountain	naturalized	naturalized
basic_law_interpretive_authority__parliamentary_sovereignty_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
basic_law_interpretive_authority__parliamentary_sovereignty_reading	institutional	0.33699475506580545	rope	naturalized	naturalized
basic_law_interpretive_authority__parliamentary_sovereignty_reading	analytical	0.33726627760339284	mountain	naturalized	naturalized
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	powerless	0.08971664278618607	mountain	scaffold	scaffold
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	moderate	0.08920449398800731	rope	scaffold	scaffold
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	institutional	0.08681424023536397	rope	scaffold	scaffold
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	analytical	0.08927636760089809	mountain	scaffold	scaffold
behavioral_adoption_friction	powerless	0.18940180143750393	mountain	scaffold	scaffold
behavioral_adoption_friction	moderate	0.18832059841912657	rope	scaffold	scaffold
behavioral_adoption_friction	institutional	0.1831445629126614	rope	scaffold	scaffold
behavioral_adoption_friction	analytical	0.18847233160189597	mountain	scaffold	scaffold
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	powerless	0.30902399181908535	mountain	naturalized	naturalized
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	moderate	0.30725992373646965	rope	naturalized	naturalized
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	institutional	0.2988148131732897	rope	naturalized	naturalized
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	analytical	0.3039859442200807	mountain	naturalized	naturalized
border_control_legitimacy__freedom_of_movement_primary	powerless	0.3971429271262345	mountain	unknown	unknown
border_control_legitimacy__freedom_of_movement_primary	moderate	0.40142022294603297	rope	unknown	unknown
border_control_legitimacy__freedom_of_movement_primary	institutional	0.3900063807116897	rope	unknown	unknown
border_control_legitimacy__freedom_of_movement_primary	analytical	0.40174365420404146	mountain	unknown	unknown
catastrophe_memory_kernel__boundary_maintenance_reading	powerless	0.2990554759539536	mountain	naturalized	naturalized
catastrophe_memory_kernel__boundary_maintenance_reading	moderate	0.2973483132933577	rope	naturalized	naturalized
catastrophe_memory_kernel__boundary_maintenance_reading	institutional	0.2891756256515706	rope	naturalized	naturalized
catastrophe_memory_kernel__boundary_maintenance_reading	analytical	0.2975878920029936	mountain	naturalized	naturalized
conceptual_framework_reading	powerless	0.059857141521656394	mountain	scaffold	scaffold
conceptual_framework_reading	moderate	0.05933549233229853	rope	scaffold	scaffold
conceptual_framework_reading	institutional	0.05783512513031413	rope	scaffold	scaffold
conceptual_framework_reading	analytical	0.05951757840059873	mountain	scaffold	scaffold
crypto_permissionless_reading	powerless	0.2093388331677675	mountain	scaffold	scaffold
crypto_permissionless_reading	moderate	0.20814381930535042	rope	scaffold	scaffold
crypto_permissionless_reading	institutional	0.20242293795609945	rope	scaffold	scaffold
crypto_permissionless_reading	analytical	0.20831152440209555	mountain	scaffold	scaffold
demographic_resource_allocation	powerless	0.08971664278618607	mountain	scaffold	rope
demographic_resource_allocation	moderate	0.08920449398800731	rope	scaffold	rope
demographic_resource_allocation	institutional	0.08693752656431103	rope	scaffold	rope
demographic_resource_allocation	analytical	0.08927636760089809	mountain	scaffold	rope
demographic_skill_mismatch_c0	powerless	0.08971664278618607	mountain	scaffold	rope
demographic_skill_mismatch_c0	moderate	0.08920449398800731	rope	scaffold	rope
demographic_skill_mismatch_c0	institutional	0.08675268769547119	rope	scaffold	rope
demographic_skill_mismatch_c0	analytical	0.08927636760089809	mountain	scaffold	rope
digital_money_legitimacy_contradictions	powerless	unknown	mountain	unknown	unknown
digital_money_legitimacy_contradictions	moderate	unknown	rope	unknown	unknown
digital_money_legitimacy_contradictions	institutional	unknown	rope	unknown	unknown
digital_money_legitimacy_contradictions	analytical	unknown	mountain	unknown	unknown
digital_money_legitimacy_flat_control	powerless	0.333403938822024	mountain	naturalized	rope
digital_money_legitimacy_flat_control	moderate	0.33699475506580545	rope	naturalized	rope
digital_money_legitimacy_flat_control	institutional	0.32773237573844677	rope	naturalized	rope
digital_money_legitimacy_flat_control	analytical	0.33726627760339284	mountain	naturalized	rope
dispositional_reading	powerless	0.33892953941448073	mountain	naturalized	rope
dispositional_reading	moderate	0.33699475506580545	rope	naturalized	rope
dispositional_reading	institutional	0.32773237573844677	rope	naturalized	rope
dispositional_reading	analytical	0.33726627760339284	mountain	naturalized	rope
distributed_verification	powerless	0.333403938822024	mountain	naturalized	rope
distributed_verification	moderate	0.33699475506580545	rope	naturalized	rope
distributed_verification	institutional	0.32773237573844677	rope	naturalized	rope
distributed_verification	analytical	0.33726627760339284	mountain	naturalized	rope
divine_legitimacy_substrate__folk_syncretistic_reading	powerless	0.1546309489309457	mountain	scaffold	scaffold
divine_legitimacy_substrate__folk_syncretistic_reading	moderate	0.15328335519177122	rope	scaffold	scaffold
divine_legitimacy_substrate__folk_syncretistic_reading	institutional	0.14940740658664484	rope	scaffold	scaffold
divine_legitimacy_substrate__folk_syncretistic_reading	analytical	0.15375374420154672	mountain	scaffold	scaffold
doomsday_clock_metric__hybrid_legitimacy_reading	powerless	0.19937031730263574	mountain	unknown	unknown
doomsday_clock_metric__hybrid_legitimacy_reading	moderate	0.1982322088622385	rope	rope	rope
doomsday_clock_metric__hybrid_legitimacy_reading	institutional	0.19278375043438045	rope	rope	rope
doomsday_clock_metric__hybrid_legitimacy_reading	analytical	0.1983919280019958	mountain	rope	rope
dueling_disappearance_mechanism__overdetermined_composite_reading	powerless	0.28096329714975415	mountain	naturalized	rope
dueling_disappearance_mechanism__overdetermined_composite_reading	moderate	0.2874367028502458	rope	naturalized	rope
dueling_disappearance_mechanism__overdetermined_composite_reading	institutional	0.2795364381298516	rope	naturalized	rope
dueling_disappearance_mechanism__overdetermined_composite_reading	analytical	0.28766829560289386	mountain	naturalized	rope
empty_shell_tolerance	powerless	0.13955922211184502	mountain	scaffold	scaffold
empty_shell_tolerance	moderate	0.13876254620356696	rope	scaffold	scaffold
empty_shell_tolerance	institutional	0.13494862530406632	rope	scaffold	scaffold
empty_shell_tolerance	analytical	0.13887434960139705	mountain	scaffold	scaffold
epistemic_collapse	powerless	0.4020459262265583	mountain	tangled_rope	rope
epistemic_collapse	moderate	0.4063760281675889	rope	tangled_rope	rope
epistemic_collapse	institutional	0.39548709440554697	rope	tangled_rope	rope
epistemic_collapse	analytical	0.4067034524040913	mountain	tangled_rope	rope
equal_protection_kernel__colorblind_reading	powerless	0.33892953941448073	mountain	naturalized	naturalized
equal_protection_kernel__colorblind_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
equal_protection_kernel__colorblind_reading	institutional	0.32773237573844677	rope	naturalized	naturalized
equal_protection_kernel__colorblind_reading	analytical	0.33726627760339284	mountain	naturalized	naturalized
fictional_construct_reading	powerless	0.13966666355053162	mountain	scaffold	scaffold
fictional_construct_reading	moderate	0.1384494821086966	rope	scaffold	scaffold
fictional_construct_reading	institutional	0.13494862530406632	rope	scaffold	scaffold
fictional_construct_reading	analytical	0.13887434960139705	mountain	scaffold	scaffold
fourteenth_amendment_equal_protection__formal_equality_reading	powerless	0.33892953941448073	mountain	naturalized	naturalized
fourteenth_amendment_equal_protection__formal_equality_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
fourteenth_amendment_equal_protection__formal_equality_reading	institutional	0.32773237573844677	rope	naturalized	naturalized
fourteenth_amendment_equal_protection__formal_equality_reading	analytical	0.33726627760339284	mountain	naturalized	naturalized
gendered_outcome_asymmetry	powerless	0.38877211874013967	mountain	tangled_rope	tangled_rope
gendered_outcome_asymmetry	moderate	0.3865528072813651	rope	tangled_rope	tangled_rope
gendered_outcome_asymmetry	institutional	0.37592831334704185	rope	tangled_rope	tangled_rope
gendered_outcome_asymmetry	analytical	0.38686425960389176	mountain	tangled_rope	tangled_rope
geopolitical_settlement_competition	powerless	0.333403938822024	mountain	naturalized	rope
geopolitical_settlement_competition	moderate	0.33699475506580545	rope	naturalized	rope
geopolitical_settlement_competition	institutional	0.329005016740436	rope	naturalized	rope
geopolitical_settlement_competition	analytical	0.33726627760339284	mountain	naturalized	rope
gita_kurukshetra_discourse__gandhian_allegorical_reading	powerless	0.15328335519177122	mountain	unknown	unknown
gita_kurukshetra_discourse__gandhian_allegorical_reading	moderate	0.15362996186823483	rope	rope	rope
gita_kurukshetra_discourse__gandhian_allegorical_reading	institutional	0.14940740658664484	rope	rope	rope
gita_kurukshetra_discourse__gandhian_allegorical_reading	analytical	0.15375374420154672	mountain	rope	rope
historical_treaty_substrate__stewardship_reading	powerless	0.12460644831414733	mountain	unknown	unknown
historical_treaty_substrate__stewardship_reading	moderate	0.12389513053889906	rope	rope	rope
historical_treaty_substrate__stewardship_reading	institutional	0.12048984402148777	rope	rope	rope
historical_treaty_substrate__stewardship_reading	analytical	0.12399495500124735	mountain	rope	rope
indexical_realism	powerless	0.333403938822024	mountain	naturalized	rope
indexical_realism	moderate	0.33699475506580545	rope	naturalized	rope
indexical_realism	institutional	0.32773237573844677	rope	naturalized	rope
indexical_realism	analytical	0.33726627760339284	mountain	naturalized	rope
institutional_barrier_structure	powerless	0.333403938822024	mountain	naturalized	rope
institutional_barrier_structure	moderate	0.33699475506580545	rope	naturalized	rope
institutional_barrier_structure	institutional	0.32773237573844677	rope	naturalized	rope
institutional_barrier_structure	analytical	0.33726627760339284	mountain	naturalized	rope
institutional_trust_erosion_c0	powerless	0.33892953941448073	mountain	naturalized	naturalized
institutional_trust_erosion_c0	moderate	0.33699475506580545	rope	naturalized	naturalized
institutional_trust_erosion_c0	institutional	0.33441094990319786	rope	naturalized	naturalized
institutional_trust_erosion_c0	analytical	0.33726627760339284	mountain	naturalized	naturalized
institutional_validation_reading	powerless	0.333403938822024	mountain	naturalized	rope
institutional_validation_reading	moderate	0.33699475506580545	rope	naturalized	rope
institutional_validation_reading	institutional	0.32773237573844677	rope	naturalized	rope
institutional_validation_reading	analytical	0.33726627760339284	mountain	naturalized	rope
institutional_verification_collapse	powerless	0.333403938822024	mountain	naturalized	naturalized
institutional_verification_collapse	moderate	0.33699475506580545	rope	naturalized	naturalized
institutional_verification_collapse	institutional	0.32773237573844677	rope	naturalized	naturalized
institutional_verification_collapse	analytical	0.33726627760339284	mountain	naturalized	naturalized
interactionist_reading	powerless	0.20949999532579738	mountain	scaffold	scaffold
interactionist_reading	moderate	0.20767422316304487	rope	scaffold	scaffold
interactionist_reading	institutional	0.20242293795609945	rope	scaffold	scaffold
interactionist_reading	analytical	0.20831152440209555	mountain	scaffold	scaffold
