id	obs	chi	immut	mtype	ftype
abrahamic_covenant__isaac_covenant_reading	powerless	0.4212	mountain	tangled_rope	tangled_rope
abrahamic_covenant__isaac_covenant_reading	moderate	0.8962586268781473	rope	snare	snare
abrahamic_covenant__isaac_covenant_reading	institutional	-0.03422410355767484	rope	rope	rope
abrahamic_covenant__isaac_covenant_reading	analytical	1.1096438518573708	mountain	snare	snare
abrahamic_covenant__ishmael_covenant_reading	powerless	0.6303933770055941	mountain	tangled_rope	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	moderate	0.6417654365300313	rope	tangled_rope	tangled_rope
abrahamic_covenant__ishmael_covenant_reading	institutional	-0.024506148226483216	rope	rope	rope
abrahamic_covenant__ishmael_covenant_reading	analytical	0.7945597951571295	mountain	snare	snare
abrahamic_covenant__land_promise_constraint	powerless	-0.009535225002652414	mountain	naturalized	naturalized
abrahamic_covenant__land_promise_constraint	moderate	1.1006466233546832	rope	snare	snare
abrahamic_covenant__land_promise_constraint	institutional	-0.06019168443855689	rope	rope	rope
abrahamic_covenant__land_promise_constraint	analytical	1.1233431586704243	mountain	snare	snare
acceptable_risk_energy__catastrophic_tail_dominant	powerless	0.35359999999999997	mountain	tangled_rope	tangled_rope
acceptable_risk_energy__catastrophic_tail_dominant	moderate	0.7524146497248644	rope	snare	snare
acceptable_risk_energy__catastrophic_tail_dominant	institutional	-0.028731346196566535	rope	rope	rope
acceptable_risk_energy__catastrophic_tail_dominant	analytical	0.9315528632876693	mountain	snare	snare
acceptable_risk_energy__expected_value_dominant	powerless	0.35359999999999997	mountain	tangled_rope	tangled_rope
acceptable_risk_energy__expected_value_dominant	moderate	0.7524146497248644	rope	snare	snare
acceptable_risk_energy__expected_value_dominant	institutional	0.2424662882696689	rope	naturalized	naturalized
acceptable_risk_energy__expected_value_dominant	analytical	0.9315528632876693	mountain	snare	snare
acceptable_risk_energy__option_value_preserving	powerless	0.5651802690394981	mountain	unknown	unknown
acceptable_risk_energy__option_value_preserving	moderate	0.5753759086131316	rope	unknown	unknown
acceptable_risk_energy__option_value_preserving	institutional	-0.021971029444433233	rope	scaffold	scaffold
acceptable_risk_energy__option_value_preserving	analytical	0.7123639542788058	mountain	unknown	unknown
acceptable_risk_for_energy__catastrophic_tail_dominant	powerless	0.35359999999999997	mountain	tangled_rope	tangled_rope
acceptable_risk_for_energy__catastrophic_tail_dominant	moderate	0.641533711730331	rope	tangled_rope	tangled_rope
acceptable_risk_for_energy__catastrophic_tail_dominant	institutional	-0.028731346196566535	rope	rope	rope
acceptable_risk_for_energy__catastrophic_tail_dominant	analytical	0.9315528632876693	mountain	snare	snare
acceptable_risk_for_energy__comparative_risk_dominant	powerless	0.35359999999999997	mountain	tangled_rope	tangled_rope
acceptable_risk_for_energy__comparative_risk_dominant	moderate	0.7524146497248644	rope	snare	snare
acceptable_risk_for_energy__comparative_risk_dominant	institutional	0.07488390552014793	rope	naturalized	naturalized
acceptable_risk_for_energy__comparative_risk_dominant	analytical	0.9315528632876693	mountain	snare	snare
acceptable_risk_for_energy__expected_value_dominant	powerless	0.6738687823163247	mountain	tangled_rope	tangled_rope
acceptable_risk_for_energy__expected_value_dominant	moderate	0.6860251218079645	rope	tangled_rope	tangled_rope
acceptable_risk_for_energy__expected_value_dominant	institutional	-0.026196227414516545	rope	rope	rope
acceptable_risk_for_energy__expected_value_dominant	analytical	0.8493570224093454	mountain	tangled_rope	tangled_rope
ai_alignment_commitment__ethics_justice_reading	powerless	0.35359999999999997	mountain	tangled_rope	tangled_rope
ai_alignment_commitment__ethics_justice_reading	moderate	0.7524146497248644	rope	snare	snare
ai_alignment_commitment__ethics_justice_reading	institutional	-0.028731346196566535	rope	rope	rope
ai_alignment_commitment__ethics_justice_reading	analytical	0.9315528632876693	mountain	snare	snare
ai_alignment_commitment__integrated_reading	powerless	0.3224	mountain	naturalized	naturalized
ai_alignment_commitment__integrated_reading	moderate	0.48146241271948853	rope	tangled_rope	tangled_rope
ai_alignment_commitment__integrated_reading	institutional	0.06827650209189957	rope	naturalized	naturalized
ai_alignment_commitment__integrated_reading	analytical	0.8493570224093454	mountain	snare	snare
ai_alignment_commitment__safety_control_reading	powerless	0.35359999999999997	mountain	tangled_rope	tangled_rope
ai_alignment_commitment__safety_control_reading	moderate	0.7524146497248644	rope	snare	snare
ai_alignment_commitment__safety_control_reading	institutional	0.04560236203158335	rope	naturalized	naturalized
ai_alignment_commitment__safety_control_reading	analytical	0.9315528632876693	mountain	snare	snare
ai_alignment_priority__existential_risk_reading	powerless	0.7390818902824207	mountain	snare	snare
ai_alignment_priority__existential_risk_reading	moderate	0.7524146497248644	rope	snare	snare
ai_alignment_priority__existential_risk_reading	institutional	-0.028731346196566535	rope	rope	rope
ai_alignment_priority__existential_risk_reading	analytical	0.9315528632876693	mountain	snare	snare
ai_alignment_priority__integrated_reading	powerless	0.3016	mountain	naturalized	naturalized
ai_alignment_priority__integrated_reading	moderate	0.6417654365300313	rope	tangled_rope	tangled_rope
ai_alignment_priority__integrated_reading	institutional	-0.024506148226483216	rope	rope	rope
ai_alignment_priority__integrated_reading	analytical	0.7945597951571295	mountain	snare	snare
ai_alignment_priority__nearterm_harms_reading	powerless	0.15851389997239632	mountain	naturalized	naturalized
ai_alignment_priority__nearterm_harms_reading	moderate	0.7524146497248644	rope	snare	snare
ai_alignment_priority__nearterm_harms_reading	institutional	-0.028731346196566535	rope	rope	rope
ai_alignment_priority__nearterm_harms_reading	analytical	0.9315528632876693	mountain	snare	snare
ai_dignity_safeguarding__autonomy_rights_reading	powerless	0.46802961902024365	mountain	unknown	unknown
ai_dignity_safeguarding__autonomy_rights_reading	moderate	0.46472669541829853	rope	unknown	unknown
ai_dignity_safeguarding__autonomy_rights_reading	institutional	-0.017745831474349917	rope	rope	rope
