id	obs	chi	immut	mtype	ftype
ability_ceiling_reading	powerless	0.2711436315315846	mountain	naturalized	naturalized
ability_ceiling_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
ability_ceiling_reading	institutional	0.32773237573844677	rope	naturalized	naturalized
ability_ceiling_reading	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
access_barrier_reading	powerless	0.26672315105761923	mountain	naturalized	naturalized
access_barrier_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
access_barrier_reading	institutional	0.32773237573844677	rope	naturalized	naturalized
access_barrier_reading	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
actinide_replenishment_mechanism_contradictions	powerless	unknown	mountain	unknown	unknown
actinide_replenishment_mechanism_contradictions	moderate	unknown	rope	unknown	unknown
actinide_replenishment_mechanism_contradictions	institutional	unknown	rope	unknown	unknown
actinide_replenishment_mechanism_contradictions	analytical	unknown	mountain	unknown	unknown
actinide_replenishment_mechanism_flat_control	powerless	0.01197142830433128	mountain	mountain	mountain
actinide_replenishment_mechanism_flat_control	moderate	0.014833873083074633	rope	scaffold	scaffold
actinide_replenishment_mechanism_flat_control	institutional	0.014458781282578532	rope	scaffold	scaffold
actinide_replenishment_mechanism_flat_control	analytical	0.01785527352017962	mountain	mountain	mountain
adjunctification_of_university_teaching_c0	powerless	0.30594714386021027	mountain	naturalized	naturalized
adjunctification_of_university_teaching_c0	moderate	0.3865528072813651	rope	tangled_rope	tangled_rope
adjunctification_of_university_teaching_c0	institutional	0.37592831334704185	rope	tangled_rope	tangled_rope
adjunctification_of_university_teaching_c0	analytical	0.46423711152467007	mountain	tangled_rope	tangled_rope
animal_status_kernel__property_reading	powerless	0.3511618969270509	mountain	scaffold	scaffold
animal_status_kernel__property_reading	moderate	0.4351269437701893	rope	scaffold	scaffold
animal_status_kernel__property_reading	institutional	0.42412425095563694	rope	scaffold	scaffold
animal_status_kernel__property_reading	analytical	0.5237546899252687	mountain	unknown	unknown
apoe4_mitochondrial_vulnerability	powerless	0.27123364836788616	mountain	naturalized	naturalized
apoe4_mitochondrial_vulnerability	moderate	0.33699475506580545	rope	naturalized	naturalized
apoe4_mitochondrial_vulnerability	institutional	0.32773237573844677	rope	naturalized	naturalized
apoe4_mitochondrial_vulnerability	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
architectural_pattern_validity	powerless	0.03192380881155008	mountain	scaffold	rope
architectural_pattern_validity	moderate	0.039556994888199026	rope	scaffold	rope
architectural_pattern_validity	institutional	0.03855675008687608	rope	scaffold	rope
architectural_pattern_validity	analytical	0.04761406272047898	mountain	scaffold	rope
authoritative_specification_reading	powerless	0.2711436315315846	mountain	naturalized	naturalized
authoritative_specification_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
authoritative_specification_reading	institutional	0.32773237573844677	rope	naturalized	naturalized
authoritative_specification_reading	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
basic_law_interpretive_authority__parliamentary_sovereignty_reading	powerless	0.26672315105761923	mountain	naturalized	naturalized
basic_law_interpretive_authority__parliamentary_sovereignty_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
basic_law_interpretive_authority__parliamentary_sovereignty_reading	institutional	0.33699475506580545	rope	naturalized	naturalized
basic_law_interpretive_authority__parliamentary_sovereignty_reading	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	powerless	0.07177331422894886	mountain	scaffold	scaffold
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	moderate	0.08920449398800731	rope	scaffold	scaffold
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	institutional	0.08681424023536397	rope	scaffold	scaffold
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	analytical	0.1071316411210777	mountain	scaffold	scaffold
behavioral_adoption_friction	powerless	0.15152144115000316	mountain	scaffold	scaffold
behavioral_adoption_friction	moderate	0.18832059841912657	rope	scaffold	scaffold
behavioral_adoption_friction	institutional	0.1831445629126614	rope	scaffold	scaffold
behavioral_adoption_friction	analytical	0.22616679792227515	mountain	scaffold	scaffold
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	powerless	0.2472191934552683	mountain	naturalized	naturalized
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	moderate	0.30725992373646965	rope	naturalized	naturalized
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	institutional	0.2988148131732897	rope	naturalized	naturalized
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	analytical	0.3647831330640968	mountain	tangled_rope	tangled_rope
border_control_legitimacy__freedom_of_movement_primary	powerless	0.3177143417009876	mountain	naturalized	naturalized
border_control_legitimacy__freedom_of_movement_primary	moderate	0.40142022294603297	rope	unknown	unknown
border_control_legitimacy__freedom_of_movement_primary	institutional	0.3900063807116897	rope	unknown	unknown
border_control_legitimacy__freedom_of_movement_primary	analytical	0.48209238504484975	mountain	unknown	unknown
catastrophe_memory_kernel__boundary_maintenance_reading	powerless	0.2392443807631629	mountain	naturalized	naturalized
catastrophe_memory_kernel__boundary_maintenance_reading	moderate	0.2973483132933577	rope	naturalized	naturalized
catastrophe_memory_kernel__boundary_maintenance_reading	institutional	0.2891756256515706	rope	naturalized	naturalized
catastrophe_memory_kernel__boundary_maintenance_reading	analytical	0.35710547040359236	mountain	tangled_rope	tangled_rope
conceptual_framework_reading	powerless	0.04788571321732512	mountain	scaffold	scaffold
conceptual_framework_reading	moderate	0.05933549233229853	rope	scaffold	scaffold
conceptual_framework_reading	institutional	0.05783512513031413	rope	scaffold	scaffold
conceptual_framework_reading	analytical	0.07142109408071848	mountain	scaffold	scaffold
crypto_permissionless_reading	powerless	0.167471066534214	mountain	scaffold	scaffold
crypto_permissionless_reading	moderate	0.20814381930535042	rope	scaffold	scaffold
crypto_permissionless_reading	institutional	0.20242293795609945	rope	scaffold	scaffold
crypto_permissionless_reading	analytical	0.24997382928251466	mountain	scaffold	scaffold
demographic_resource_allocation	powerless	0.07177331422894886	mountain	scaffold	rope
demographic_resource_allocation	moderate	0.08920449398800731	rope	scaffold	rope
demographic_resource_allocation	institutional	0.08693752656431103	rope	scaffold	rope
demographic_resource_allocation	analytical	0.1071316411210777	mountain	scaffold	rope
demographic_skill_mismatch_c0	powerless	0.07177331422894886	mountain	scaffold	rope
demographic_skill_mismatch_c0	moderate	0.08920449398800731	rope	scaffold	rope
demographic_skill_mismatch_c0	institutional	0.08675268769547119	rope	scaffold	rope
demographic_skill_mismatch_c0	analytical	0.1071316411210777	mountain	scaffold	rope
digital_money_legitimacy_contradictions	powerless	unknown	mountain	unknown	unknown
digital_money_legitimacy_contradictions	moderate	unknown	rope	unknown	unknown
digital_money_legitimacy_contradictions	institutional	unknown	rope	unknown	unknown
digital_money_legitimacy_contradictions	analytical	unknown	mountain	unknown	unknown
digital_money_legitimacy_flat_control	powerless	0.26672315105761923	mountain	naturalized	naturalized
digital_money_legitimacy_flat_control	moderate	0.33699475506580545	rope	naturalized	naturalized
digital_money_legitimacy_flat_control	institutional	0.32773237573844677	rope	naturalized	naturalized
digital_money_legitimacy_flat_control	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
dispositional_reading	powerless	0.2711436315315846	mountain	naturalized	naturalized
dispositional_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
dispositional_reading	institutional	0.32773237573844677	rope	naturalized	naturalized
dispositional_reading	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
distributed_verification	powerless	0.26672315105761923	mountain	naturalized	naturalized
distributed_verification	moderate	0.33699475506580545	rope	naturalized	naturalized
distributed_verification	institutional	0.32773237573844677	rope	naturalized	naturalized
distributed_verification	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
divine_legitimacy_substrate__folk_syncretistic_reading	powerless	0.12370475914475657	mountain	scaffold	scaffold
divine_legitimacy_substrate__folk_syncretistic_reading	moderate	0.15328335519177122	rope	scaffold	scaffold
divine_legitimacy_substrate__folk_syncretistic_reading	institutional	0.14940740658664484	rope	scaffold	scaffold
divine_legitimacy_substrate__folk_syncretistic_reading	analytical	0.18450449304185607	mountain	scaffold	scaffold
doomsday_clock_metric__hybrid_legitimacy_reading	powerless	0.1594962538421086	mountain	unknown	unknown
doomsday_clock_metric__hybrid_legitimacy_reading	moderate	0.1982322088622385	rope	rope	rope
doomsday_clock_metric__hybrid_legitimacy_reading	institutional	0.19278375043438045	rope	rope	rope
doomsday_clock_metric__hybrid_legitimacy_reading	analytical	0.23807031360239495	mountain	rope	rope
dueling_disappearance_mechanism__overdetermined_composite_reading	powerless	0.22477063771980332	mountain	naturalized	rope
dueling_disappearance_mechanism__overdetermined_composite_reading	moderate	0.2874367028502458	rope	naturalized	rope
dueling_disappearance_mechanism__overdetermined_composite_reading	institutional	0.2795364381298516	rope	naturalized	rope
dueling_disappearance_mechanism__overdetermined_composite_reading	analytical	0.34520195472347265	mountain	naturalized	rope
empty_shell_tolerance	powerless	0.11164737768947602	mountain	scaffold	scaffold
empty_shell_tolerance	moderate	0.13876254620356696	rope	scaffold	scaffold
empty_shell_tolerance	institutional	0.13494862530406632	rope	scaffold	scaffold
empty_shell_tolerance	analytical	0.16664921952167647	mountain	scaffold	scaffold
epistemic_collapse	powerless	0.32163674098124667	mountain	naturalized	naturalized
epistemic_collapse	moderate	0.4063760281675889	rope	tangled_rope	tangled_rope
epistemic_collapse	institutional	0.39548709440554697	rope	tangled_rope	tangled_rope
epistemic_collapse	analytical	0.4880441428849095	mountain	tangled_rope	tangled_rope
equal_protection_kernel__colorblind_reading	powerless	0.2711436315315846	mountain	naturalized	naturalized
equal_protection_kernel__colorblind_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
equal_protection_kernel__colorblind_reading	institutional	0.32773237573844677	rope	naturalized	naturalized
equal_protection_kernel__colorblind_reading	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
fictional_construct_reading	powerless	0.1117333308404253	mountain	scaffold	scaffold
fictional_construct_reading	moderate	0.1384494821086966	rope	scaffold	scaffold
fictional_construct_reading	institutional	0.13494862530406632	rope	scaffold	scaffold
fictional_construct_reading	analytical	0.16664921952167647	mountain	scaffold	scaffold
fourteenth_amendment_equal_protection__formal_equality_reading	powerless	0.2711436315315846	mountain	naturalized	naturalized
fourteenth_amendment_equal_protection__formal_equality_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
fourteenth_amendment_equal_protection__formal_equality_reading	institutional	0.32773237573844677	rope	naturalized	naturalized
fourteenth_amendment_equal_protection__formal_equality_reading	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
gendered_outcome_asymmetry	powerless	0.31101769499211174	mountain	naturalized	naturalized
gendered_outcome_asymmetry	moderate	0.3865528072813651	rope	tangled_rope	tangled_rope
gendered_outcome_asymmetry	institutional	0.37592831334704185	rope	tangled_rope	tangled_rope
gendered_outcome_asymmetry	analytical	0.46423711152467007	mountain	tangled_rope	tangled_rope
geopolitical_settlement_competition	powerless	0.26672315105761923	mountain	naturalized	naturalized
geopolitical_settlement_competition	moderate	0.33699475506580545	rope	naturalized	naturalized
geopolitical_settlement_competition	institutional	0.329005016740436	rope	naturalized	naturalized
geopolitical_settlement_competition	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
gita_kurukshetra_discourse__gandhian_allegorical_reading	powerless	0.12262668415341699	mountain	unknown	unknown
gita_kurukshetra_discourse__gandhian_allegorical_reading	moderate	0.15362996186823483	rope	rope	rope
gita_kurukshetra_discourse__gandhian_allegorical_reading	institutional	0.14940740658664484	rope	rope	rope
gita_kurukshetra_discourse__gandhian_allegorical_reading	analytical	0.18450449304185607	mountain	rope	rope
historical_treaty_substrate__stewardship_reading	powerless	0.09968515865131787	mountain	unknown	unknown
historical_treaty_substrate__stewardship_reading	moderate	0.12389513053889906	rope	rope	rope
historical_treaty_substrate__stewardship_reading	institutional	0.12048984402148777	rope	rope	rope
historical_treaty_substrate__stewardship_reading	analytical	0.1487939460014968	mountain	rope	rope
indexical_realism	powerless	0.26672315105761923	mountain	naturalized	naturalized
indexical_realism	moderate	0.33699475506580545	rope	naturalized	naturalized
indexical_realism	institutional	0.32773237573844677	rope	naturalized	naturalized
indexical_realism	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
institutional_barrier_structure	powerless	0.26672315105761923	mountain	naturalized	naturalized
institutional_barrier_structure	moderate	0.33699475506580545	rope	naturalized	naturalized
institutional_barrier_structure	institutional	0.32773237573844677	rope	naturalized	naturalized
institutional_barrier_structure	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
institutional_trust_erosion_c0	powerless	0.2711436315315846	mountain	naturalized	tangled_rope
institutional_trust_erosion_c0	moderate	0.33699475506580545	rope	naturalized	tangled_rope
institutional_trust_erosion_c0	institutional	0.33441094990319786	rope	naturalized	tangled_rope
institutional_trust_erosion_c0	analytical	0.4047195331240714	mountain	unknown	unknown
institutional_validation_reading	powerless	0.26672315105761923	mountain	naturalized	naturalized
institutional_validation_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
institutional_validation_reading	institutional	0.32773237573844677	rope	naturalized	naturalized
institutional_validation_reading	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
institutional_verification_collapse	powerless	0.26672315105761923	mountain	naturalized	naturalized
institutional_verification_collapse	moderate	0.33699475506580545	rope	naturalized	naturalized
institutional_verification_collapse	institutional	0.32773237573844677	rope	naturalized	naturalized
institutional_verification_collapse	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
interactionist_reading	powerless	0.16759999626063793	mountain	scaffold	scaffold
interactionist_reading	moderate	0.20767422316304487	rope	scaffold	scaffold
interactionist_reading	institutional	0.20242293795609945	rope	scaffold	scaffold
interactionist_reading	analytical	0.24997382928251466	mountain	scaffold	scaffold
intervention_target_selection	powerless	0.26672315105761923	mountain	naturalized	naturalized
intervention_target_selection	moderate	0.33699475506580545	rope	naturalized	naturalized
intervention_target_selection	institutional	0.32773237573844677	rope	naturalized	naturalized
intervention_target_selection	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
jewish_self_determination__indigenous_return_reading	powerless	0.3112571359126133	mountain	scaffold	scaffold
jewish_self_determination__indigenous_return_reading	moderate	0.3856807001599405	rope	scaffold	scaffold
jewish_self_determination__indigenous_return_reading	institutional	0.37592831334704185	rope	scaffold	scaffold
jewish_self_determination__indigenous_return_reading	analytical	0.46423711152467007	mountain	unknown	unknown
jewish_sovereignty_palestine__cultural_zionist_reading	powerless	0.059811095190790725	mountain	scaffold	scaffold
jewish_sovereignty_palestine__cultural_zionist_reading	moderate	0.07433707832333943	rope	scaffold	scaffold
jewish_sovereignty_palestine__cultural_zionist_reading	institutional	0.07229390641289266	rope	scaffold	scaffold
jewish_sovereignty_palestine__cultural_zionist_reading	analytical	0.08927636760089809	mountain	scaffold	scaffold
jewish_sovereignty_palestine__settler_colonial_reading	powerless	0.3588665711447443	mountain	tangled_rope	rope
jewish_sovereignty_palestine__settler_colonial_reading	moderate	0.44602246994003664	rope	tangled_rope	rope
jewish_sovereignty_palestine__settler_colonial_reading	institutional	0.433763438477356	rope	tangled_rope	rope
jewish_sovereignty_palestine__settler_colonial_reading	analytical	0.5356582056053886	mountain	tangled_rope	rope
jewish_territorial_claim__labor_zionism_reading	powerless	0.33892953941448073	mountain	naturalized	naturalized
jewish_territorial_claim__labor_zionism_reading	moderate	0.42124344383225676	rope	tangled_rope	tangled_rope
jewish_territorial_claim__labor_zionism_reading	institutional	0.4096654696730584	rope	tangled_rope	tangled_rope
jewish_territorial_claim__labor_zionism_reading	analytical	0.5058994164050892	mountain	tangled_rope	tangled_rope
john_1_1_logos__non_incarnational_monotheist	powerless	0.26672315105761923	mountain	naturalized	naturalized
john_1_1_logos__non_incarnational_monotheist	moderate	0.33699475506580545	rope	naturalized	naturalized
john_1_1_logos__non_incarnational_monotheist	institutional	0.3385937538601678	rope	naturalized	naturalized
john_1_1_logos__non_incarnational_monotheist	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
knowledge_legitimacy_biomedicine_contradictions	powerless	unknown	mountain	unknown	unknown
knowledge_legitimacy_biomedicine_contradictions	moderate	unknown	rope	unknown	unknown
knowledge_legitimacy_biomedicine_contradictions	institutional	unknown	rope	unknown	unknown
knowledge_legitimacy_biomedicine_contradictions	analytical	unknown	mountain	unknown	unknown
knowledge_legitimacy_biomedicine_flat_control	powerless	0.26672315105761923	mountain	naturalized	naturalized
knowledge_legitimacy_biomedicine_flat_control	moderate	0.33699475506580545	rope	naturalized	naturalized
knowledge_legitimacy_biomedicine_flat_control	institutional	0.32773237573844677	rope	naturalized	naturalized
knowledge_legitimacy_biomedicine_flat_control	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
lausanne_minority_protections__guarantor_reading	powerless	0.08670397971043109	mountain	scaffold	scaffold
lausanne_minority_protections__guarantor_reading	moderate	0.10878173594254732	rope	scaffold	scaffold
lausanne_minority_protections__guarantor_reading	institutional	0.10603106273890923	rope	scaffold	scaffold
lausanne_minority_protections__guarantor_reading	analytical	0.1309386724813172	mountain	scaffold	scaffold
learning_difficulty_substrate_contradictions	powerless	unknown	mountain	unknown	unknown
learning_difficulty_substrate_contradictions	moderate	unknown	rope	unknown	unknown
learning_difficulty_substrate_contradictions	institutional	unknown	rope	unknown	unknown
learning_difficulty_substrate_contradictions	analytical	unknown	mountain	unknown	unknown
learning_difficulty_substrate_flat_control	powerless	0.2711436315315846	mountain	naturalized	naturalized
learning_difficulty_substrate_flat_control	moderate	0.33699475506580545	rope	naturalized	naturalized
learning_difficulty_substrate_flat_control	institutional	0.32773237573844677	rope	naturalized	naturalized
learning_difficulty_substrate_flat_control	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
livelihood_security_reading	powerless	0.167471066534214	mountain	unknown	unknown
livelihood_security_reading	moderate	0.20814381930535042	rope	rope	rope
livelihood_security_reading	institutional	0.20242293795609945	rope	rope	rope
livelihood_security_reading	analytical	0.24997382928251466	mountain	rope	rope
llm_synthesis_capacity	powerless	0.07182856982598768	mountain	scaffold	scaffold
llm_synthesis_capacity	moderate	0.0890032384984478	rope	scaffold	scaffold
llm_synthesis_capacity	institutional	0.08675268769547119	rope	scaffold	scaffold
llm_synthesis_capacity	analytical	0.1071316411210777	mountain	scaffold	scaffold
longevity_mismatch	powerless	0.04784887615263258	mountain	scaffold	rope
longevity_mismatch	moderate	0.05946966265867155	rope	scaffold	rope
longevity_mismatch	institutional	0.05783512513031413	rope	scaffold	rope
longevity_mismatch	analytical	0.07142109408071848	mountain	scaffold	rope
lycurgan_laws__demographic_trap_reading	powerless	0.32163674098124667	mountain	naturalized	naturalized
lycurgan_laws__demographic_trap_reading	moderate	0.4063760281675889	rope	tangled_rope	tangled_rope
lycurgan_laws__demographic_trap_reading	institutional	0.39520668839047984	rope	tangled_rope	tangled_rope
lycurgan_laws__demographic_trap_reading	analytical	0.4880441428849095	mountain	tangled_rope	tangled_rope
maat_order_principle__reciprocity_reading	powerless	0.167471066534214	mountain	unknown	unknown
maat_order_principle__reciprocity_reading	moderate	0.20814381930535042	rope	rope	rope
maat_order_principle__reciprocity_reading	institutional	0.20242293795609945	rope	rope	rope
maat_order_principle__reciprocity_reading	analytical	0.24997382928251466	mountain	rope	rope
marriage_authority__judicial_harmonization_reading	powerless	0.23126956807105745	mountain	scaffold	scaffold
marriage_authority__judicial_harmonization_reading	moderate	0.2874367028502458	rope	scaffold	scaffold
marriage_authority__judicial_harmonization_reading	institutional	0.2795364381298516	rope	scaffold	scaffold
marriage_authority__judicial_harmonization_reading	analytical	0.34520195472347265	mountain	scaffold	scaffold
mitochondrial_demand_signal_deficiency	powerless	0.26672315105761923	mountain	naturalized	naturalized
mitochondrial_demand_signal_deficiency	moderate	0.33699475506580545	rope	naturalized	naturalized
mitochondrial_demand_signal_deficiency	institutional	0.3305008730623655	rope	naturalized	naturalized
mitochondrial_demand_signal_deficiency	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
moral_causation_locus_contradictions	powerless	unknown	mountain	unknown	unknown
moral_causation_locus_contradictions	moderate	unknown	rope	unknown	unknown
moral_causation_locus_contradictions	institutional	unknown	rope	unknown	unknown
moral_causation_locus_contradictions	analytical	unknown	mountain	unknown	unknown
moral_causation_locus_flat_control	powerless	0.26672315105761923	mountain	naturalized	naturalized
moral_causation_locus_flat_control	moderate	0.33699475506580545	rope	naturalized	naturalized
moral_causation_locus_flat_control	institutional	0.32773237573844677	rope	naturalized	naturalized
moral_causation_locus_flat_control	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
nad_precursor_bioavailability	powerless	0.2711436315315846	mountain	naturalized	naturalized
nad_precursor_bioavailability	moderate	0.33699475506580545	rope	naturalized	naturalized
nad_precursor_bioavailability	institutional	0.32773237573844677	rope	naturalized	naturalized
nad_precursor_bioavailability	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
neutron_star_bombardment_reading	powerless	0.04788571321732512	mountain	scaffold	scaffold
neutron_star_bombardment_reading	moderate	0.05933549233229853	rope	scaffold	scaffold
neutron_star_bombardment_reading	institutional	0.05783512513031413	rope	scaffold	scaffold
neutron_star_bombardment_reading	analytical	0.07142109408071848	mountain	scaffold	scaffold
nicene_creed_authority__liturgical_habituation_reading	powerless	0.03192380881155008	mountain	unknown	rope
nicene_creed_authority__liturgical_habituation_reading	moderate	0.039556994888199026	rope	rope	rope
nicene_creed_authority__liturgical_habituation_reading	institutional	0.039104458161172494	rope	rope	rope
nicene_creed_authority__liturgical_habituation_reading	analytical	0.04761406272047898	mountain	rope	rope
organization_floor_c0	powerless	0.167471066534214	mountain	scaffold	scaffold
organization_floor_c0	moderate	0.20814381930535042	rope	scaffold	scaffold
organization_floor_c0	institutional	0.20242293795609945	rope	scaffold	scaffold
organization_floor_c0	analytical	0.24997382928251466	mountain	scaffold	scaffold
performance_legitimacy_contradictions	powerless	unknown	mountain	unknown	unknown
performance_legitimacy_contradictions	moderate	unknown	rope	unknown	unknown
performance_legitimacy_contradictions	institutional	unknown	rope	unknown	unknown
performance_legitimacy_contradictions	analytical	unknown	mountain	unknown	unknown
performance_legitimacy_flat_control	powerless	0.2632040133923488	mountain	naturalized	naturalized
performance_legitimacy_flat_control	moderate	0.33699475506580545	rope	naturalized	naturalized
performance_legitimacy_flat_control	institutional	0.32773237573844677	rope	naturalized	naturalized
performance_legitimacy_flat_control	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
polaris_document_status_contradictions	powerless	unknown	mountain	unknown	unknown
polaris_document_status_contradictions	moderate	unknown	rope	unknown	unknown
polaris_document_status_contradictions	institutional	unknown	rope	unknown	unknown
polaris_document_status_contradictions	analytical	unknown	mountain	unknown	unknown
polaris_document_status_flat_control	powerless	0.167471066534214	mountain	unknown	unknown
polaris_document_status_flat_control	moderate	0.20814381930535042	rope	rope	rope
polaris_document_status_flat_control	institutional	0.20242293795609945	rope	rope	rope
polaris_document_status_flat_control	analytical	0.24997382928251466	mountain	rope	rope
post_evidentiary	powerless	0.27037547527230443	mountain	naturalized	naturalized
post_evidentiary	moderate	0.33699475506580545	rope	naturalized	naturalized
post_evidentiary	institutional	0.32773237573844677	rope	naturalized	naturalized
post_evidentiary	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
pragmatic_action_reading	powerless	0.167471066534214	mountain	scaffold	scaffold
pragmatic_action_reading	moderate	0.20814381930535042	rope	scaffold	scaffold
pragmatic_action_reading	institutional	0.20242293795609945	rope	scaffold	scaffold
pragmatic_action_reading	analytical	0.24997382928251466	mountain	scaffold	scaffold
pre_public_initiative_reading	powerless	0.16759999626063793	mountain	scaffold	scaffold
pre_public_initiative_reading	moderate	0.20767422316304487	rope	scaffold	scaffold
pre_public_initiative_reading	institutional	0.20242293795609945	rope	scaffold	scaffold
pre_public_initiative_reading	analytical	0.24997382928251466	mountain	scaffold	scaffold
prerequisite_debt_reading	powerless	0.19139550461053031	mountain	scaffold	scaffold
prerequisite_debt_reading	moderate	0.2378786506346862	rope	scaffold	scaffold
prerequisite_debt_reading	institutional	0.23134050052125651	rope	scaffold	scaffold
prerequisite_debt_reading	analytical	0.2856843763228739	mountain	scaffold	scaffold
press_reformation_causality__strategic_deployment	powerless	0.26672315105761923	mountain	naturalized	naturalized
press_reformation_causality__strategic_deployment	moderate	0.33699475506580545	rope	naturalized	naturalized
press_reformation_causality__strategic_deployment	institutional	0.32773237573844677	rope	naturalized	naturalized
press_reformation_causality__strategic_deployment	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
press_reformation_causation__mutual_shaping	powerless	0.0797481269210543	mountain	scaffold	piton
press_reformation_causation__mutual_shaping	moderate	0.09911610443111925	rope	scaffold	piton
press_reformation_causation__mutual_shaping	institutional	0.09639187521719023	rope	scaffold	piton
press_reformation_causation__mutual_shaping	analytical	0.11903515680119747	mountain	scaffold	piton
press_reformation_causation__strategic_deployment	powerless	0.2472191934552683	mountain	naturalized	naturalized
press_reformation_causation__strategic_deployment	moderate	0.30725992373646965	rope	naturalized	naturalized
press_reformation_causation__strategic_deployment	institutional	0.30891048745611666	rope	naturalized	naturalized
press_reformation_causation__strategic_deployment	analytical	0.36900898608371213	mountain	tangled_rope	tangled_rope
propagation_speed_asymmetry	powerless	0.04784887615263258	mountain	scaffold	rope
propagation_speed_asymmetry	moderate	0.05946966265867155	rope	scaffold	rope
propagation_speed_asymmetry	institutional	0.05783512513031413	rope	scaffold	rope
propagation_speed_asymmetry	analytical	0.07142109408071848	mountain	scaffold	rope
property_sector_overhang	powerless	0.26672315105761923	mountain	naturalized	naturalized
property_sector_overhang	moderate	0.33699475506580545	rope	naturalized	naturalized
property_sector_overhang	institutional	0.32843065590961945	rope	naturalized	naturalized
property_sector_overhang	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
protein_anabolic_resistance	powerless	0.03189925076842172	mountain	mountain	mountain
protein_anabolic_resistance	moderate	0.0396464417724477	rope	scaffold	scaffold
protein_anabolic_resistance	institutional	0.03855675008687608	rope	scaffold	scaffold
protein_anabolic_resistance	analytical	0.04761406272047898	mountain	mountain	mountain
qualitative_development_reading	powerless	0.26672315105761923	mountain	naturalized	naturalized
qualitative_development_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
qualitative_development_reading	institutional	0.32773237573844677	rope	naturalized	naturalized
qualitative_development_reading	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
quantitative_growth_reading	powerless	0.26672315105761923	mountain	naturalized	naturalized
quantitative_growth_reading	moderate	0.33699475506580545	rope	naturalized	naturalized
quantitative_growth_reading	institutional	0.32773237573844677	rope	naturalized	naturalized
quantitative_growth_reading	analytical	0.4047195331240714	mountain	tangled_rope	tangled_rope
radiative_levitation_stratification	powerless	0.01197142830433128	mountain	mountain	mountain
radiative_levitation_stratification	moderate	0.014833873083074633	rope	scaffold	scaffold
radiative_levitation_stratification	institutional	0.014458781282578532	rope	scaffold	scaffold
radiative_levitation_stratification	analytical	0.01785527352017962	mountain	mountain	mountain
reading_acquisition_legitimacy__whole_language_meaning_primacy	powerless	0.23534395681554635	mountain	naturalized	naturalized
reading_acquisition_legitimacy__whole_language_meaning_primacy	moderate	0.2973483132933577	rope	naturalized	naturalized
reading_acquisition_legitimacy__whole_language_meaning_primacy	institutional	0.2891756256515706	rope	naturalized	naturalized
reading_acquisition_legitimacy__whole_language_meaning_primacy	analytical	0.35710547040359236	mountain	tangled_rope	tangled_rope
refugee_convention_text__expansive_humanitarian_reading	powerless	0.12759700307368688	mountain	scaffold	piton
refugee_convention_text__expansive_humanitarian_reading	moderate	0.1585857670897908	rope	scaffold	piton
