file	name	arity	exported	class	n_callers	callers
abductive_engine.pl	abductive_artifacts	2	1	LIVE	1	abductive_report.pl:report_artifact_census/1
abductive_engine.pl	abductive_by_class	3	1	LIVE	3	abductive_engine.pl:abductive_selftest/0;abductive_report.pl:report_class_findings/2;abductive_report.pl:report_summary/5
abductive_engine.pl	abductive_cleanup	0	1	LIVE	1	abductive_engine.pl:abductive_run/2
abductive_engine.pl	abductive_enabled	0	1	ENTRYPOINT_CLI	0	
abductive_engine.pl	abductive_genuine	2	1	LIVE	4	abductive_report.pl:report_genuine_findings/1;abductive_report.pl:report_investigation_queue/2;abductive_report.pl:report_top_hypotheses/1;genuine_findings_query.pl:run_query/0
abductive_engine.pl	abductive_hypotheses	2	1	STATIC_ORPHAN	0	
abductive_engine.pl	abductive_hypotheses	3	1	STATIC_ORPHAN	0	
abductive_engine.pl	abductive_run	2	1	LIVE	3	abductive_engine.pl:abductive_selftest/0;abductive_report.pl:run_abductive_report/0;genuine_findings_query.pl:run_query/0
abductive_engine.pl	abductive_selftest	0	1	ENTRYPOINT_CLI	0	
abductive_engine.pl	abductive_summary	1	1	STATIC_ORPHAN	0	
abductive_engine.pl	is_artifact_hypothesis	1	0	LIVE	4	abductive_engine.pl:abductive_artifacts/2;abductive_engine.pl:abductive_genuine/2;abductive_engine.pl:abductive_run/2;abductive_engine.pl:abductive_summary/1
abductive_engine.pl	run_trigger_over_constraints	3	0	LIVE	1	abductive_engine.pl:abductive_run/2
abductive_helpers.pl	abd_hypothesis	3	1	LIVE	14	abductive_engine.pl:abductive_artifacts/2;abductive_engine.pl:abductive_by_class/3;abductive_engine.pl:abductive_genuine/2;abductive_engine.pl:abductive_hypotheses/2;abductive_engine.pl:abductive_hypotheses/3;abductive_engine.pl:abductive_run/2;abductive_engine.pl:abductive_selftest/0;abductive_engine.pl:abductive_summary/1;abductive_report.pl:write_abductive_constraint_entry/4;abductive_report.pl:write_abductive_json_stream/3;abductive_triggers.pl:trigger_classical_oracle_failure/3;abductive_triggers.pl:trigger_confirmed_liminal/3;abductive_triggers.pl:trigger_maxent_shadow_divergence/3;abductive_triggers.pl:trigger_metric_structural_divergence/3
abductive_helpers.pl	abd_run_info	3	1	LIVE	1	abductive_engine.pl:abductive_summary/1
abductive_helpers.pl	available_subsystems	1	1	LIVE	2	abductive_engine.pl:abductive_run/2;abductive_engine.pl:abductive_summary/1
