abrahamic_covenant__isaac_covenant_reading	gap	gap	3
abrahamic_covenant__ishmael_covenant_reading	no_gap	undetermined	null
abrahamic_covenant__land_promise_constraint	gap	gap	3
acceptable_risk_energy__catastrophic_tail_dominant	gap	gap	3
acceptable_risk_energy__expected_value_dominant	gap	gap	5
acceptable_risk_energy__option_value_preserving	undetermined	gap	3
acceptable_risk_for_energy__catastrophic_tail_dominant	gap	gap	3
acceptable_risk_for_energy__comparative_risk_dominant	undetermined	undetermined	null
acceptable_risk_for_energy__expected_value_dominant	no_gap	no_gap	0
ai_alignment_commitment__ethics_justice_reading	gap	gap	3
ai_alignment_commitment__integrated_reading	gap	gap	5
ai_alignment_commitment__safety_control_reading	undetermined	gap	5
ai_alignment_priority__existential_risk_reading	gap	gap	3
ai_alignment_priority__integrated_reading	no_gap	undetermined	null
ai_alignment_priority__nearterm_harms_reading	gap	gap	3
ai_dignity_safeguarding__autonomy_rights_reading	undetermined	undetermined	null
ai_dignity_safeguarding__imago_dei_reading	undetermined	gap	3
ai_dignity_safeguarding__posthuman_continuity_reading	undetermined	gap	4
ai_governance_legitimacy__magisterial_subsidiarity_reading	gap	undetermined	null
ai_governance_legitimacy__market_libertarian_reading	no_gap	no_gap	0
ai_governance_legitimacy__technocratic_optimization_reading	undetermined	gap	3
ai_human_relationship__incarnational_humanism	undetermined	gap	4
ai_human_relationship__instrumental_subsidiarity	undetermined	no_gap	0
ai_human_relationship__technocratic_optimization	gap	gap	5
ai_risk_governance_priority__bridge_reading	undetermined	undetermined	null
ai_risk_governance_priority__existential_risk_reading	undetermined	gap	3
ai_risk_governance_priority__near_term_harms_reading	gap	gap	5
ai_risk_prioritization__existential_risk_reading	undetermined	gap	5
ai_risk_prioritization__near_term_harms_reading	gap	gap	3
ai_safety_commitment__dual_priority_reading	undetermined	gap	3
ai_safety_commitment__existential_risk_reading	undetermined	gap	3
ai_safety_commitment__near_term_harms_reading	gap	gap	5
all_men_created_equal__originalist_reading	gap	gap	5
all_men_created_equal__textualist_paradox_reading	undetermined	undetermined	null
all_men_created_equal__universalist_reading	no_gap	undetermined	null
aneyoshi_land_use_prohibition__behavioral_competence_reading	undetermined	no_gap	0
aneyoshi_land_use_prohibition__commemorative_husk_reading	gap	undetermined	null
aneyoshi_stone_commitment__behavioral_competence_reading	undetermined	no_gap	0
aneyoshi_stone_commitment__commemorative_husk_reading	gap	undetermined	null
