
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
MEMBER_META n_corpus 119
MEMBER q6 ability_ceiling_reading dead_claim_vs_snare_present
MEMBER q6 access_barrier_reading contested_open
MEMBER q6 actinide_replenishment_mechanism_contradictions q6_unmeasured
MEMBER q6 actinide_replenishment_mechanism_flat_control q6_unclassified
MEMBER q6 adjunctification_of_university_teaching_c0 dead_claim_vs_snare_present
MEMBER q6 alignment_constraint_narrowing live_claim_vs_snare_present
MEMBER q6 animal_status_kernel__property_reading q6_unmeasured
MEMBER q6 apoe4_mitochondrial_vulnerability live_claim_vs_snare_present
MEMBER q6 architectural_pattern_validity live_claim_vs_rope_present
MEMBER q6 authoritative_specification_reading live_claim_vs_snare_present
MEMBER q6 basic_law_interpretive_authority__parliamentary_sovereignty_reading q6_unmeasured
MEMBER q6 basic_law_interpretive_boundary__parliamentary_sovereignty_reading contested_open
MEMBER q6 behavioral_adoption_friction q6_signature_unknown
MEMBER q6 benchmark_saturation_interpretation live_claim_vs_snare_present
MEMBER q6 bitcoin_whitepaper_purpose__nakamoto_oracle_opacity q6_unmeasured
MEMBER q6 border_control_legitimacy__freedom_of_movement_primary q6_unmeasured
MEMBER q6 capability_endogeneity q6_signature_unknown
MEMBER q6 catastrophe_memory_kernel__boundary_maintenance_reading live_claim_vs_snare_present
MEMBER q6 conceptual_framework_reading q6_unmeasured
MEMBER q6 crypto_permissionless_reading q6_signature_unknown
MEMBER q6 dataset_recycling_amplification q6_signature_unknown
MEMBER q6 demographic_resource_allocation live_claim_vs_rope_present
MEMBER q6 demographic_skill_mismatch_c0 contested_open
MEMBER q6 digital_money_legitimacy_contradictions q6_unmeasured
MEMBER q6 digital_money_legitimacy_flat_control contested_open
MEMBER q6 dispositional_reading contested_open
MEMBER q6 distributed_verification live_claim_vs_snare_present
MEMBER q6 divine_legitimacy_substrate__folk_syncretistic_reading q6_unmeasured
MEMBER q6 doomsday_clock_metric__hybrid_legitimacy_reading q6_signature_unknown
MEMBER q6 dueling_disappearance_mechanism__overdetermined_composite_reading dead_claim_vs_snare_present
MEMBER q6 empty_shell_tolerance q6_unclassified
MEMBER q6 epistemic_collapse dead_claim_vs_snare_present
MEMBER q6 equal_protection_kernel__colorblind_reading q6_unmeasured
MEMBER q6 fictional_construct_reading q6_unclassified
MEMBER q6 fourteenth_amendment_equal_protection__formal_equality_reading q6_unmeasured
MEMBER q6 gendered_outcome_asymmetry dead_claim_vs_snare_present
MEMBER q6 generality_standard_contradictions q6_unmeasured
MEMBER q6 generality_standard_flat_control contested_open
MEMBER q6 generation_gate_reading contested_open
MEMBER q6 geopolitical_settlement_competition live_claim_vs_snare_present
MEMBER q6 gita_kurukshetra_discourse__gandhian_allegorical_reading q6_signature_unknown
MEMBER q6 historical_treaty_substrate__stewardship_reading live_claim_vs_rope_present
MEMBER q6 indexical_realism contested_open
MEMBER q6 institutional_barrier_structure contested_open
MEMBER q6 institutional_trust_erosion_c0 q6_signature_unknown
MEMBER q6 institutional_validation_reading contested_open
MEMBER q6 institutional_verification_collapse dead_claim_vs_snare_present
MEMBER q6 interactionist_reading q6_signature_unknown
MEMBER q6 intervention_target_selection dead_claim_vs_snare_present
MEMBER q6 jewish_self_determination__indigenous_return_reading q6_unmeasured
MEMBER q6 jewish_sovereignty_palestine__cultural_zionist_reading q6_unclassified
MEMBER q6 jewish_sovereignty_palestine__settler_colonial_reading contested_open
MEMBER q6 jewish_territorial_claim__labor_zionism_reading live_claim_vs_snare_present
MEMBER q6 john_1_1_logos__non_incarnational_monotheist contested_open
MEMBER q6 knowledge_legitimacy_biomedicine_contradictions q6_unmeasured
MEMBER q6 knowledge_legitimacy_biomedicine_flat_control contested_open
MEMBER q6 lausanne_minority_protections__guarantor_reading q6_unmeasured
MEMBER q6 learning_difficulty_substrate_contradictions q6_unmeasured
MEMBER q6 learning_difficulty_substrate_flat_control contested_open
MEMBER q6 livelihood_security_reading q6_signature_unknown
MEMBER q6 llm_synthesis_capacity q6_unclassified
MEMBER q6 longevity_mismatch live_claim_vs_rope_present
MEMBER q6 lycurgan_laws__demographic_trap_reading dead_claim_vs_snare_present
MEMBER q6 maat_order_principle__reciprocity_reading q6_unmeasured
MEMBER q6 marriage_authority__judicial_harmonization_reading q6_unmeasured
MEMBER q6 mitochondrial_demand_signal_deficiency contested_open
MEMBER q6 model_collapse_feedback contested_open
MEMBER q6 moral_causation_locus_contradictions q6_unmeasured
MEMBER q6 moral_causation_locus_flat_control contested_open
MEMBER q6 nad_precursor_bioavailability contested_open
MEMBER q6 neutron_star_bombardment_reading q6_unclassified
MEMBER q6 nicene_creed_authority__liturgical_habituation_reading q6_unmeasured
