
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
abrahamic_covenant__isaac_covenant_reading	0.7
abrahamic_covenant__ishmael_covenant_reading	0.45
abrahamic_covenant__land_promise_constraint	0.9
acceptable_risk_energy__catastrophic_tail_dominant	0.65
acceptable_risk_energy__expected_value_dominant	0.6
acceptable_risk_energy__option_value_preserving	0.45
acceptable_risk_for_energy__catastrophic_tail_dominant	0.65
acceptable_risk_for_energy__comparative_risk_dominant	0.4
acceptable_risk_for_energy__expected_value_dominant	0.3
ai_alignment_commitment__ethics_justice_reading	0.65
ai_alignment_commitment__integrated_reading	0.65
ai_alignment_commitment__safety_control_reading	0.85
ai_alignment_priority__existential_risk_reading	0.85
ai_alignment_priority__integrated_reading	0.45
ai_alignment_priority__nearterm_harms_reading	0.65
ai_dignity_safeguarding__autonomy_rights_reading	0.35
ai_dignity_safeguarding__imago_dei_reading	0.55
ai_dignity_safeguarding__posthuman_continuity_reading	0.1
ai_governance_legitimacy__magisterial_subsidiarity_reading	0.5
ai_governance_legitimacy__market_libertarian_reading	0.25
ai_governance_legitimacy__technocratic_optimization_reading	0.35
ai_human_relationship__incarnational_humanism	0.15
ai_human_relationship__instrumental_subsidiarity	0.3
ai_human_relationship__technocratic_optimization	0.85
ai_risk_governance_priority__bridge_reading	0.45
ai_risk_governance_priority__existential_risk_reading	0.65
ai_risk_governance_priority__near_term_harms_reading	0.65
ai_risk_prioritization__existential_risk_reading	0.6
ai_risk_prioritization__near_term_harms_reading	0.65
ai_safety_commitment__dual_priority_reading	0.6
ai_safety_commitment__existential_risk_reading	0.65
ai_safety_commitment__near_term_harms_reading	0.65
all_men_created_equal__originalist_reading	0.85
all_men_created_equal__textualist_paradox_reading	0.45
all_men_created_equal__universalist_reading	0.45
aneyoshi_land_use_prohibition__behavioral_competence_reading	0.05
aneyoshi_land_use_prohibition__commemorative_husk_reading	0.85
aneyoshi_stone_commitment__behavioral_competence_reading	0.05
aneyoshi_stone_commitment__commemorative_husk_reading	0.85
aneyoshi_stone_directive__behavioral_competence_reading	0.05
aneyoshi_stone_directive__commemorative_husk_reading	0.65
animal_moral_status__abolitionist_reading	0.95
animal_moral_status__property_reading	0.05
animal_moral_status__welfare_reading	0.35
animal_status__abolitionist_reading	0.95
animal_status__property_reading	0.05
animal_status__welfare_reading	0.45
animal_status_kernel__abolitionist_reading	0.95
animal_status_kernel__welfare_reading	0.45
anthropological_record__creationist_reading	0.6
anthropological_record__indigenous_epistemology_reading	0.2
anthropological_record__naturalist_reading	0.68
article17_erasure_right__censorship_mechanism_reading	0.78
article17_erasure_right__competitive_moat_reading	0.65
article17_erasure_right__privacy_fundamental_reading	0.25
article_17_complementarity__international_oversight_reading	0.65
article_17_complementarity__national_primacy_reading	0.65
article_27_veto_power__coordination_reading	0.15
article_27_veto_power__oligopoly_reading	0.85
article_27_veto_power__sovereignty_reading	0.05
article_2_7_chapter_vii_tension__r2p_reading	0.7
article_2_7_chapter_vii_tension__sovereignty_first_reading	0.85
article_51_self_defense__expansive_preventive_reading	0.7
article_51_self_defense__narrow_armed_attack_reading	0.6
article_51_self_defense__unable_unwilling_doctrine_reading	0.6
article_9_war_renunciation__collective_self_defense_reading	0.65
article_9_war_renunciation__inherent_right_reading	0.3
article_9_war_renunciation__strict_pacifist_reading	0.85
balfour_mandate_instruments__dual_obligation_indigenous_rights	0.7
balfour_mandate_instruments__jewish_national_home_primacy	0.85
balfour_mandate_instruments__mandatory_interpretive_discretion	0.65
basic_law_interpretive_authority__judicial_supremacy_reading	0.6
basic_law_interpretive_authority__popular_constitutionalism_reading	0.3
basic_law_interpretive_boundary__balanced_contestation_reading	0.45
basic_law_interpretive_boundary__judicial_supremacy_reading	0.65
beta_designation_doctrine__expansive_shield_reading	0.85
beta_designation_doctrine__narrow_warning_reading	0.2
beta_designation_doctrine__severity_carve_out_reading	0.15
biblical_authority__conciliar_reading	0.45
biblical_authority__sola_scriptura_reading	0.3
biblical_authority__tradition_scripture_reading	0.85
biblical_divine_nature__modalist_reading	0.4
biblical_divine_nature__trinitarian_reading	0.65
biblical_divine_nature__unitarian_reading	0.6
biblical_source_text__critical_reconstructive_reading	0.3
biblical_source_text__dynamic_equivalence_reading	0.45
biblical_source_text__formal_equivalence_reading	0.65
bitcoin_consensus_kernel__maximalist_reading	0.85
bitcoin_consensus_kernel__utility_reading	0.45
bitcoin_whitepaper__digital_gold_reading	0.65
bitcoin_whitepaper__p2p_cash_reading	0.4
bitcoin_whitepaper__protocol_ossification_reading	0.65
bitcoin_whitepaper_purpose__electronic_cash_reading	0.6
bitcoin_whitepaper_purpose__store_of_value_reading	0.6
border_control_legitimacy__jurisdictional_sovereignty	0.6
border_control_legitimacy__sovereignty_primary	0.7
border_legitimacy__freedom_of_movement_reading	0.85
border_legitimacy__humanitarian_obligation_reading	0.45
border_legitimacy__sovereignty_reading	0.85
border_normative_status__freedom_primary	0.85
border_normative_status__qualified_sovereignty	0.6
border_normative_status__sovereignty_primary	0.85
bretton_woods_treaty_substrate__keynesian_embedded_liberalism	0.4
bretton_woods_treaty_substrate__neoliberal_convertibility	0.85
bretton_woods_treaty_substrate__sovereignty_defense	0.65
caa_section_111d_delegation__facility_constraint_reading	0.65
caa_section_111d_delegation__systemic_transformation_reading	0.65
catastrophe_avoidance_retention__catastrophe_as_necessary_selector	0.6
catastrophe_avoidance_retention__hybrid_near_miss_learning	0.15
catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	0.4
catastrophe_memory_function__hybrid_transformation_reading	0.2
catastrophe_memory_function__mourning_practice_reading	0.25
catastrophe_memory_function__survival_competence_reading	0.15
catastrophe_memory_kernel__survival_competence_reading	0.45
catastrophe_memory_kernel__symbol_continuity_reading	0.2
catastrophe_memory_kernel__trauma_encoding_reading	0.68
catastrophe_memory_preservation__hybrid_atrophy_reading	0.45
catastrophe_memory_preservation__mourning_practice_reading	0.15
catastrophe_memory_preservation__survival_competence_reading	0.7
catastrophe_memory_survival__competence_transmission_reading	0.45
catastrophe_memory_survival__hybrid_encoding_reading	0.15
catastrophe_memory_survival__symbol_survival_reading	0.7
catastrophe_memory_transmission__hybrid_embedded_reading	0.15
catastrophe_memory_transmission__operational_competence_reading	0.15
catastrophe_memory_transmission__symbol_continuity_reading	0.65
catastrophe_proxy_sufficiency__catastrophe_necessity_reading	0.05
catastrophe_proxy_sufficiency__hybrid_degradation_reading	0.65
catastrophe_proxy_sufficiency__simulation_as_proxy_catastrophe_reading	0.2
catastrophe_proxy_sufficiency__simulation_fidelity_threshold	0.2
cbdr_principle__historical_responsibility_reading	0.65
cbdr_principle__voluntary_commitment_reading	0.65
church_turing_thesis__epistemological_boundary_reading	0.3
church_turing_thesis__mathematical_definition_reading	0.02
church_turing_thesis__physical_claim_reading	0.55
classical_latin_standard__continuity_reading	0.35
classical_latin_standard__hybrid_reading	0.45
classical_latin_standard__reconstruction_reading	0.85
climate_harm_prevention__adaptation_priority	0.65
climate_harm_prevention__degrowth_reading	0.85
climate_harm_prevention__mitigation_priority	0.6
climate_mitigation_imperative__opportunity_cost_reading	0.65
climate_mitigation_imperative__portfolio_optimization_reading	0.45
climate_mitigation_imperative__systems_transition_reading	0.65
climate_mitigation_legitimacy__baseload_necessity_reading	0.6
climate_mitigation_legitimacy__degrowth_sufficiency_reading	0.65
climate_mitigation_legitimacy__portfolio_pragmatism_reading	0.3
climate_mitigation_legitimacy__renewable_primacy_reading	0.65
climate_response_action__adaptation_priority	0.65
