
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
abrahamic_covenant__isaac_covenant_reading	0.81
abrahamic_covenant__ishmael_covenant_reading	0.58
abrahamic_covenant__land_promise_constraint	0.82
acceptable_risk_energy__catastrophic_tail_dominant	0.68
acceptable_risk_energy__expected_value_dominant	0.68
acceptable_risk_energy__option_value_preserving	0.52
acceptable_risk_for_energy__catastrophic_tail_dominant	0.68
acceptable_risk_for_energy__comparative_risk_dominant	0.68
acceptable_risk_for_energy__expected_value_dominant	0.62
ai_alignment_commitment__ethics_justice_reading	0.68
ai_alignment_commitment__integrated_reading	0.62
ai_alignment_commitment__safety_control_reading	0.68
ai_alignment_priority__existential_risk_reading	0.68
ai_alignment_priority__integrated_reading	0.58
ai_alignment_priority__nearterm_harms_reading	0.68
ai_dignity_safeguarding__autonomy_rights_reading	0.42
ai_dignity_safeguarding__imago_dei_reading	0.45
ai_dignity_safeguarding__posthuman_continuity_reading	0.18
ai_governance_legitimacy__magisterial_subsidiarity_reading	0.48
ai_governance_legitimacy__market_libertarian_reading	0.25
ai_governance_legitimacy__technocratic_optimization_reading	0.35
ai_human_relationship__incarnational_humanism	0.42
ai_human_relationship__instrumental_subsidiarity	0.62
ai_human_relationship__technocratic_optimization	0.81
ai_risk_governance_priority__bridge_reading	0.52
ai_risk_governance_priority__existential_risk_reading	0.68
ai_risk_governance_priority__near_term_harms_reading	0.68
ai_risk_prioritization__existential_risk_reading	0.68
ai_risk_prioritization__near_term_harms_reading	0.68
ai_safety_commitment__dual_priority_reading	0.62
ai_safety_commitment__existential_risk_reading	0.68
ai_safety_commitment__near_term_harms_reading	0.68
all_men_created_equal__originalist_reading	0.81
all_men_created_equal__textualist_paradox_reading	0.62
all_men_created_equal__universalist_reading	0.58
aneyoshi_land_use_prohibition__behavioral_competence_reading	0.08
aneyoshi_land_use_prohibition__commemorative_husk_reading	0.78
aneyoshi_stone_commitment__behavioral_competence_reading	0.12
aneyoshi_stone_commitment__commemorative_husk_reading	0.12
aneyoshi_stone_directive__behavioral_competence_reading	0.08
aneyoshi_stone_directive__commemorative_husk_reading	0.78
animal_moral_status__abolitionist_reading	0.89
animal_moral_status__property_reading	0.18
animal_moral_status__welfare_reading	0.58
