leg	kernel	reading	uid	tier	name	grounding	in_corpus
testsets	digital_money_legitimacy	sovereign_cbdc_reading	9ad2d6c4-6dc1-4396-a4c3-9b6b500bf311	foundational	state_monopoly_on_legitimate_issuance	conventional	yes
testsets	digital_money_legitimacy	sovereign_cbdc_reading	9ad2d6c4-6dc1-4396-a4c3-9b6b500bf311	secondary	transaction_visibility_required_for_policy	instrumental	yes
testsets	digital_money_legitimacy	regulated_stablecoin_reading	9e7c5c22-1004-4d57-bf76-a25b4681f43f	foundational	private_innovation_within_regulatory_perimeter	conventional	yes
testsets	digital_money_legitimacy	regulated_stablecoin_reading	9e7c5c22-1004-4d57-bf76-a25b4681f43f	foundational	reserve_backing_sufficiency_for_legitimacy	empirically_contingent	yes
testsets	digital_money_legitimacy	crypto_permissionless_reading	e69bed7b-d66f-4b2f-b894-840f6c6dd99d	foundational	consensus_suffices_for_legitimacy	conventional	yes
testsets	digital_money_legitimacy	crypto_permissionless_reading	e69bed7b-d66f-4b2f-b894-840f6c6dd99d	foundational	state_permission_unnecessary	deontological	yes
testsets	moral_causation_locus	dispositional_reading	cee9f50b-d273-407d-bdf8-32000b4008a1	foundational	character_cross_situational_stability	empirically_contingent	yes
testsets	moral_causation_locus	dispositional_reading	cee9f50b-d273-407d-bdf8-32000b4008a1	secondary	individual_moral_accountability	deontological	yes
testsets	moral_causation_locus	interactionist_reading	d83de150-30f7-4627-82b4-3ef8c9d9e8b3	foundational	interaction_irreducibility	empirically_contingent	yes
testsets	moral_causation_locus	interactionist_reading	d83de150-30f7-4627-82b4-3ef8c9d9e8b3	secondary	character_context_sensitivity	empirically_contingent	yes
testsets	moral_causation_locus	situational_reading	ec0d8812-6e64-4203-aac8-f7e93b6912ee	foundational	situational_primacy_over_disposition	empirically_contingent	yes
testsets	moral_causation_locus	situational_reading	ec0d8812-6e64-4203-aac8-f7e93b6912ee	foundational	character_instability_across_contexts	empirically_contingent	yes
testsets	moral_causation_locus	situational_reading	ec0d8812-6e64-4203-aac8-f7e93b6912ee	secondary	institutional_design_as_primary_intervention	instrumental	yes
testsets	visual_evidentiary_authority	post_evidentiary	12b59c25-e9fd-467e-bd8c-86ac189cbb07	foundational	consensus_primacy_over_indexicality	empirically_contingent	yes
testsets	visual_evidentiary_authority	post_evidentiary	12b59c25-e9fd-467e-bd8c-86ac189cbb07	secondary	explicit_acknowledgment_as_adaptation	instrumental	yes
testsets	visual_evidentiary_authority	indexical_realism	5cc5155d-ebb8-4576-a4af-30b8b82b265f	foundational	indexical_traces_recoverable	empirically_contingent	yes
testsets	visual_evidentiary_authority	indexical_realism	5cc5155d-ebb8-4576-a4af-30b8b82b265f	foundational	expert_analysis_authoritative	conventional	yes
testsets	visual_evidentiary_authority	distributed_verification	71f146b8-75a4-424a-baee-c9948b654d63	foundational	cryptographic_provenance_as_truth_warrant	conventional	yes
testsets	visual_evidentiary_authority	distributed_verification	71f146b8-75a4-424a-baee-c9948b654d63	foundational	point_of_capture_authentication_necessity	empirically_contingent	yes
testsets	visual_evidentiary_authority	epistemic_collapse	961160c1-a6a6-4e00-82a0-29f74912e343	foundational	verification_impossibility_at_scale	empirically_contingent	yes
testsets	visual_evidentiary_authority	epistemic_collapse	961160c1-a6a6-4e00-82a0-29f74912e343	foundational	generation_detection_gap_irreversible	empirically_contingent	yes
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__parsi_communal_reading	4973a065-7a38-4e49-a57d-bad824e566b6	foundational	communal_self_determination_grounds_marriage_authority	deontological	yes
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__parsi_communal_reading	4973a065-7a38-4e49-a57d-bad824e566b6	foundational	endogamy_preservation_necessary_to_cultural_continuity	empirically_contingent	yes
testsets_haiku	marriage_authority_kernel	marriage_authority_kernel__christian_canonical_reading	4c141207-a017-4d4c-8acd-6fc0ce810946	foundational	marriage_indissolubility_apostolic_doctrine	deontological	yes
