constraint	seat	author_claim	engine_dr_type
ability_ceiling_reading	powerless	tangled_rope	snare
ability_ceiling_reading	moderate	tangled_rope	snare
ability_ceiling_reading	institutional	tangled_rope	rope
ability_ceiling_reading	analytical	tangled_rope	snare
access_barrier_reading	powerless	tangled_rope	tangled_rope
access_barrier_reading	moderate	tangled_rope	snare
access_barrier_reading	institutional	tangled_rope	rope
access_barrier_reading	analytical	tangled_rope	snare
actinide_replenishment_mechanism_contradictions	powerless	none	unknown
actinide_replenishment_mechanism_contradictions	moderate	none	unknown
actinide_replenishment_mechanism_contradictions	institutional	none	unknown
actinide_replenishment_mechanism_contradictions	analytical	none	unknown
actinide_replenishment_mechanism_flat_control	powerless	mountain	mountain
actinide_replenishment_mechanism_flat_control	moderate	mountain	scaffold
actinide_replenishment_mechanism_flat_control	institutional	mountain	scaffold
actinide_replenishment_mechanism_flat_control	analytical	mountain	mountain
adjunctification_of_university_teaching_c0	powerless	snare	tangled_rope
adjunctification_of_university_teaching_c0	moderate	snare	snare
adjunctification_of_university_teaching_c0	institutional	snare	rope
adjunctification_of_university_teaching_c0	analytical	snare	snare
alignment_constraint_narrowing	powerless	tangled_rope	tangled_rope
alignment_constraint_narrowing	moderate	tangled_rope	snare
alignment_constraint_narrowing	institutional	tangled_rope	rope
alignment_constraint_narrowing	analytical	tangled_rope	snare
animal_status_kernel__property_reading	powerless	mountain	snare
animal_status_kernel__property_reading	moderate	mountain	snare
animal_status_kernel__property_reading	institutional	mountain	scaffold
animal_status_kernel__property_reading	analytical	mountain	snare
apoe4_mitochondrial_vulnerability	powerless	tangled_rope	snare
apoe4_mitochondrial_vulnerability	moderate	tangled_rope	snare
apoe4_mitochondrial_vulnerability	institutional	tangled_rope	rope
apoe4_mitochondrial_vulnerability	analytical	tangled_rope	snare
architectural_pattern_validity	powerless	mountain	rope
architectural_pattern_validity	moderate	mountain	rope
architectural_pattern_validity	institutional	mountain	rope
architectural_pattern_validity	analytical	mountain	rope
authoritative_specification_reading	powerless	tangled_rope	snare
authoritative_specification_reading	moderate	tangled_rope	snare
authoritative_specification_reading	institutional	tangled_rope	rope
authoritative_specification_reading	analytical	tangled_rope	snare
basic_law_interpretive_authority__parliamentary_sovereignty_reading	powerless	tangled_rope	tangled_rope
