constraint	gate	purity	F	SIsub	CC	EX	scope_result	N	rawSI	gridG	m1_si_empty	m2_grid_lt2	m3_grid_empty	m4_ex_fail	m5_floor_default	any_mech	disposition	crosschecks
abrahamic_covenant__isaac_covenant_reading	fail	-1.0	0.0	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
abrahamic_covenant__ishmael_covenant_reading	pass	0.3285	0.0	0.75	0.5	0.08000000000000007	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
abrahamic_covenant__land_promise_constraint	pass	0.575	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
acceptable_risk_energy__catastrophic_tail_dominant	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
acceptable_risk_energy__expected_value_dominant	fail	-1.0	0.25	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
acceptable_risk_energy__option_value_preserving	fail	-1.0	0.25	1.0	1.0	0.31999999999999995	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
acceptable_risk_for_energy__catastrophic_tail_dominant	fail	-1.0	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
acceptable_risk_for_energy__comparative_risk_dominant	fail	-1.0	0.25	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
acceptable_risk_for_energy__expected_value_dominant	fail	-1.0	0.0	1.0	0.8333333333333334	0.16000000000000003	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
ai_alignment_commitment__ethics_justice_reading	fail	-1.0	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
ai_alignment_commitment__integrated_reading	pass	0.5041666666666667	0.5	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_alignment_commitment__safety_control_reading	fail	-1.0	0.25	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
ai_alignment_priority__existential_risk_reading	fail	-1.0	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
ai_alignment_priority__integrated_reading	fail	-1.0	0.0	0.75	0.5	0.20000000000000007	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
ai_alignment_priority__nearterm_harms_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_dignity_safeguarding__autonomy_rights_reading	pass	0.655	0.25	1.0	1.0	0.4	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_dignity_safeguarding__imago_dei_reading	fail	-1.0	0.25	1.0	1.0	0.33999999999999997	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
ai_dignity_safeguarding__posthuman_continuity_reading	fail	-1.0	1.0	1.0	1.0	0.8400000000000001	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
ai_governance_legitimacy__magisterial_subsidiarity_reading	pass	0.655	0.25	1.0	1.0	0.4	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_governance_legitimacy__market_libertarian_reading	fail	-1.0	1.0	1.0	1.0	0.74	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
ai_governance_legitimacy__technocratic_optimization_reading	pass	0.4445	0.0	0.75	0.5	0.66	variant([scaffold,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_human_relationship__incarnational_humanism	pass	0.655	0.25	1.0	1.0	0.4	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_human_relationship__instrumental_subsidiarity	pass	0.3125	0.0	0.75	0.5	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_human_relationship__technocratic_optimization	pass	0.6875	0.625	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_risk_governance_priority__bridge_reading	pass	0.615	0.25	1.0	1.0	0.19999999999999996	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_risk_governance_priority__existential_risk_reading	fail	-1.0	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
ai_risk_governance_priority__near_term_harms_reading	fail	-1.0	0.0	0.75	0.8333333333333334	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
ai_risk_prioritization__existential_risk_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_risk_prioritization__near_term_harms_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_safety_commitment__dual_priority_reading	fail	-1.0	0.625	1.0	0.8333333333333334	0.0	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
ai_safety_commitment__existential_risk_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_safety_commitment__near_term_harms_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
all_men_created_equal__originalist_reading	pass	0.5	0.0	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
all_men_created_equal__textualist_paradox_reading	fail	-1.0	0.0	1.0	0.8333333333333334	0.0	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
all_men_created_equal__universalist_reading	fail	-1.0	0.625	1.0	0.8333333333333334	0.08000000000000007	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
aneyoshi_land_use_prohibition__behavioral_competence_reading	pass	1.0	1.0	1.0	1.0	1.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
aneyoshi_land_use_prohibition__commemorative_husk_reading	pass	0.575	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
aneyoshi_stone_commitment__behavioral_competence_reading	pass	0.9720000000000001	1.0	1.0	1.0	0.86	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
aneyoshi_stone_commitment__commemorative_husk_reading	pass	0.8595	0.625	1.0	1.0	0.86	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
aneyoshi_stone_directive__behavioral_competence_reading	pass	0.9760000000000001	1.0	1.0	1.0	0.88	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
aneyoshi_stone_directive__commemorative_husk_reading	fail	-1.0	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
animal_moral_status__abolitionist_reading	pass	0.575	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_moral_status__property_reading	pass	0.9480000000000001	1.0	1.0	1.0	0.74	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_moral_status__welfare_reading	fail	-1.0	0.0	0.75	0.5	0.08000000000000007	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
animal_status__abolitionist_reading	fail	-1.0	0.625	1.0	1.0	1.0	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
animal_status__property_reading	fail	-1.0	1.0	1.0	1.0	0.94	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
animal_status__welfare_reading	pass	0.6429999999999999	0.25	1.0	1.0	0.33999999999999997	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_status_kernel__abolitionist_reading	pass	0.45833333333333337	0.0	1.0	0.8333333333333334	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_status_kernel__welfare_reading	pass	0.4743333333333334	0.0	1.0	0.8333333333333334	0.08000000000000007	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
anthropological_record__creationist_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
anthropological_record__indigenous_epistemology_reading	pass	0.5083333333333333	0.375	0.75	0.8333333333333334	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
anthropological_record__naturalist_reading	fail	-1.0	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
article17_erasure_right__censorship_mechanism_reading	fail	-1.0	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
article17_erasure_right__competitive_moat_reading	pass	0.3125	0.0	0.75	0.5	0.0	variant([tangled_rope,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article17_erasure_right__privacy_fundamental_reading	pass	0.4485	0.0	0.75	0.5	0.6799999999999999	variant([rope,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_17_complementarity__international_oversight_reading	fail	-1.0	0.0	0.75	0.33333333333333337	0.08000000000000007	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
article_17_complementarity__national_primacy_reading	fail	-1.0	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
article_27_veto_power__coordination_reading	fail	-1.0	1.0	1.0	1.0	0.8400000000000001	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
article_27_veto_power__oligopoly_reading	fail	-1.0	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
article_27_veto_power__sovereignty_reading	fail	-1.0	1.0	1.0	1.0	1.0	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
article_2_7_chapter_vii_tension__r2p_reading	pass	0.3125	0.0	0.75	0.5	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_2_7_chapter_vii_tension__sovereignty_first_reading	fail	-1.0	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
article_51_self_defense__expansive_preventive_reading	fail	-1.0	0.0	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
article_51_self_defense__narrow_armed_attack_reading	pass	0.4085	0.0	0.75	0.5	0.48	variant([scaffold,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_51_self_defense__unable_unwilling_doctrine_reading	fail	-1.0	0.0	0.75	0.8333333333333334	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
article_9_war_renunciation__collective_self_defense_reading	fail	-1.0	0.0	0.75	0.5	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
article_9_war_renunciation__inherent_right_reading	fail	-1.0	0.0	0.75	0.6666666666666667	0.62	variant([rope,unknown])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
article_9_war_renunciation__strict_pacifist_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
balfour_mandate_instruments__dual_obligation_indigenous_rights	fail	-1.0	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
