constraint	gate	purity	F	SIsub	CC	EX	scope_result	N	rawSI	gridG	m1_si_no_data	m2_grid_lt2	m3_grid_empty	m4_ex_fail	m5_floor_default	any_mech	disposition	crosschecks
ability_ceiling_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	1	1	unknown	x2(na)-x5(ok_prefloor)
access_barrier_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	1	1	unknown	x2(na)-x5(ok_prefloor)
actinide_replenishment_mechanism_contradictions	fail	-1.0	unknown	unknown	unknown	unknown	no_data	na	na	0	1	1	1	1	1	1	sentinel	x2(ok)-x5(ok_prefloor)
actinide_replenishment_mechanism_flat_control	pass	0.996	1.0	1.0	1.0	0.98	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
adjacency_reading	pass	0.49016666666666664	0.0	0.75	0.6666666666666667	0.6799999999999999	variant([rope,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
adjunctification_of_university_teaching_c0	pass	0.5	0.0	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
adverse_effect_guarantee_kernel_contradictions	fail	-1.0	unknown	unknown	unknown	unknown	no_data	na	na	0	1	1	1	1	1	1	sentinel	x2(ok)-x5(ok_prefloor)
adverse_effect_guarantee_kernel_flat_control	pass	0.4863333333333334	0.0	1.0	0.8333333333333334	0.14000000000000012	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
adverse_effect_measurability_contradictions	fail	-1.0	unknown	unknown	unknown	unknown	no_data	na	na	0	1	1	1	1	1	1	sentinel	x2(ok)-x5(ok_prefloor)
adverse_effect_measurability_flat_control	pass	0.45833333333333337	0.0	1.0	0.8333333333333334	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
ai_governance_legitimacy__democratic_pluralist_reading	pass	0.40049999999999997	0.0	0.75	0.5	0.43999999999999995	variant([scaffold,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
alignment_constraint_narrowing	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_status_kernel__property_reading	fail	-1.0	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
apoe4_mitochondrial_vulnerability	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
architectural_pattern_validity	pass	0.9760000000000001	1.0	1.0	1.0	0.88	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
authentic_preference_boundary_contradictions	fail	-1.0	unknown	unknown	unknown	unknown	no_data	na	na	0	1	1	1	1	1	1	sentinel	x2(ok)-x5(ok_prefloor)
authorial_legitimacy_kernel_flat_control	pass	0.647	0.25	1.0	1.0	0.3600000000000001	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
authoritative_specification_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
authority_vacuum_incommensurability	pass	0.6469999999999999	0.25	1.0	1.0	0.36	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
autonomy_reading	pass	0.7658333333333334	0.625	1.0	0.8333333333333334	0.6	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
basic_law_interpretive_authority__parliamentary_sovereignty_reading	fail	-1.0	0.0	0.75	0.5	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	pass	0.9760000000000001	1.0	1.0	1.0	0.88	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
behavioral_adoption_friction	pass	0.4205	0.0	0.75	0.5	0.54	variant([scaffold,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
behaviorist_counterfactual_reading	pass	0.45833333333333337	0.0	1.0	0.8333333333333334	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
benchmark_saturation_interpretation	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
benign_dictator_reading	pass	0.49016666666666664	0.0	0.75	0.6666666666666667	0.6799999999999999	variant([rope,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	fail	-1.0	0.0	0.75	0.6666666666666667	0.0	variant([naturalized,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
border_control_legitimacy__freedom_of_movement_primary	fail	-1.0	0.0	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
bully_gang_classification_law	pass	0.3125	0.0	0.75	0.5	0.0	variant([tangled_rope,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bureaucratic_drift_reading	pass	0.7938333333333334	0.625	1.0	0.8333333333333334	0.74	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
capability_endogeneity	pass	0.3685	0.0	0.75	0.5	0.28	variant([scaffold,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
catastrophe_memory_kernel__boundary_maintenance_reading	fail	-1.0	0.0	0.75	0.5	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
channel_conversion_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
citation_purity_reading	pass	0.4085	0.0	0.75	0.5	0.48	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
clock_incompatibility_reading	pass	0.3125	0.0	0.75	0.5	0.0	variant([tangled_rope,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
conceptual_framework_reading	pass	0.9720000000000001	1.0	1.0	1.0	0.86	invariant	1	1.0	12	0	0	0	0	1	1	unknown	x2(na)-x5(ok_prefloor)
constitutional_text_authority__living_constitutionalist_reading	pass	0.623	0.25	1.0	1.0	0.24	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
constitutional_text_authority__originalist_reading	pass	0.647	0.25	1.0	1.0	0.3600000000000001	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
constitutional_text_authority__positivist_reading	pass	0.627	0.25	1.0	1.0	0.26	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
conversational_ai_consent_migration	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
coverage_neutral_reading	pass	1.0	1.0	1.0	1.0	1.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
crypto_permissionless_reading	pass	0.46616666666666673	0.0	0.75	0.6666666666666667	0.56	variant([scaffold,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
dataset_recycling_amplification	pass	0.3685	0.0	0.75	0.5	0.28	variant([scaffold,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
deferred_consent_reading	pass	0.48216666666666663	0.0	0.75	0.6666666666666667	0.6399999999999999	variant([rope,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
deflationary_reading	pass	0.988	1.0	1.0	1.0	0.94	invariant	1	1.0	12	0	0	0	0	1	1	unknown	x2(na)-x5(ok_prefloor)
demographic_resource_allocation	pass	0.988	1.0	1.0	1.0	0.94	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
demographic_skill_mismatch_c0	pass	0.988	1.0	1.0	1.0	0.94	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
developmental_harm_reading	pass	0.3125	0.0	0.75	0.5	0.0	variant([tangled_rope,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
digital_money_legitimacy_contradictions	fail	-1.0	unknown	unknown	unknown	unknown	no_data	na	na	0	1	1	1	1	1	1	sentinel	x2(ok)-x5(ok_prefloor)
digital_money_legitimacy_flat_control	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
dispositional_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
distributed_verification	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
divine_legitimacy_substrate__folk_syncretistic_reading	fail	-1.0	0.625	1.0	0.8333333333333334	0.5800000000000001	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
doomsday_clock_metric__hybrid_legitimacy_reading	pass	0.623	0.25	1.0	1.0	0.24	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
drift_reading	pass	0.45833333333333337	0.0	1.0	0.8333333333333334	1.1102230246251565e-16	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
dueling_disappearance_mechanism__overdetermined_composite_reading	pass	0.3701666666666667	0.0	0.75	0.6666666666666667	0.08000000000000007	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
emotivism_as_diagnosis_vs_practice	pass	0.45833333333333337	0.0	1.0	0.8333333333333334	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
empty_shell_tolerance	pass	0.7658333333333334	0.625	1.0	0.8333333333333334	0.6	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
epistemic_collapse	pass	0.5	0.0	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	1	1	unknown	x2(na)-x5(ok_prefloor)
epsilon_substrate_dependency	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
equal_protection_kernel__colorblind_reading	fail	-1.0	0.0	0.75	0.5	0.0	variant([tangled_rope,unknown])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
exile_reading	pass	0.45833333333333337	0.0	1.0	0.8333333333333334	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
exit_suppression_mechanism	pass	0.4666666666666667	0.375	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
family_attention_reallocation	pass	0.45833333333333337	0.0	1.0	0.8333333333333334	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
federation_membership__integration_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
federation_membership__sovereignty_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
fetterley_transfer_kernel_contradictions	fail	-1.0	unknown	unknown	unknown	unknown	no_data	na	na	0	1	1	1	1	1	1	sentinel	x2(ok)-x5(ok_prefloor)
fetterley_transfer_kernel_flat_control	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
fictional_construct_reading	pass	0.7538333333333334	0.625	1.0	0.8333333333333334	0.5399999999999999	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
filter_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
fourteenth_amendment_equal_protection__formal_equality_reading	fail	-1.0	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
fusion_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
gendered_outcome_asymmetry	pass	0.575	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
genealogical_origin_reading	pass	0.639	0.25	1.0	1.0	0.32000000000000006	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
generality_standard_contradictions	fail	-1.0	unknown	unknown	unknown	unknown	no_data	na	na	0	1	1	1	1	1	1	sentinel	x2(ok)-x5(ok_prefloor)
generality_standard_flat_control	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
generation_gate_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
genuine_relational_understanding_contradictions	fail	-1.0	unknown	unknown	unknown	unknown	no_data	na	na	0	1	1	1	1	1	1	sentinel	x2(ok)-x5(ok_prefloor)
geopolitical_settlement_competition	pass	0.44516666666666665	0.25	0.75	0.6666666666666667	0.07999999999999985	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
gita_kurukshetra_discourse__gandhian_allegorical_reading	pass	0.4781666666666667	0.0	0.75	0.6666666666666667	0.62	variant([rope,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
gpl_derivative_work_trigger__interface_boundary_reading	pass	0.4341666666666667	0.0	0.75	0.6666666666666667	0.4	variant([scaffold,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
h2a_exit_mobility_axis	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
historical_treaty_substrate__stewardship_reading	pass	0.8195	0.625	1.0	1.0	0.66	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
impression_management_reading	pass	0.631	0.25	1.0	1.0	0.28	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
indexical_realism	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
information_control_regime	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
installed_authorship_reading	pass	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	variant([rope,unknown])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
institutional_barrier_structure	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
institutional_trust_erosion_c0	pass	0.8	1.0	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
institutional_validation_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
institutional_verification_collapse	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
instrument_capture_reading	pass	0.575	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
instrument_dependent_reading	pass	0.575	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
interactionist_reading	pass	0.4061666666666667	0.0	0.75	0.6666666666666667	0.26	variant([scaffold,unknown])	2	0.75	12	0	0	0	0	1	1	unknown	x2(na)-x5(ok_prefloor)
intervention_target_selection	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
jewish_self_determination__indigenous_return_reading	fail	-1.0	0.0	1.0	0.8333333333333334	0.0	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
jewish_sovereignty_palestine__cultural_zionist_reading	pass	0.9720000000000001	1.0	1.0	1.0	0.86	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
jewish_sovereignty_palestine__settler_colonial_reading	pass	0.575	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
jewish_territorial_claim__labor_zionism_reading	pass	0.575	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
john_1_1_logos__non_incarnational_monotheist	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
knowledge_legitimacy_biomedicine_contradictions	fail	-1.0	unknown	unknown	unknown	unknown	no_data	na	na	0	1	1	1	1	1	1	sentinel	x2(ok)-x5(ok_prefloor)
knowledge_legitimacy_biomedicine_flat_control	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
lausanne_minority_protections__guarantor_reading	fail	-1.0	1.0	1.0	1.0	0.8	invariant	1	1.0	12	0	0	0	0	0	0	sentinel	x2(na)-x5(na)
learning_difficulty_substrate_contradictions	fail	-1.0	unknown	unknown	unknown	unknown	no_data	na	na	0	1	1	1	1	1	1	sentinel	x2(ok)-x5(ok_prefloor)
