
[attempt 1/3] batch 18 requests (kimi-k2.6)...
  18 requests -> 1 batch(es) (<= 90MB each)
  [chunk 1/1] 18 requests
  uploaded input file batch-6a710e7b85cb6b000bb04bad (18 requests, 3MB)
  batch batch_6a710e7b85cb6b000bb04baf
  batch batch_6a710e7b85cb6b000bb04baf validating (0/18)
  batch batch_6a710e7b85cb6b000bb04baf validating (0/18)
  batch batch_6a710e7b85cb6b000bb04baf validating (0/18)
  batch batch_6a710e7b85cb6b000bb04baf validating (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
  batch batch_6a710e7b85cb6b000bb04baf in_progress (0/18)
