field	n_stories	stable_positive	stable_ABSENCE	unstable	inflated_by_absence
base_properties.suppression	6	5	0	1	no
base_properties.theater_ratio	6	3	0	3	no
base_properties.accessibility_collapse	6	4	0	2	no
base_properties.resistance	6	3	0	3	no
base_properties.extractiveness	6	5	0	1	no
base_properties.requires_active_enforcement	6	2	1	3	YES
base_properties.emerges_naturally	6	6	0	0	no
base_properties.has_sunset_clause	6	0	6	0	YES
base_properties.beneficiaries	6	0	0	6	no
base_properties.victims	6	0	4	2	YES
base_properties.vindicated_propositions	6	0	1	5	YES
base_properties.claimed_type	6	6	0	0	no
stakeholders.roster_card	6	2	0	4	no
stakeholders.role_multiset	6	0	0	6	no
stakeholders.power_multiset	6	0	0	6	no
stakeholders.time_horizon_multiset	6	1	0	5	no
stakeholders.exit_options_multiset	6	0	0	6	no
stakeholders.spatial_scope_multiset	6	0	0	6	no
six_questions.coordination_function	6	6	0	0	no
six_questions.transfer_function	6	6	0	0	no
six_questions.absent_voices	6	6	0	0	no
six_questions.disappearance_verdict	6	4	0	2	no
six_questions.founding_problem	6	6	0	0	no
six_questions.founding_problem_status	6	3	0	3	no
six_questions.founding_problem_corroboration	6	6	0	0	no
gain_flow	6	1	3	2	YES
fixing_cost	6	1	3	2	YES
omegas.count	6	5	0	1	no
omegas.id_set	6	0	0	6	no
measurements.count	6	1	0	5	no
measurements.metric_set	6	4	0	2	no
measurements.grid_shape	6	1	0	5	no
interval	6	6	0	0	no
boltzmann.presence	6	6	0	0	no
network.presence	6	6	0	0	no
directionality_overrides.presence	6	0	0	6	no
cs_structure.presence	6	0	4	2	YES
coercion_grid.presence	6	0	6	0	YES
