# corpus_prevalence.tsv — OQ-190 RECON §3
# generated 2026-08-17; code HEAD f80bc3eb; pipeline manifest: pipeline_run_at=2026-08-18T03:06:44Z n_constraints=279 code_commit=5ce17390 code_dirty=true
# denominator = non-recursive <leg>/*.pl file count (= corpus_loader:corpus_constraint/1 membership)
# counted with /usr/bin/grep -lE '^narrative_ontology:<fact>\('
leg	n_files	fact	n_files_emitting
testsets	279	constraint_beneficiary	252
testsets	279	constraint_victim	227
testsets	279	constraint_vindicates	150
testsets	279	constraint_stakeholder	236
testsets	279	stakeholder_secondary_role	168
testsets	279	stakeholder_non_agent	23
testsets	279	stakeholder_gain_flow	131
testsets	279	fixing_cost_class	129
testsets	279	disappearance_verdict	237
testsets	279	founding_problem_status	236
testsets	279	founding_problem_corroboration_class	0
testsets_haiku	960	constraint_beneficiary	942
testsets_haiku	960	constraint_victim	841
testsets_haiku	960	constraint_vindicates	349
testsets_haiku	960	constraint_stakeholder	494
testsets_haiku	960	stakeholder_secondary_role	390
testsets_haiku	960	stakeholder_non_agent	84
testsets_haiku	960	stakeholder_gain_flow	408
testsets_haiku	960	fixing_cost_class	408
testsets_haiku	960	disappearance_verdict	494
testsets_haiku	960	founding_problem_status	494
testsets_haiku	960	founding_problem_corroboration_class	0
testsets_flash	960	constraint_beneficiary	944
testsets_flash	960	constraint_victim	877
testsets_flash	960	constraint_vindicates	146
testsets_flash	960	constraint_stakeholder	748
testsets_flash	960	stakeholder_secondary_role	62
testsets_flash	960	stakeholder_non_agent	59
testsets_flash	960	stakeholder_gain_flow	185
testsets_flash	960	fixing_cost_class	185
testsets_flash	960	disappearance_verdict	768
testsets_flash	960	founding_problem_status	768
testsets_flash	960	founding_problem_corroboration_class	0
testsets_kimi	1005	constraint_beneficiary	974
testsets_kimi	1005	constraint_victim	915
testsets_kimi	1005	constraint_vindicates	314
testsets_kimi	1005	constraint_stakeholder	987
testsets_kimi	1005	stakeholder_secondary_role	288
testsets_kimi	1005	stakeholder_non_agent	14
testsets_kimi	1005	stakeholder_gain_flow	583
testsets_kimi	1005	fixing_cost_class	553
testsets_kimi	1005	disappearance_verdict	1004
testsets_kimi	1005	founding_problem_status	1004
testsets_kimi	1005	founding_problem_corroboration_class	0
testsets_sonnet	1001	constraint_beneficiary	997
testsets_sonnet	1001	constraint_victim	940
testsets_sonnet	1001	constraint_vindicates	735
testsets_sonnet	1001	constraint_stakeholder	1000
testsets_sonnet	1001	stakeholder_secondary_role	865
testsets_sonnet	1001	stakeholder_non_agent	121
testsets_sonnet	1001	stakeholder_gain_flow	617
testsets_sonnet	1001	fixing_cost_class	616
testsets_sonnet	1001	disappearance_verdict	1001
testsets_sonnet	1001	founding_problem_status	1000
testsets_sonnet	1001	founding_problem_corroboration_class	0
