edge_id	source_templates	observable	grade	admitted	source_presence	treatment_diff	decided_by
e1	[narrative_ontology:constraint_beneficiary(_228,_230)]	dr_type	presence	yes	674	132	treatment_diff(132)
e2	[narrative_ontology:constraint_victim(_230,_232)]	dr_type	presence	yes	564	78	treatment_diff(78)
e3	[narrative_ontology:constraint_victim(_16164,_16166)]	coalition_power	cardinality	yes	564	118	treatment_diff(118)
e4	[narrative_ontology:constraint_beneficiary(_16164,_16166)]	constraint_captured	presence	no	674	0	zero_diff_with_live_control(91)
e7	[narrative_ontology:constraint_beneficiary(_230,_232),narrative_ontology:constraint_victim(_248,_250)]	fingerprint_actors	cardinality	yes	1238	506	treatment_diff(506)
e6	[narrative_ontology:stakeholder_gain_flow(_230,_232)]	constraint_captured	name-identity	yes	131	91	treatment_diff(91)
e6b	[narrative_ontology:constraint_stakeholder(_230,_232,_234,_236,_238,_240,_242)]	constraint_captured	name-identity	yes	1579	91	treatment_diff(91)
e6c	[narrative_ontology:stakeholder_gain_flow(_230,_232)]	dr_type	name-identity	yes	131	38	treatment_diff(38)
e10	[narrative_ontology:founding_problem_status(_23388,_23390)]	has_mandatrophy	name-identity	yes	236	15	treatment_diff(15)
e10b	[narrative_ontology:disappearance_verdict(_23388,_23390)]	has_mandatrophy	name-identity	yes	237	15	treatment_diff(15)
e11	[narrative_ontology:founding_problem_status(_230,_232)]	q6_cell	name-identity	yes	236	472	treatment_diff(472)
e12	[narrative_ontology:disappearance_verdict(_230,_232)]	q6_cell	name-identity	no	237	0	zero_diff_with_live_control(472)
e13	[narrative_ontology:founding_problem_status(_230,_232)]	dr_type	name-identity	no	236	0	zero_diff_with_live_control(402)
e14	[narrative_ontology:disappearance_verdict(_224,_226)]	dr_type	name-identity	no	237	0	zero_diff_with_live_control(402)
