field	bucket	stable_n	positive_stable_n	absence_stable_n	n_stories	kinds
base_properties.beneficiaries	cast	0	0	0	6	value-shift
base_properties.victims	cast	4	0	4	6	absence,presence-flip,value-shift
base_properties.vindicated_propositions	cast	1	0	1	6	absence,presence-flip,value-shift
stakeholders.roster_card	cast	2	2	0	6	positive,value-shift
stakeholders.role_multiset	cast	0	0	0	6	value-shift
stakeholders.power_multiset	cast	0	0	0	6	value-shift
stakeholders.time_horizon_multiset	cast	1	1	0	6	positive,value-shift
stakeholders.exit_options_multiset	cast	0	0	0	6	value-shift
stakeholders.spatial_scope_multiset	cast	0	0	0	6	value-shift
six_questions.disappearance_verdict	verdict	4	4	0	6	positive,value-shift
six_questions.founding_problem_status	verdict	3	3	0	6	positive,value-shift
boltzmann.presence	apparatus-presence	6	6	0	6	positive
network.presence	apparatus-presence	6	6	0	6	positive
interval	apparatus-presence	6	6	0	6	positive
