cid	seat	role	power	time	exit	scope	agent_seat	d	chi	type_token	raw_derivation	raw_type	metric_type	perceived	signature	imm_hole
ability_ceiling_reading	meritocratic_sorting_institutions	agenda_setter	institutional	generational	mobile	national	true	0.120000	-0.028731	rope	ok	rope	rope	changeable	constructed_high_extraction	false
ability_ceiling_reading	high_performing_learners	beneficiary	moderate	biographical	mobile	local	true	0.250000	0.059907	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
ability_ceiling_reading	learners_below_threshold	payer	powerless	biographical	identity_locked	local	true	0.890000	0.734743	snare	ok	snare	snare	changeable	constructed_high_extraction	false
ability_ceiling_reading	late_bloomers	payer	powerless	biographical	identity_locked	local	true	0.890000	0.734743	snare	ok	snare	snare	changeable	constructed_high_extraction	false
ability_ceiling_reading	growth_mindset_educators	excluded	moderate	biographical	constrained	local	false	0.920000	0.747132	snare	ok	snare	snare	immutable	constructed_high_extraction	false
ability_ceiling_reading	learning_scientists	observer	institutional	generational	analytical	global	true	0.720000	0.931553	snare	ok	snare	snare	changeable	constructed_high_extraction	true
access_barrier_reading	credentialing_gatekeepers	agenda_setter	institutional	generational	arbitrage	national	true	0.090000	-0.045011	rope	ok	rope	rope	changeable	constructed_high_extraction	false
access_barrier_reading	tutoring_industry	beneficiary	organized	biographical	mobile	national	true	0.250000	0.074884	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
access_barrier_reading	well_resourced_families	beneficiary	powerful	generational	arbitrage	local	true	0.220000	0.036482	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
access_barrier_reading	under_resourced_learners	payer	powerless	biographical	trapped	local	true	0.900000	0.739082	snare	ok	snare	snare	immutable	constructed_high_extraction	false
access_barrier_reading	time_poor_students	payer	moderate	biographical	constrained	local	true	0.870000	0.725398	snare	ok	snare	snare	immutable	constructed_high_extraction	false
access_barrier_reading	institutional_periphery_students	payer	powerless	biographical	trapped	regional	true	0.900000	0.831467	snare	ok	snare	snare	immutable	constructed_high_extraction	false
access_barrier_reading	educational_researchers	observer	analytical	generational	analytical	global	true	0.720000	0.931553	snare	ok	snare	snare	changeable	constructed_high_extraction	true
access_barrier_reading	public_school_teachers	payer	organized	biographical	constrained	local	true	0.870000	0.725398	snare	ok	snare	snare	immutable	constructed_high_extraction	false
actinide_replenishment_mechanism_flat_control	nuclear_astrophysics_research_programs	beneficiary	organized	generational	mobile	global	true	0.250000	0.003964	scaffold	ok	scaffold	scaffold	changeable	false_summit_mountain	false
actinide_replenishment_mechanism_flat_control	stellar_spectroscopy_observational_campaigns	beneficiary	organized	biographical	mobile	global	true	0.250000	0.003964	scaffold	ok	scaffold	scaffold	changeable	false_summit_mountain	false
actinide_replenishment_mechanism_flat_control	standard_stellar_evolution_theorists	observer	organized	generational	analytical	global	true	0.720000	0.041098	scaffold	ok	scaffold	scaffold	changeable	false_summit_mountain	true
actinide_replenishment_mechanism_flat_control	alternative_nucleosynthesis_theorists	observer	moderate	biographical	mobile	global	true	0.720000	0.041098	scaffold	ok	scaffold	scaffold	changeable	false_summit_mountain	false
actinide_replenishment_mechanism_flat_control	observational_astronomers_general	observer	organized	biographical	arbitrage	global	true	0.690000	0.039170	scaffold	ok	scaffold	scaffold	changeable	false_summit_mountain	false
adjacency_reading	core_developer_council	agenda_setter	institutional	generational	constrained	global	true	0.140000	-0.008138	piton	ok	piton	rope	changeable	false_ci_rope	false
adjacency_reading	protocol_wide_stakeholders	beneficiary	organized	generational	mobile	global	true	0.250000	0.037001	piton	ok	piton	rope	changeable	false_ci_rope	false
adjacency_reading	small_token_holders	beneficiary	powerless	biographical	constrained	global	true	0.270000	0.047616	piton	ok	piton	unknown	immutable	false_ci_rope	false
adjacency_reading	large_capital_holders	payer	powerful	biographical	arbitrage	global	true	0.820000	0.430965	piton	ok	piton	unknown	changeable	false_ci_rope	false
adjacency_reading	organized_delegate_blocs	payer	organized	biographical	constrained	global	true	0.870000	0.448040	piton	ok	piton	unknown	immutable	false_ci_rope	false
adjacency_reading	auditors_and_monitors	observer	institutional	generational	analytical	global	true	0.720000	0.383581	piton	ok	piton	unknown	changeable	false_ci_rope	true
adjacency_reading	rival_coupling_advocates	excluded	moderate	biographical	mobile	global	false	0.900000	0.456492	piton	ok	piton	unknown	changeable	false_ci_rope	false
adjunctification_of_university_teaching_c0	adjunct_instructors	payer	powerless	immediate	identity_locked	regional	true	0.890000	0.948143	snare	ok	snare	snare	immutable	constructed_high_extraction	false
adjunctification_of_university_teaching_c0	graduate_student_instructors	payer	powerless	biographical	identity_locked	local	true	0.890000	0.842794	snare	ok	snare	snare	changeable	constructed_high_extraction	false
adjunctification_of_university_teaching_c0	tenured_faculty	beneficiary	powerful	biographical	mobile	national	true	0.250000	0.085896	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
adjunctification_of_university_teaching_c0	university_administration	agenda_setter	institutional	generational	arbitrage	national	true	0.090000	-0.051630	rope	ok	rope	rope	changeable	constructed_high_extraction	false
adjunctification_of_university_teaching_c0	endowment_managers	beneficiary	institutional	generational	arbitrage	global	true	0.220000	0.062770	naturalized	ok	naturalized	naturalized	changeable	constructed_high_extraction	false
adjunctification_of_university_teaching_c0	undergraduate_students	payer	organized	immediate	constrained	national	true	0.870000	1.040093	snare	ok	snare	snare	immutable	constructed_high_extraction	false
adjunctification_of_university_teaching_c0	accreditation_bodies	observer	institutional	generational	analytical	national	true	0.720000	0.890455	snare	ok	snare	snare	changeable	constructed_high_extraction	true
adjunctification_of_university_teaching_c0	labor_economists	observer	analytical	generational	analytical	national	true	0.720000	0.890455	snare	ok	snare	snare	changeable	constructed_high_extraction	true
