=== Is the hygiene contaminant GROWING? (the operator's time-series question) ===

month | numerator members | hygiene-only | share
2025-05 |                 1 |            0 | 0.0%
2026-03 |                 1 |            0 | 0.0%
2026-04 |                 1 |            0 | 0.0%
2026-05 |                 2 |            0 | 0.0%
2026-06 |                36 |            7 | 19.4%
2026-07 |                26 |            2 | 7.7%
2026-08 |                16 |            4 | 25.0%

TOTAL     |                83 |           13 | 15.7%

=== the same table for the DENOMINATOR, so the share is comparable ===
month | dirs | numerator | incidence
2025-02 |    1 |         0 | 0.0%
2025-05 |    1 |         1 | 100.0%
2026-02 |    5 |         0 | 0.0%
2026-03 |    1 |         1 | 100.0%
2026-04 |    2 |         1 | 50.0%
2026-05 |   12 |         2 | 16.7%
2026-06 |   98 |        36 | 36.7%
2026-07 |   45 |        26 | 57.8%
2026-08 |   20 |        16 | 80.0%
