stat	between_model_spread	n_pure_pairs	within_pure_max	within_pure_median	within_confounded_max	ratio_between_over_within_max
type.unknown	0.0000	5	0.0000	0.0000	0.0000	inf
network.cascade_threshold	0	5	0	0	0	inf
contextuality.by_type.mountain	0.0000	5	0.0000	0.0000	0.0000	inf
contextuality.by_type.scaffold	0.0000	5	0.0000	0.0000	0.0000	inf
drift_events_per_story.warning	0.5866	5	0.0156	0.0087	0.1422	37.6631
purity.coverage	0.2985	5	0.0104	0.0078	0.0567	28.6899
purity.n_gate_fail	28	5	1	1	13	28.0000
coupling.inconclusive	0.0279	5	0.0010	0.0010	0.0136	27.9960
boltzmann.inconclusive	0.0279	5	0.0010	0.0010	0.0136	27.9960
purity.n_no_data	275	5	11	6	57	25.0000
network.drifting_share	0.3276	5	0.0163	0.0120	0.0752	20.1151
drift_events_per_story.watch	0.3015	5	0.0188	0.0034	0.1534	16.0392
coupling.strongly_coupled	0.1980	5	0.0126	0.0061	0.0829	15.7105
network.severe_share	0.3164	5	0.0234	0.0158	0.0902	13.5176
contextuality.corpus_fraction	0.2227	5	0.0175	0.0021	0.1009	12.7147
monotonicity.boundary.pos_1_per_story	0.2904	5	0.0239	0.0114	0.0702	12.1373
boltzmann.non_compliant	0.1642	5	0.0136	0.0036	0.0750	12.0562
monotonicity.non_monotone	0.4980	5	0.0418	0.0150	0.1658	11.9157
type.mountain	0.0917	5	0.0077	0.0020	0.0454	11.8904
monotonicity.boundary.pos_3_per_story	0.1848	5	0.0160	0.0050	0.0525	11.5555
type.tangled_rope	0.3211	5	0.0283	0.0139	0.0865	11.3443
coupling.independent	0.1621	5	0.0146	0.0036	0.0790	11.1004
boltzmann.compliant	0.1621	5	0.0146	0.0036	0.0790	11.1004
monotonicity.boundary.pos_2_per_story	0.2162	5	0.0201	0.0090	0.0885	10.7536
severe_share_within_type.tangled_rope	0.2621	5	0.0268	0.0169	0.1318	9.7735
purity.sound	0.0627	5	0.0065	0.0064	0.0129	9.6473
purity.contaminated	0.2698	5	0.0283	0.0043	0.0711	9.5392
purity.borderline	0.1616	5	0.0178	0.0043	0.1268	9.0746
monotonicity.incomparable	0.3765	5	0.0418	0.0130	0.1700	9.0100
type.snare	0.1338	5	0.0154	0.0015	0.0465	8.6999
purity.pristine	0.1462	5	0.0170	0.0088	0.0845	8.6155
coupling.weakly_coupled	0.0725	5	0.0085	0.0050	0.0140	8.5520
severe_share_within_type.rope	0.5644	5	0.0662	0.0218	0.1181	8.5267
drift_events_per_story.critical	0.4900	5	0.0595	0.0180	0.3844	8.2414
monotonicity.constant	0.1602	5	0.0229	0.0050	0.0334	6.9969
severe_share_within_type.snare	0.4700	5	0.0676	0.0364	0.1657	6.9520
type.rope	0.1390	5	0.0201	0.0066	0.0571	6.9300
severe_share_within_type.mountain	0.6275	5	0.0989	0.0325	0.2100	6.3442
monotonicity.descending	0.0050	5	0.0010	0.0000	0.0010	5.0351
monotonicity.ascending	0.0240	5	0.0050	0.0000	0.0110	4.8220
type.piton	0.0167	5	0.0039	0.0020	0.0138	4.2966
contextuality.by_type.snare	0.0152	5	0.0036	0.0000	0.0100	4.2588
type.scaffold	0.0297	5	0.0072	0.0040	0.0199	4.1433
contextuality.by_type.tangled_rope	0.1007	5	0.0277	0.0041	0.0618	3.6353
contextuality.by_type.rope	0.0455	5	0.0156	0.0079	0.0191	2.9091
arakelov.threshold	0.2510	5	0.0888	0.0337	0.0633	2.8267
wasserstein.fracture_total	1442.8887	5	519.9884	61.3550	870.2686	2.7748
contextuality.by_type.unknown	0.6629	5	0.2500	0.1321	0.2179	2.6517
wasserstein.fracture_per_story	1.3487	5	0.5184	0.0610	0.8710	2.6015
severe_share_within_type.piton	0.5079	5	0.2456	0.0985	0.2000	2.0680
purity.degraded	0.0106	5	0.0054	0.0000	0.0032	1.9574
coupling.nonsensically_coupled	0.0070	5	0.0041	0.0012	0.0076	1.7152
