stat	source	kind	denominator	vintage_exposed	mixture_exposed	in_pair_table	drop_reason	B1_draw_bound	B2_model_disposition	B3_content_or_mixture	B4_size_bound	B5_guard_sensitive	guard_delta	why
type.mountain	classify:diagnostic.type_distribution	SHARE/RATE	sum(type_distribution)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
type.piton	classify:diagnostic.type_distribution	SHARE/RATE	sum(type_distribution)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
type.rope	classify:diagnostic.type_distribution	SHARE/RATE	sum(type_distribution)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
type.scaffold	classify:diagnostic.type_distribution	SHARE/RATE	sum(type_distribution)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
type.snare	classify:diagnostic.type_distribution	SHARE/RATE	sum(type_distribution)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
type.tangled_rope	classify:diagnostic.type_distribution	SHARE/RATE	sum(type_distribution)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
type.unknown	classify:diagnostic.type_distribution	SHARE/RATE	sum(type_distribution)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
purity.coverage	classify:diagnostic.purity_n_scored/purity_n_total	SHARE/RATE	purity_n_total or n	True	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	purity flows through the contamination cascade over the same corpus-wide neighbour graph as the network members
purity.n_no_data	classify:diagnostic.purity_n_no_data	COUNT	none — raw count, n-scaling	True	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	purity flows through the contamination cascade over the same corpus-wide neighbour graph as the network members
purity.n_gate_fail	classify:diagnostic.purity_n_gate_fail	COUNT	none — raw count, n-scaling	True	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	purity flows through the contamination cascade over the same corpus-wide neighbour graph as the network members
purity.pristine	classify:diagnostic.purity_summary	SHARE/RATE	purity_n_scored	True	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	purity flows through the contamination cascade over the same corpus-wide neighbour graph as the network members
purity.sound	classify:diagnostic.purity_summary	SHARE/RATE	purity_n_scored	True	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	purity flows through the contamination cascade over the same corpus-wide neighbour graph as the network members
purity.borderline	classify:diagnostic.purity_summary	SHARE/RATE	purity_n_scored	True	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	purity flows through the contamination cascade over the same corpus-wide neighbour graph as the network members
purity.contaminated	classify:diagnostic.purity_summary	SHARE/RATE	purity_n_scored	True	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	purity flows through the contamination cascade over the same corpus-wide neighbour graph as the network members
purity.degraded	classify:diagnostic.purity_summary	SHARE/RATE	purity_n_scored	True	True	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	purity flows through the contamination cascade over the same corpus-wide neighbour graph as the network members
coupling.independent	classify:diagnostic.coupling_summary	SHARE/RATE	sum(coupling_summary)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
coupling.weakly_coupled	classify:diagnostic.coupling_summary	SHARE/RATE	sum(coupling_summary)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
coupling.strongly_coupled	classify:diagnostic.coupling_summary	SHARE/RATE	sum(coupling_summary)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
coupling.nonsensically_coupled	classify:diagnostic.coupling_summary	SHARE/RATE	sum(coupling_summary)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
coupling.inconclusive	classify:diagnostic.coupling_summary	SHARE/RATE	sum(coupling_summary)	UNTRACED	UNTRACED	yes		NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	
