leg	model	commit	n_stories	type.mountain	type.piton	type.rope	type.scaffold	type.snare	type.tangled_rope	type.unknown	purity.coverage	purity.n_no_data	purity.n_gate_fail	purity.pristine	purity.sound	purity.borderline	purity.contaminated	purity.degraded	coupling.independent	coupling.weakly_coupled	coupling.strongly_coupled	coupling.nonsensically_coupled	coupling.inconclusive	boltzmann.compliant	boltzmann.non_compliant	boltzmann.inconclusive	drift_events_per_story.critical	drift_events_per_story.warning	drift_events_per_story.watch	network.stability	network.drifting_share	network.severe_share	network.cascade_threshold	wasserstein.fracture_total	wasserstein.fracture_per_story	arakelov.threshold	contextuality.corpus_fraction	contextuality.by_type.mountain	contextuality.by_type.piton	contextuality.by_type.rope	contextuality.by_type.scaffold	contextuality.by_type.snare	contextuality.by_type.tangled_rope	contextuality.by_type.unknown	monotonicity.constant	monotonicity.ascending	monotonicity.descending	monotonicity.non_monotone	monotonicity.incomparable	monotonicity.boundary.pos_1_per_story	monotonicity.boundary.pos_2_per_story	monotonicity.boundary.pos_3_per_story	severe_share_within_type.mountain	severe_share_within_type.piton	severe_share_within_type.rope	severe_share_within_type.scaffold	severe_share_within_type.snare	severe_share_within_type.tangled_rope	severe_share_within_type.unknown
testsets	claude-sonnet-5	0c11912	258	0.0814	0.0155	0.2016	0.0504	0.0969	0.5543	0.0000	0.8000	13	44	0.1228	0.0658	0.2544	0.5570	0.0000	0.1193	0.0491	0.6772	0.0000	0.1544	0.1193	0.7263	0.1544	1.2984	1.4264	0.3062	cascading	0.2364	0.2054	3	232.6649	0.9018	0.5268	0.6812	1.0000	0.0000	0.0000	0.0000	0.9905	1.0000	0.3600	0.2877	0.0070	0.0000	0.4211	0.2842	0.3101	0.6860	0.7674	0.0952	0.2500	0.2692	0.1538	0.1600	0.2098	
testsets_flash	gemini-2.5-flash	2ce8e18	960	0.1083	0.0219	0.2385	0.0104	0.1927	0.4281	0.0000	0.9010	89	6	0.1503	0.0844	0.2728	0.4925	0.0000	0.1646	0.0833	0.7396	0.0063	0.0063	0.1646	0.8292	0.0063	1.4719	1.2844	0.2708	cascading	0.5677	0.5312	3	791.1698	0.8241	0.4304	0.7380	1.0000	0.0000	0.0086	0.0000	1.0000	1.0000	0.0667	0.1500	0.0000	0.0000	0.5177	0.3323	0.3885	0.6948	0.7896	0.4519	0.2857	0.6900	0.3000	0.5189	0.4866	
testsets_flash2	gemini-2.5-flash	f0ef08a	944	0.0985	0.0201	0.2627	0.0138	0.1833	0.4216	0.0000	0.8941	98	2	0.1730	0.0794	0.2618	0.4858	0.0000	0.1833	0.0805	0.7235	0.0106	0.0021	0.1833	0.8146	0.0021	1.4492	1.2214	0.2850	cascading	0.5551	0.5117	3	813.4224	0.8617	0.4253	0.7402	1.0000		0.0159	0.0000	1.0000	1.0000	0.0625	0.1600	0.0000	0.0000	0.5625	0.2775	0.3189	0.7119	0.7754	0.3978	0.3684	0.6492	0.3846	0.4913	0.4724	
testsets_flash3	gemini-2.5-flash	bbce40f	958	0.0992	0.0240	0.2547	0.0157	0.1848	0.4217	0.0000	0.9019	92	2	0.1863	0.0729	0.2616	0.4792	0.0000	0.1868	0.0720	0.7296	0.0094	0.0021	0.1868	0.8111	0.0021	1.4311	1.2182	0.3038	cascading	0.5418	0.4958	3	837.9607	0.8747	0.3916	0.7391	1.0000	0.0000	0.0080	0.0000	1.0000	1.0000	0.0588	0.1649	0.0000	0.0000	0.5532	0.2818	0.3184	0.7161	0.7777	0.4632	0.4348	0.6434	0.6000	0.4237	0.4455	
testsets_flash_think	gemini-2.5-flash	f0ef08a	988	0.0870	0.0243	0.2257	0.0304	0.1528	0.4798	0.0000	0.9200	74	5	0.1188	0.0715	0.3883	0.4213	0.0000	0.1225	0.0709	0.7945	0.0071	0.0051	0.1225	0.8725	0.0051	1.7561	1.1508	0.2176	cascading	0.6154	0.5860	3	753.3521	0.7625	0.4067	0.7712	1.0000	0.0000	0.0104	0.0000	1.0000	1.0000	0.0000	0.1771	0.0000	0.0000	0.6589	0.1640	0.3269	0.7632	0.7834	0.4884	0.4167	0.6682	0.6667	0.5894	0.5675	
testsets_flash_think2	gemini-2.5-flash	bbce40f	992	0.0948	0.0222	0.2056	0.0232	0.1462	0.5081	0.0000	0.9304	63	6	0.1018	0.0780	0.3705	0.4496	0.0000	0.1079	0.0766	0.8065	0.0030	0.0060	0.1079	0.8861	0.0060	1.8155	1.1421	0.2157	cascading	0.6169	0.5806	3	736.0878	0.7420	0.4234	0.7888	1.0000	0.0000	0.0211	0.0000	1.0000	1.0000	0.2500	0.1542	0.0000	0.0000	0.6835	0.1623	0.3448	0.7833	0.7994	0.4681	0.3182	0.6814	0.4348	0.5862	0.5774	
testsets_haiku	claude-haiku-4-5-20251001	0f432fb	960	0.0625	0.0229	0.1875	0.0146	0.0990	0.6135	0.0000	0.9781	5	16	0.0607	0.0501	0.2354	0.6432	0.0106	0.0708	0.0698	0.8417	0.0010	0.0167	0.0708	0.9125	0.0167	1.8104	1.5104	0.2042	cascading	0.5917	0.5594	3	545.8506	0.5686	0.3969	0.7871	1.0000	0.0000	0.0217	0.0000	0.9848	0.8993	0.4235	0.1354	0.0240	0.0000	0.4917	0.3490	0.4417	0.7500	0.8219	0.4500	0.2273	0.7389	0.6429	0.6947	0.5042	
testsets_haiku2	claude-haiku-4-5-20251001	637c98c	996	0.0512	0.0191	0.1807	0.0241	0.0894	0.6355	0.0000	0.9950	1	4	0.0646	0.0565	0.2452	0.6256	0.0081	0.0803	0.0733	0.8373	0.0050	0.0040	0.0803	0.9157	0.0040	1.8414	1.4890	0.2038	cascading	0.6084	0.5853	3	358.9158	0.3604	0.3520	0.8146	1.0000	0.0000	0.0408	0.0000	0.9889	0.9333	0.5730	0.1215	0.0221	0.0000	0.5382	0.3183	0.4237	0.7751	0.8283	0.6275	0.3684	0.7944	0.7083	0.6966	0.5087	
testsets_haiku3	claude-haiku-4-5-20251001	7786416	993	0.0504	0.0201	0.1873	0.0201	0.1047	0.6173	0.0000	0.9970	0	3	0.0626	0.0545	0.2495	0.6232	0.0101	0.0705	0.0735	0.8499	0.0030	0.0030	0.0705	0.9265	0.0030	1.8399	1.5045	0.2004	cascading	0.5921	0.5619	3	566.2796	0.5703	0.4408	0.8167	1.0000	0.0000	0.0364	0.0000	0.9925	0.9610	0.5581	0.1098	0.0171	0.0000	0.5247	0.3484	0.4350	0.7845	0.8419	0.6600	0.1500	0.7366	0.4500	0.6827	0.4976	
testsets_kimi	kimi-k2.6	9a2112d	1005	0.0388	0.0209	0.0995	0.0169	0.0746	0.7493	0.0000	0.6965	276	29	0.0657	0.0314	0.3257	0.5771	0.0000	0.0716	0.0289	0.8627	0.0080	0.0289	0.0716	0.8995	0.0289	1.7821	1.0557	0.1483	cascading	0.3144	0.2896	3	808.7058	0.8047	0.5329	0.8653	1.0000	0.1667	0.0455	0.0000	1.0000	0.9963	0.5000	0.1055	0.0000	0.0000	0.7801	0.1144	0.1512	0.8478	0.8796	0.0000	0.0476	0.2300	0.1176	0.2267	0.3293	
