2026-02-15 22:47:00,505 INFO     Log file: /home/scott/bin/structural_dynamics_model/outputs/regen_20260215_224700.log
2026-02-15 22:47:00,516 INFO     Running structural linter on testsets/ and origsets/…
2026-02-15 22:47:04,769 INFO     Linter: 1017/1024 passed, 7 with errors → /home/scott/bin/structural_dynamics_model/outputs/lint_errors.txt
2026-02-15 22:47:04,769 INFO     Source: lint_errors.txt (7 files)
2026-02-15 22:47:04,802 INFO     Resume filter: 7 → 7 files
2026-02-15 22:47:14,360 INFO     [1/7] columbia_2026_elections (3 errors) [0.0/min, ETA 0min]
2026-02-15 22:47:14,360 INFO       Generating columbia_2026_elections (attempt 1/3)…
2026-02-15 22:47:14,360 INFO     Creating/refreshing Gemini context cache (TTL=3600s)…
2026-02-15 22:47:15,206 INFO     HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/cachedContents "HTTP/1.1 200 OK"
2026-02-15 22:47:15,234 INFO     Cache created: cachedContents/z3a8c19pcazjpi3u6t3i6ueakxwordmr2naphri7 (expires ~2026-02-16T05:47:14.360912)
2026-02-15 22:47:15,234 INFO     AFC is enabled with max remote calls: 10.
2026-02-15 22:48:08,847 INFO     HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-02-15 22:48:08,897 INFO       PASS columbia_2026_elections on attempt 1
2026-02-15 22:48:08,897 INFO     [2/7] cuban_missile_crisis_excomm_delibration (3 errors) [1.1/min, ETA 5min]
2026-02-15 22:48:08,897 INFO       Generating cuban_missile_crisis_excomm_delibration (attempt 1/3)…
2026-02-15 22:48:08,909 INFO     AFC is enabled with max remote calls: 10.
2026-02-15 22:49:11,017 INFO     HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-02-15 22:49:11,073 INFO       PASS cuban_missile_crisis_excomm_delibration on attempt 1
2026-02-15 22:49:11,073 INFO     [3/7] deferential_realism_core (3 errors) [1.0/min, ETA 5min]
2026-02-15 22:49:11,073 INFO       Generating deferential_realism_core (attempt 1/3)…
2026-02-15 22:49:11,073 INFO     AFC is enabled with max remote calls: 10.
2026-02-15 22:50:04,199 INFO     HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-02-15 22:50:04,240 INFO       PASS deferential_realism_core on attempt 1
2026-02-15 22:50:04,240 INFO     [4/7] educational_unbundling_implementation (3 errors) [1.1/min, ETA 4min]
2026-02-15 22:50:04,241 INFO       Generating educational_unbundling_implementation (attempt 1/3)…
2026-02-15 22:50:04,241 INFO     AFC is enabled with max remote calls: 10.
2026-02-15 22:50:52,524 INFO     HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-02-15 22:50:52,570 INFO       PASS educational_unbundling_implementation on attempt 1
2026-02-15 22:50:52,571 INFO     [5/7] mars_rovers_navigational_autonomy (3 errors) [1.1/min, ETA 3min]
2026-02-15 22:50:52,571 INFO       Generating mars_rovers_navigational_autonomy (attempt 1/3)…
2026-02-15 22:50:52,571 INFO     AFC is enabled with max remote calls: 10.
2026-02-15 22:51:52,350 INFO     HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-02-15 22:51:52,391 INFO       PASS mars_rovers_navigational_autonomy on attempt 1
2026-02-15 22:51:52,391 INFO     [6/7] s1_visa_judgment_sharing_agreement (3 errors) [1.1/min, ETA 2min]
2026-02-15 22:51:52,391 INFO       Generating s1_visa_judgment_sharing_agreement (attempt 1/3)…
2026-02-15 22:51:52,392 INFO     AFC is enabled with max remote calls: 10.
2026-02-15 22:52:47,281 INFO     HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-02-15 22:52:47,326 INFO       PASS s1_visa_judgment_sharing_agreement on attempt 1
2026-02-15 22:52:47,326 INFO     [7/7] udhr_1946 (3 errors) [1.1/min, ETA 1min]
2026-02-15 22:52:47,327 INFO       Generating udhr_1946 (attempt 1/3)…
2026-02-15 22:52:47,327 INFO     AFC is enabled with max remote calls: 10.
2026-02-15 22:53:37,554 INFO     HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-pro:generateContent "HTTP/1.1 200 OK"
2026-02-15 22:53:37,594 INFO       PASS udhr_1946 on attempt 1
2026-02-15 22:53:37,594 INFO     
2026-02-15 22:53:37,594 INFO     ============================================================
2026-02-15 22:53:37,594 INFO     REGENERATION COMPLETE
2026-02-15 22:53:37,594 INFO     ============================================================
2026-02-15 22:53:37,595 INFO       Processed: 7
2026-02-15 22:53:37,595 INFO       Passed:    7
2026-02-15 22:53:37,595 INFO       Failed:    0 (→ probsets/)
2026-02-15 22:53:37,595 INFO       Skipped:   0
2026-02-15 22:53:37,595 INFO       API errors:0
2026-02-15 22:53:37,595 INFO       Elapsed:   6.4 min
